date,n,r_q5,r_q1,r_uni,tov_q5,tov_q1,ls_gross,ls_net,q5_excess,year
20180130,2859,-0.0033008813634872,-0.0380126357271533,-0.0270228201696698,1.0,1.0,0.034711754363666,0.033711754363666,0.0232219388061825,2018
20180306,2874,0.0437982393112451,0.0173329928345432,0.0216645029475457,0.7880910683012259,0.7127845884413311,0.0264652464767018,0.0257148086483306,0.0217396908295487,2018
20180403,2901,-0.0019069019635335,-0.0108971614194581,-0.0010071754377882,0.8066202090592335,0.7491289198606272,0.0089902594559245,0.0082123848914646,-0.0013030366302749,2018
20180507,2917,-0.0369238211868883,-0.0404996678225461,-0.0338354588391816,0.7810344827586206,0.7293103448275862,0.0035758466356578,0.0028206742218647,-0.0034788795890859,2018
20180604,2952,-0.1261864877318681,-0.1368774625747788,-0.1258638365350982,0.7444253859348199,0.7066895368782161,0.0106909748429107,0.0099654173815041,-0.0006948638897372,2018
20180703,2990,0.0081558192308102,-0.0270649200577597,0.0031952189032086,0.752542372881356,0.6576271186440679,0.0352207392885699,0.0345156545428072,0.0045843291411609,2018
20180731,3036,-0.0460376918153377,-0.0474814993832846,-0.0390152044579082,0.7709030100334449,0.6956521739130435,0.0014438075679469,0.0007105299759736,-0.0074079388624462,2018
20180828,3067,-0.0445252320659164,-0.0507613765795202,-0.0420725655326385,0.7034596375617792,0.7051070840197693,0.0062361445136037,0.005531861152813,-0.0028043963520587,2018
20180926,3090,-0.0707213542028843,-0.0964148161569781,-0.077678862172963,0.7406199021207178,0.7063621533442088,0.0256934619540938,0.0249699709263614,0.0065871980190183,2018
20181031,3109,0.059332859536964,0.0130642649399261,0.0413163371598322,0.7702265372168284,0.7540453074433657,0.0462685945970379,0.0455064586747078,0.0176314091085234,2018
20181128,3147,-0.0300684128634014,-0.0421059472462635,-0.0326927750029242,0.784219001610306,0.7809983896940419,0.0120375343828621,0.0112549256872099,0.0022322526387177,2018
20181226,3158,0.0481279185307479,0.0159922377997606,0.036232770180905,0.7901430842607313,0.7440381558028617,0.0321356807309873,0.0313685901109555,0.0115000768077125,2018
20190125,3169,0.1958142407906414,0.1966080563750291,0.1874287924741284,0.7670364500792393,0.7274167987321711,-0.0007938155843877,-0.0015410422087934,0.0080019300914734,2019
20190301,3185,0.1230901113345796,0.1140494457627146,0.1178469148726141,0.7424960505529226,0.7187993680884677,0.009040665571865,0.0083100178625443,0.004871948436689,2019
20190329,3179,-0.0716554889836428,-0.097826457922984,-0.0711473071219735,0.8021978021978022,0.7205651491365777,0.0261709689393411,0.025409587463674,-0.0009092807627682,2019
20190429,3194,-0.0395798727934642,-0.056474693714811,-0.0436653408541381,0.8015748031496063,0.7244094488188977,0.0168948209213467,0.0161318287953625,0.0036846806590991,2019
20190530,3211,0.0408657361750445,0.0150696687655229,0.0360716763157522,0.7648902821316614,0.677115987460815,0.0257960674095215,0.0250750642747253,0.0044116147182264,2019
20190628,3226,-0.0392627135514177,-0.0548304125260813,-0.0396660707504064,0.7383177570093458,0.6947040498442367,0.0155676989746635,0.0148511880712367,3.419832048401377e-05,2019
20190726,3235,-0.0031545834932042,-0.0162894273970374,-0.0137066493508943,0.7875968992248061,0.8,0.0131348439038331,0.0123410454542207,0.0101582674080776,2019
20190823,3272,0.0788267906953229,0.0678582464546068,0.069885924202956,0.7604327666151468,0.7187017001545595,0.0109685442407161,0.0102289770073312,0.0085606501090593,2019
20190923,3287,-0.0314133788845254,-0.0434933663775353,-0.028921730655059,0.7584097859327217,0.7125382262996942,0.0120799874930098,0.0113445134868936,-0.0028708531224327,2019
20191028,3294,-0.045348436855582,-0.0453502656074724,-0.0415941253968955,0.771689497716895,0.730593607305936,1.8287518903231657e-06,-0.000749312800621,-0.004140156207545,2019
20191125,3317,0.0704864389284792,0.0765820632514609,0.0638976146645387,0.7310030395136777,0.6975683890577508,-0.0060956243229817,-0.0068099100372674,0.0062233227441836,2019
20191223,3344,0.0662395797742658,0.0575602743721621,0.0628566720118782,0.7420814479638009,0.6319758672699849,0.0086793054021036,0.0079922767444867,0.0030118670384056,2019
20200121,3369,0.0231984856215207,0.0513010698739118,0.0222595470591196,0.7290419161676647,0.6796407185628742,-0.0281025842523911,-0.0288069255697563,0.0005744176043173,2020
20200226,3394,-0.0704464598697259,-0.0966700829816399,-0.0694328273831151,0.7518573551263001,0.6760772659732541,0.026223623111914,0.0255096558013642,-0.0013895611641739,2020
20200325,3409,0.0297708138103133,-0.0002805660633074,0.0086272275818241,0.7625368731563422,0.7890855457227138,0.0300513798736208,0.0292755686641813,0.020762317791911,2020
20200423,3420,0.0175963635993681,0.0002766393520889,0.0151330724718642,0.7298091042584435,0.7254038179148311,0.0173197242472792,0.0165921177861925,0.0020983865753746,2020
20200526,3435,0.0740678377443968,0.0704994355059756,0.0673838688766002,0.7441520467836258,0.7002923976608186,0.0035684022384212,0.002846180016199,0.0063118928444048,2020
20200623,3459,0.0921395154343983,0.0790560939759865,0.0925908730683326,0.75254730713246,0.6826783114992723,0.0130834214584117,0.0123658086490958,-0.0008276312875005,2020
20200723,3482,0.0713042747793542,0.0660483923091757,0.0740997171628295,0.7655571635311144,0.6859623733719247,0.0052558824701785,0.004530122701727,-0.0031782209652408,2020
20200820,3525,-0.0066607997379881,-0.0307897957176337,-0.012531440832086,0.7600574712643678,0.7528735632183908,0.0241289959796455,0.0233725304624042,0.0054906123584657,2020
20200917,3585,-0.0389662083755685,0.0093061247371168,-0.0253395586534262,0.7574468085106383,0.7702127659574468,-0.0482723331126853,-0.0490361628999193,-0.0140053731263976,2020
20201023,3642,0.0328437430321445,-0.0073355502384688,0.0240501938635871,0.7168758716875872,0.6150627615062761,0.0401792932706133,0.0395133239540163,0.0084351112327135,2020
20201120,3684,-0.0343298110405444,-0.0356829285807775,-0.0346512842241017,0.7321428571428572,0.7266483516483517,0.0013531175402331,0.0006237219358375,-4.459824501405524e-05,2020
20201218,3712,-0.0388177162529313,-0.0387559443550396,-0.040487769068481,0.7119565217391304,0.7404891304347826,-6.17718978917492e-05,-0.0007879947239787,0.0013140745546801,2020
20210118,3742,-0.005362647917497,-0.0110122878805797,-0.0055447084212797,0.7102425876010782,0.6644204851752021,0.0056496399630826,0.0049623084266945,-0.0001730607900178,2021
20210222,3783,-0.0041688353176211,-0.0036939323554927,0.0059531632442301,0.7647058823529411,0.786096256684492,-0.0004749029621284,-0.0012503040316471,-0.0105043515030277,2021
20210322,3820,0.0406049871813292,0.0113730450247161,0.0250932297963842,0.7089947089947091,0.6944444444444444,0.0292319421566131,0.0285302225798935,0.0151572600304476,2021
20210420,3851,0.0086496306293523,0.0091767012310458,0.0063686051424272,0.7657068062827225,0.6950261780104712,-0.0005270706016935,-0.0012574370938401,0.0018981720837837,2021
20210521,3902,0.067984656738481,0.0620206613336792,0.0566817587881938,0.7376623376623377,0.6883116883116883,0.0059639954048017,0.0052510083918147,0.010934066781456,2021
20210621,3940,0.0132582652748513,0.016158828861399,0.0126121878389681,0.7602564102564102,0.7089743589743589,-0.0029005635865477,-0.0036351789711631,0.0002659492307549,2021
20210719,3989,0.0206219563509485,-0.0035306190683112,0.0088420860521311,0.7474619289340101,0.700507614213198,0.0241525754192598,0.0234285906476862,0.0114061393343504,2021
20210816,4041,0.0634386206613289,0.0395631198185797,0.0597606091494969,0.7452948557089084,0.7051442910915935,0.0238755008427491,0.0231502812693488,0.0033053640839775,2021
20210913,4088,-0.0391026382914002,-0.0628431611609697,-0.0470025927328059,0.7277227722772277,0.7326732673267327,0.0237405228695694,0.0230103248497674,0.007536093055267,2021
20211020,4118,0.0506152483798761,0.0388224275077536,0.0410980554706598,0.7637698898408812,0.7392900856793145,0.0117928208721225,0.0110412908843624,0.0091353079642958,2021
20211117,4155,0.0694367061039897,0.0324292587113896,0.0542245104972202,0.7436208991494533,0.701093560145808,0.0370074473926001,0.0362850901629525,0.0148403851571947,2021
