peak_date,trough_date,recovery_date,depth_pct,duration_weeks
2021-09-10,2022-07-15,2023-01-13,-9.770741210718015,70
2020-02-21,2020-03-20,2020-06-12,-9.246623636713236,16
2024-11-08,2025-01-03,2025-02-21,-7.732455230808311,15
2025-02-21,2025-05-30,2025-07-11,-6.251390698711756,20
2026-02-27,2026-04-03,not yet,-6.043331080689662,7
