fold,y_oos,is_start,is_end,oos_start,fixed_is_sh,fixed_is_cal,fixed_oos_sh,fixed_oos_cal,fixed_oos_ann,fixed_oos_dd,tuned_is_sh,tuned_is_cal,tuned_oos_sh,tuned_oos_cal,tuned_oos_ann,tuned_oos_dd,tuned_spec
5y/1y,2024,2019-01-01,2023-12-31,2024-01-01,1.4059147799669838,1.922506751057498,0.9672282880817333,3.4252637415620257,0.15884753858241263,-0.046375272261508615,1.4059147799669838,1.922506751057498,0.9672282880817333,3.4252637415620257,0.15884753858241263,-0.046375272261508615,"(4, 4, 1.5, 0.0, 4, 50, 0.15)"
5y/1y,2025,2020-01-01,2024-12-31,2025-01-01,1.275016933729854,1.9430667907880852,1.9478141986193616,5.181370009347354,0.32312037337810495,-0.06236195693324076,1.275016933729854,1.9430667907880852,1.9478141986193616,5.181370009347354,0.32312037337810495,-0.06236195693324076,"(4, 4, 1.5, 0.0, 4, 50, 0.15)"
5y/1y,2026,2021-01-01,2025-12-31,2026-01-01,1.228599139667257,2.150825140689175,1.1406581200194874,2.945121288950986,0.17798343021918228,-0.0604333108068964,1.228599139667257,2.150825140689175,1.1406581200194874,2.945121288950986,0.17798343021918228,-0.0604333108068964,"(4, 4, 1.5, 0.0, 4, 50, 0.15)"
3y/1y,2022,2019-01-01,2021-12-31,2022-01-01,1.8401118926001394,2.893035411067792,-1.4311951303847525,-2.8015379680252708,-0.00742865676724902,-0.0026516352275194333,1.9106734623928627,2.948709310069984,-0.58449200260196,-0.6249199602444835,-0.1038135950944602,-0.16612302646541466,"(12, 4, 1.5, 0.0, 4, None, None)"
3y/1y,2023,2020-01-01,2022-12-31,2023-01-01,1.513855226669217,2.276303565688704,0.8815234164008605,2.1379235458454335,0.10831470857773295,-0.050663508893111664,1.513855226669217,2.276303565688704,0.8815234164008605,2.1379235458454335,0.10831470857773295,-0.050663508893111664,"(4, 4, 1.5, 0.0, 4, 50, 0.15)"
3y/1y,2024,2021-01-01,2023-12-31,2024-01-01,1.0631121455013635,1.6057567593645672,0.9672282880817333,3.4252637415620257,0.15884753858241263,-0.046375272261508615,1.0631121455013635,1.6057567593645672,0.9672282880817333,3.4252637415620257,0.15884753858241263,-0.046375272261508615,"(4, 4, 1.5, 0.0, 4, 50, 0.15)"
3y/1y,2025,2022-01-01,2024-12-31,2025-01-01,0.7158338016287032,1.6733907624170974,1.9478141986193616,5.181370009347354,0.32312037337810495,-0.06236195693324076,0.7661832732805834,1.664780421478706,2.1950497953696955,6.357203653201207,0.37496061427181915,-0.05898200446716939,"(4, 4, 1.0, 0.0, 3, 50, 0.15)"
3y/1y,2026,2023-01-01,2025-12-31,2026-01-01,1.285811645313141,2.461476007513972,1.1406581200194874,2.945121288950986,0.17798343021918228,-0.0604333108068964,1.4329452634483526,2.5482186196186496,0.23464317149645375,0.43620820214809863,0.047082252765172194,-0.10793527616701515,"(4, 4, 1.0, 0.0, 3, 50, 0.2)"
