trade_week,V7_gold,V7_bond5,V7_bond10,V7_gb_70_30,V7_gb_50_50,V7_gb_30_70,V7_gb10_50_50,V7_rp_g_b5,V7_rp_g_b10,V7_g_b5_silver
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-04,1.002997924936846,0.9960019895261076,0.988943488023952,1.0008991443136246,0.9994999572314768,0.9981007701493291,0.995970706480399,0.9994999572314768,0.995970706480399,1.004609885891706
2019-04-12,1.0037195061778077,0.9928965411460658,0.9860905415699696,1.000466979056408,0.9983013122192257,0.996137793043711,0.9948923598873486,0.9983013122192257,0.9948923598873486,1.0005148158456827
2019-04-19,0.9903702532200149,0.9920153808619216,0.9813293948647988,0.990886418889045,0.9912197377329794,0.9915444419554704,0.9858746106914902,0.9912197377329794,0.9858746106914902,0.9935170544558283
2019-04-26,0.9936173688043426,0.9924345736184563,0.9788412514000142,0.9932861991490024,0.9930541163947908,0.9928130271978829,0.9862409646879824,0.9930541163947908,0.9862409646879824,0.9952518409193516
2019-04-30,0.9943389500453043,0.9930933050930106,0.9802536937428056,0.9939889266901675,0.9937442738426802,0.9934906142043387,0.9873106368434296,0.9937442738426802,0.9873106368434296,0.9955411962549051
2019-05-10,1.0055234592802118,0.9956683463117229,0.9871194730779635,1.002588536221397,1.0006215485199759,0.998646354298011,0.9963209669537397,1.0006215485199759,0.9963209669537397,1.0007885446030835
2019-05-17,1.022841409063294,0.9973622272462908,0.9914596932571373,1.015187413885609,1.010089464832908,1.0049954693798722,1.0070910343117956,1.010089464832908,1.0070910343117956,1.0086303089178004
2019-05-24,1.0232021996837748,0.9980295136750599,0.9882512977367567,1.0156418411621584,1.0106055119243922,1.0055724935279766,1.0056391622562624,1.0106055119243922,1.0056391622562624,1.0079709642280137
2019-05-31,1.0300572214729116,1.000553225168482,0.9907394412015418,1.0211753748778092,1.0152685827539394,1.0093735163614954,1.0102738013406807,1.0152685827539394,1.0102738013406807,1.0108842425876
2019-06-06,1.0600028429728245,1.0008612035202218,0.9961553625027083,1.042050859821022,1.03018268123059,1.0183942943420348,1.0277203956114696,1.03018268123059,1.0277203956114696,1.0262871863331129
2019-06-14,1.0812894895811962,1.0004505657179021,0.9956315428259114,1.0565708969733194,1.0403152509647968,1.0242371354042767,1.0377693669560086,1.0403152509647968,1.0377693669560086,1.0365260414284772
2019-06-21,1.1040192986714918,1.0026662988595847,0.9952667398367135,1.072820043743552,1.052401506777129,1.0322841783777919,1.0484867315748967,1.052401506777129,1.0484867315748967,1.0477815115254308
2019-06-28,1.1144822266654373,1.002324100690985,0.9955941271347122,1.0798272756459435,1.0572087905582828,1.0349724895021717,1.053627497909429,1.0572087905582828,1.053627497909429,1.051339360714457
2019-07-05,1.118531722466876,1.0058825404545306,0.9991286742217335,1.0837508519169539,1.0610501820638425,1.038733084916406,1.0574558767089999,1.0610501820638425,1.0574558767089999,1.0551594255169607
2019-07-12,1.1053473456085368,0.9940259840223826,0.9873517270808335,1.0709764447497558,1.0485433526329468,1.0264893119668475,1.0449914141376133,1.0485433526329468,1.0449914141376133,1.0427220317155916
2019-07-19,1.1082577162630918,0.9966432464288628,0.989951416222565,1.0737963170992961,1.0513041588317003,1.0291920500542293,1.0477428681109284,1.0513041588317003,1.0477428681109284,1.0454675104232753
2019-07-26,1.1075212337966864,0.995980936331234,0.9892935531191169,1.073082735638568,1.0506055243277608,1.0285081099486872,1.047046600229964,1.0506055243277608,1.047046600229964,1.044772754610323
2019-08-02,1.0874306469327017,0.9779137057395099,0.9713476325747453,1.0536168678477689,1.0315473962285537,1.0098508319727146,1.028053031501311,1.0315473962285537,1.028053031501311,1.0258204337526295
2019-08-09,1.1245198485465222,1.011267592440604,1.0044775689833718,1.0895527765381796,1.0667305772993187,1.044294004245418,1.0631170296170558,1.0667305772993187,1.0631170296170558,1.0608082842370223
2019-08-16,1.1358670826801633,1.0214720278340914,1.0146134880353808,1.1005471671417049,1.0774946750907226,1.0548317004771446,1.0738446640488697,1.0774946750907226,1.0738446640488697,1.07151262172622
2019-08-23,1.1687036700425553,1.0510015881071735,1.0439447759536136,1.132362697102315,1.1086437844985275,1.08532564982517,1.1048882559112883,1.1086437844985275,1.1048882559112883,1.1024887969757022
2019-08-30,1.191388784011736,1.0714020466828986,1.06420825832907,1.1543424148842225,1.1301631065022457,1.1063923553477621,1.1263346812550576,1.1301631065022457,1.1263346812550576,1.1238886476394963
2019-09-06,1.2080576297420529,1.0863921453567895,1.0790977079538042,1.1704929409693134,1.145975337341743,1.1218720071087878,1.142093348194431,1.145975337341743,1.142093348194431,1.1396130918653977
2019-09-12,1.2056205970591227,1.0842005502709835,1.0769208280454177,1.168131688093579,1.1436635441936545,1.1196088379684443,1.1397893862409758,1.1436635441936545,1.1397893862409758,1.1373141333700452
2019-09-20,1.202046383257931,1.0809863014604613,1.0737281608864624,1.1646686148752066,1.1402730098634115,1.116289616838377,1.1364103373389483,1.1402730098634115,1.1364103373389483,1.133942422666282
2019-09-27,1.155268438314268,1.0389194408144349,1.0319437526523336,1.1193452354257512,1.095898991673225,1.0728489185717083,1.092186636046014,1.095898991673225,1.092186636046014,1.0898147609091688
2019-09-30,1.140524492933424,1.0256603825882653,1.0187737206315417,1.1050597546958296,1.081912740218343,1.0591568403215659,1.078247762989768,1.081912740218343,1.078247762989768,1.0759061585643075
2019-10-11,1.150813884901975,1.034913512852852,1.0279647219680197,1.1150291968561568,1.091673358538116,1.0687121632925007,1.08797531723464,1.091673358538116,1.08797531723464,1.0856125877163663
2019-10-18,1.1405478962797435,1.0256814289448222,1.018794625675101,1.1050824303124458,1.0819349408626115,1.0591785740190836,1.0782698884293986,1.0819349408626115,1.0782698884293986,1.0759282359546594
2019-10-25,1.1445003563748413,1.0292358302386306,1.0223251614081599,1.10891198821339,1.085684283343712,1.062849056478477,1.0820065300203954,1.085684283343712,1.0820065300203954,1.079656762772052
2019-11-01,1.1605946036656098,1.0437091992333318,1.0367013508672822,1.1245057830624665,1.1009514444577377,1.0777951029802941,1.0972219736568947,1.1009514444577377,1.0972219736568947,1.0948391633999055
2019-11-08,1.1648485087409375,1.0475346864842308,1.0405011523863699,1.128627412477851,1.1049867406089315,1.0817455246385117,1.101243600250503,1.1049867406089315,1.101243600250503,1.0988520563249153
2019-11-15,1.1756776076593916,1.0572731689180632,1.0501742470586861,1.1391197793393686,1.1152593302442722,1.0918020506185013,1.1114813915091424,1.1152593302442722,1.1114813915091424,1.1090676144214364
