year,ret,sh,dd,cal,n
2019,0.18786303941254712,1.7431618745933226,-0.05590224766267882,3.3605632558128304,51
2020,0.42597570143964947,2.4490420822685612,-0.08886689571606177,4.793412642663727,52
2021,0.3003953625382034,1.850025066101001,-0.061870816993742084,4.855202777887786,55
2022,0.051310539927876375,1.0127576761147075,-0.03819559859828647,1.3433626336773332,50
2023,0.17028280407975926,1.3804235958999205,-0.05045788674963292,3.3747510062140695,50
2024,0.2685411451479087,1.602413267777746,-0.05980952890460456,4.489939146255916,51
2025,0.3589390725374013,2.2889445059907056,-0.057464504485957635,6.246274561109525,53
2026,0.14977858869023652,0.9138206046061196,-0.06461319218052397,2.3180806215512058,15
