trade_week,pnl_net_B6
2018-01-12,0.0
2018-01-19,0.0
2018-01-26,0.0
2018-02-02,0.0
2018-02-09,0.0
2018-02-14,0.007415699342490395
2018-02-23,0.020809496155262692
2018-03-02,-0.04573595969368326
2018-03-09,0.02145858102591493
2018-03-16,-0.00880418457357851
2018-03-23,-0.031052068898427675
2018-03-30,0.06507130616231396
2018-04-04,0.005687133120331552
2018-04-13,-0.0020183081304193658
2018-04-20,-0.023670372115417056
2018-04-27,0.0037475606136997204
2018-05-04,0.006444083292664198
2018-05-11,0.04023695161970569
2018-05-18,0.036714284602177495
2018-05-25,-0.048700895402078184
2018-06-01,0.009169669062018269
2018-06-08,0.015743905770449873
2018-06-15,-0.003568706296015004
2018-06-22,-0.04482330780750964
2018-06-29,-0.034248245532070454
2018-07-06,-0.042292193151240845
2018-07-13,0.024461276899566488
2018-07-20,-0.006391854447895602
2018-07-27,0.01272756699123164
2018-08-03,-0.0232467026486756
2018-08-10,0.017526431944363412
2018-08-17,-0.02814292794367579
2018-08-24,0.025023250397856966
2018-08-31,-0.0025440279258490497
2018-09-07,-0.004355777984561733
2018-09-14,0.013738323017559655
2018-09-21,0.04782191056843609
2018-09-28,0.017933008053270527
2018-10-12,-0.06018738965505952
2018-10-19,-0.006274795777464778
2018-10-26,0.025940168541417338
2018-11-02,0.0006459318577265635
2018-11-09,-0.02953823450720607
2018-11-16,0.07635293995834064
2018-11-23,-0.040945935585880125
2018-11-30,-0.0016521396953562508
2018-12-07,0.007833779150927459
2018-12-14,0.002681634530159904
2018-12-21,-0.025606390872960388
2018-12-28,0.001973597326601239
2019-01-04,-0.011348192509065954
2019-01-11,0.01956986191382905
2019-01-18,0.0239810485956188
2019-01-25,-0.0036156545276817185
2019-02-01,0.020247899780433603
2019-02-15,0.010920785126530552
2019-02-22,0.06312886197070706
2019-03-01,0.063030816623335
2019-03-08,-0.021671125385668174
2019-03-15,0.015021372467289703
2019-03-22,0.03146268954926442
2019-03-29,-0.001102883052463348
2019-04-04,0.03952933914061986
2019-04-12,0.00182488891323751
2019-04-19,0.04810316779601597
2019-04-26,-0.07312550587267079
2019-04-30,0.013483765170771137
2019-05-10,-0.034888406415944886
2019-05-17,-0.012923179363099039
2019-05-24,0.0025532790807849173
2019-05-31,0.014363835625482303
2019-06-06,-0.005632168868305679
2019-06-14,0.006821305552230446
2019-06-21,0.026375595487375652
2019-06-28,0.0173743215496866
2019-07-05,0.017295971610291873
2019-07-12,-0.01437339655329243
2019-07-19,-0.01872392536669365
2019-07-26,-0.0008353757343788246
2019-08-02,-0.015399215088551242
2019-08-09,-0.03309048692308928
2019-08-16,0.008391560142019009
2019-08-23,0.029347460569344487
2019-08-30,0.009800321259381406
2019-09-06,0.024488106177074715
2019-09-12,-0.005365743873996316
2019-09-20,-0.020251333296821734
2019-09-27,-0.029244812143836858
2019-09-30,-0.005795947392536415
2019-10-11,0.018961695147547416
2019-10-18,-0.0107717029932069
2019-10-25,0.010908511132639999
2019-11-01,-0.005076874198731003
2019-11-08,0.0005872776204972062
2019-11-15,-0.01379281412885012
2019-11-22,-0.016613350476830213
2019-11-29,-0.00847700347576282
2019-12-06,0.0037060427513482632
2019-12-13,0.030888889156822676
2019-12-20,0.02075961505658584
2019-12-27,-0.004329643727660537
2020-01-03,0.0386942180065448
2020-01-10,-0.0037567273774106176
2020-01-17,-0.0022457421961653372
2020-01-23,-0.03372512816638167
2020-02-07,0.01968240053158978
2020-02-14,-0.009851571582972063
2020-02-21,0.046141340727811925
2020-02-28,-0.05091671426198281
2020-03-06,0.05573629406208687
2020-03-13,-0.05342445866182765
2020-03-20,-0.025969492750191964
2020-03-27,0.013680990647757572
2020-04-03,0.010056801887614819
2020-04-10,2.772704548640708e-05
2020-04-17,0.010811962597692902
2020-04-24,-0.011620681702417958
2020-04-30,0.008092664063286533
2020-05-08,0.03260808256559571
2020-05-15,-0.004043089911780391
2020-05-22,-0.015065413507638072
2020-05-29,0.032955962089049363
2020-06-05,0.033331564877045784
2020-06-12,0.007145924546057077
2020-06-19,0.015303030172216995
2020-06-24,-0.0008530759816659336
2020-07-03,0.08156886704853804
2020-07-10,0.09374928427762891
2020-07-17,-0.05856166857747609
2020-07-24,-0.000480924322276772
2020-07-31,0.043959290453534174
2020-08-07,0.041105560782536334
2020-08-14,-0.000958528501995903
2020-08-21,0.0014444846761873522
2020-08-28,0.04584980030200607
2020-09-04,-0.022189964639636014
2020-09-11,-0.018080930308065436
2020-09-18,0.015231090762528985
2020-09-25,-0.04389258372805575
2020-09-30,0.0006639215547237789
2020-10-09,0.011848312093558836
2020-10-16,0.036837778517482746
2020-10-23,-0.0149754489036788
2020-10-30,-0.01947941741869219
2020-11-06,0.059242023051517496
2020-11-13,0.014422202662648393
