mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann,is_maxdd,oos_sharpe,oos_calmar,oos_ann,oos_maxdd,full_sharpe,full_calmar,oos_pass_sh14,oos_pass_calmar2
4,4,1.0,0.0,4,mkt_ma50,0.15,1,1.2710275894188259,1.5554942380772512,0.1614120127046068,-0.10376895571411981,1.5011198261820626,3.4629059947382506,0.24395633576522546,-0.07044844305213815,1.343828414530111,1.8007082672253771,True,True
4,4,1.0,0.3,4,mkt_ma50,0.15,1,1.2710275894188259,1.5554942380772512,0.1614120127046068,-0.10376895571411981,1.5011198261820626,3.4629059947382506,0.24395633576522546,-0.07044844305213815,1.343828414530111,1.8007082672253771,True,True
4,8,1.5,0.0,4,mkt_ma50,0.15,1,1.273793420185956,1.6830351327231934,0.1615186302895899,-0.09596866229895551,1.4481324416565506,2.9204216224175727,0.23604319387714146,-0.0808250398042667,1.326769253777868,1.922957824020621,True,True
4,8,1.5,0.3,4,mkt_ma50,0.15,1,1.273793420185956,1.6830351327231934,0.1615186302895899,-0.09596866229895551,1.4481324416565506,2.9204216224175727,0.23604319387714146,-0.0808250398042667,1.326769253777868,1.922957824020621,True,True
4,4,1.5,0.0,4,mkt_ma50,0.2,1,1.3445093024711272,1.7127852123789709,0.20096029156969175,-0.11732953444324068,1.4461654680447134,2.785280768177605,0.2932591402846265,-0.105288897132085,1.3657229201921293,1.9548334557636908,True,True
4,4,1.5,0.3,4,mkt_ma50,0.2,1,1.3445093024711272,1.7127852123789709,0.20096029156969175,-0.11732953444324068,1.4461654680447134,2.785280768177605,0.2932591402846265,-0.105288897132085,1.3657229201921293,1.9548334557636908,True,True
4,8,1.0,0.0,4,mkt_ma50,0.15,1,1.2249656132897908,1.5044511324985252,0.15677372312140214,-0.10420659051985248,1.4349245015567722,3.070878285671615,0.23323892570247873,-0.07595186262859921,1.291523912011328,1.7310175080945198,True,True
4,8,1.0,0.3,4,mkt_ma50,0.15,1,1.2249656132897908,1.5044511324985252,0.15677372312140214,-0.10420659051985248,1.4349245015567722,3.070878285671615,0.23323892570247873,-0.07595186262859921,1.291523912011328,1.7310175080945198,True,True
4,4,1.5,0.3,4,mkt_ma50,0.15,1,1.4059147799669838,1.922506751057498,0.17806988999894413,-0.09262380478039656,1.4236618095195717,2.919223721829677,0.2318693917049588,-0.07942844187345477,1.4021510842505773,2.1030547791901024,True,True
4,4,1.5,0.0,4,mkt_ma50,0.15,1,1.4059147799669838,1.922506751057498,0.17806988999894413,-0.09262380478039656,1.4236618095195717,2.919223721829677,0.2318693917049588,-0.07942844187345477,1.4021510842505773,2.1030547791901024,True,True
4,4,1.5,0.0,4,mkt_ma50,none,1,1.3596988085143915,1.7698679306161238,0.21681273332144402,-0.12250221023326158,1.3819081594478755,2.733663325702278,0.3735010883264023,-0.13663024441038285,1.3147651183292826,1.9339588575528253,False,True
4,4,1.5,0.3,4,mkt_ma50,none,1,1.3596988085143915,1.7698679306161238,0.21681273332144402,-0.12250221023326158,1.3819081594478755,2.733663325702278,0.3735010883264023,-0.13663024441038285,1.3147651183292826,1.9339588575528253,False,True
4,4,1.5,0.3,3,mkt_ma50,0.15,1,1.2222325159927396,1.5351352014233357,0.15700022724910623,-0.10227127037640715,1.2882455025906154,2.7249268305380694,0.2103163743290104,-0.07718239329291676,1.2381148931066173,1.697160502339805,False,True
4,4,1.5,0.0,3,mkt_ma50,0.15,1,1.2222325159927396,1.5351352014233357,0.15700022724910623,-0.10227127037640715,1.2882455025906154,2.7249268305380694,0.2103163743290104,-0.07718239329291676,1.2381148931066173,1.697160502339805,False,True
8,4,1.5,0.3,3,mkt_ma50,0.15,1,1.2285564760968215,1.8589648083521133,0.1647870509349354,-0.08864452419678215,1.2074627196917185,1.4171453406695815,0.19606677656248084,-0.13835332970847014,1.2170128152245454,1.2617774358748353,False,False
8,4,1.5,0.0,3,mkt_ma50,0.15,1,1.2285564760968215,1.8589648083521133,0.1647870509349354,-0.08864452419678215,1.2074627196917185,1.4171453406695815,0.19606677656248084,-0.13835332970847014,1.2170128152245454,1.2617774358748353,False,False
12,4,1.5,0.3,4,mkt_ma50,0.2,1,1.2188484196012244,1.5890576853803282,0.18893634145498184,-0.11889835290010975,0.9836068501776071,1.458031107031976,0.19851267904764436,-0.13615119601374237,1.1231562655935696,1.4098357068685492,False,False
12,4,1.5,0.0,4,mkt_ma50,0.2,1,1.2188484196012244,1.5890576853803282,0.18893634145498184,-0.11889835290010975,0.9836068501776071,1.458031107031976,0.19851267904764436,-0.13615119601374237,1.1231562655935696,1.4098357068685492,False,False
12,4,1.5,0.3,4,mkt_ma50,none,1,1.242096585790289,1.7211340158431856,0.21240937347452005,-0.12341245453246152,0.8086208208419634,1.1373822058551153,0.20428454439227473,-0.17960940776164858,1.0489484506260711,1.1683066710431615,False,False
12,4,1.5,0.0,4,mkt_ma50,none,1,1.242096585790289,1.7211340158431856,0.21240937347452005,-0.12341245453246152,0.8086208208419634,1.1373822058551153,0.20428454439227473,-0.17960940776164858,1.0489484506260711,1.1683066710431615,False,False
