year,ret,vol,sh,dd,cal,n
2019,0.14595556810111665,0.08289949315685055,1.760632816233996,-0.042957193672921834,3.3976979318628087,51
2020,0.2790014017735607,0.1264818791326566,2.205860663098931,-0.06211091039075933,4.491986995815628,52
2021,0.18441568204450598,0.10769482232694545,1.7123913486262823,-0.04852159641848108,3.80069279777994,55
2022,-0.004955539318653668,0.00346035124050576,-1.4320914191154115,-0.0017678579873201539,-2.803132012976693,50
2023,0.1263195766898817,0.11268835273911978,1.1209639117036256,-0.03546244647319097,3.562066051629496,50
2024,0.13909921058372365,0.13304627200086427,1.0454949882610771,-0.03289921961708886,4.2280398198707205,51
2025,0.20895664177546425,0.11059246944845058,1.8894292063246063,-0.04175408858713037,5.004459415738984,53
2026,0.1182014598054677,0.10402382454796742,1.13629219382299,-0.04054751851731109,2.915134245638326,15
