trade_week,pnl_net
2019-01-04,0.0
2019-01-11,0.0
2019-01-18,0.0
2019-01-25,0.0
2019-02-01,0.0
2019-02-15,0.0
2019-02-22,0.0
2019-03-01,0.0
2019-03-08,0.0
2019-03-15,0.0
2019-03-22,0.0
2019-03-29,0.0
2019-04-04,0.0
2019-04-12,0.0
2019-04-19,0.0
2019-04-26,0.0
2019-04-30,0.0
2019-05-10,0.0
2019-05-17,0.0
2019-05-24,0.0
2019-05-31,0.0
2019-06-06,0.0
2019-06-14,0.0
2019-06-21,0.0
2019-06-28,0.0
2019-07-05,0.0
2019-07-12,0.0
2019-07-19,0.0
2019-07-26,0.0
2019-08-02,0.0
2019-08-09,0.0
2019-08-16,0.014848140827941364
2019-08-23,0.034026413722397716
2019-08-30,0.018221569455294365
2019-09-06,0.02252998343033258
2019-09-12,-0.002127057835916893
2019-09-20,-0.00014685394818796094
2019-09-27,-0.031358872511176625
2019-09-30,-0.009722311448997836
2019-10-11,0.018293263485007052
2019-10-18,-0.003812289404103983
2019-10-25,0.007180809496014656
2019-11-01,0.017519274499322363
2019-11-08,0.005409242922216645
2019-11-15,0.005010674463455919
2019-11-22,-0.018060585625409187
2019-11-29,-0.010015743398148078
2019-12-06,0.04396255902578097
2019-12-13,0.02454317177544528
2019-12-20,0.00841814501395198
2019-12-27,-0.004627237009250024
2020-01-03,0.03704953177788023
2020-01-10,0.018379749877251994
2020-01-17,0.019790486814095995
2020-01-23,0.007862386032674265
2020-02-07,-0.003819606432845027
2020-02-14,0.024579130338067662
2020-02-21,0.10320788333295167
2020-02-28,-0.05032557871228261
2020-03-06,0.025746986013522252
2020-03-13,-0.019006101540998535
2020-03-20,-0.05031080941901326
2020-03-27,-0.00017362264587661455
2020-04-03,0.0
2020-04-10,0.0
2020-04-17,0.0
2020-04-24,0.0023153786276557797
2020-04-30,0.008014062606173359
2020-05-08,0.016268299893786874
2020-05-15,0.011991044648562363
2020-05-22,-0.01912185252384204
2020-05-29,0.006042532188706828
2020-06-05,0.01665471525245046
2020-06-12,0.006343997399626291
2020-06-19,0.02421687619358869
2020-06-24,0.00883054321091213
2020-07-03,0.02723488515129889
2020-07-10,0.043766684275343026
2020-07-17,-0.04476338801495377
2020-07-24,0.009694664000500655
2020-07-31,0.014587193697314685
2020-08-07,0.020111768582051014
2020-08-14,-0.015786735366760868
2020-08-21,-0.0019965311618540408
2020-08-28,0.018819590863137
2020-09-04,-0.007304257653917782
2020-09-11,-0.010227519997849809
2020-09-18,0.007831288129054485
2020-09-25,-0.03118228338644561
2020-09-30,-0.0020562047942545556
2020-10-09,0.02029884065573351
2020-10-16,0.012368826318486232
2020-10-23,-0.02847480408078468
2020-10-30,0.004968168096136275
2020-11-06,0.028080573705203324
2020-11-13,0.011658729681858042
2020-11-20,0.015524238554637672
2020-11-27,0.0025218760166321455
2020-12-04,-0.007055648724698306
2020-12-11,0.005292933481412028
2020-12-18,0.01996208060551056
2020-12-25,0.012738568824895241
2020-12-31,0.015477528929519547
2021-01-08,0.03373735743930187
2021-01-15,-0.03577181618073183
2021-01-22,0.044160710036154835
2021-01-29,-0.050621672811185264
2021-02-05,0.032573406303692716
2021-02-10,0.025516244864072505
2021-02-19,-0.012108258401959032
2021-02-26,-0.006935698688428194
2021-03-05,0.007480290730605276
2021-03-12,0.014905734891318911
2021-03-19,-0.008297480083924764
2021-03-25,-8.00612333586931e-05
2021-03-26,-0.00015753885559369822
2021-04-02,0.009565200513686048
2021-04-09,-0.018236078876495226
2021-04-16,-0.0060805972316446836
2021-04-23,0.02429094657725972
2021-04-30,0.0039313061026258695
2021-05-07,0.025890770945858357
2021-05-13,-8.763648940457054e-05
2021-05-14,-0.00016966955414807249
2021-05-21,-0.015171444471440539
2021-05-28,0.02812185156786631
2021-06-04,0.003308094685845425
2021-06-11,0.01408868285009005
2021-06-18,-0.0017090342879518495
2021-06-24,-0.00016640990495938815
2021-06-25,-0.00016640990495938815
2021-07-02,-0.017419849888807175
2021-07-09,0.054814862659786016
2021-07-16,0.02323564110299594
2021-07-23,0.03640870563025338
2021-07-30,-0.0023177914654482334
2021-08-06,0.009615422458875974
2021-08-13,0.021074825522503827
2021-08-20,-0.02939514884798159
2021-08-27,0.0599469456317503
2021-09-03,0.03231219111671325
2021-09-10,0.0516296704014239
2021-09-17,-0.0234840581307739
2021-09-24,-0.0210544973031263
2021-09-30,0.0032399833810190792
2021-10-08,0.009357485883390339
2021-10-15,-0.007889090035295768
2021-10-22,-0.0031125777790170874
2021-10-29,-0.005438181790541142
2021-11-05,0.005023261333215672
2021-11-12,0.02219382161345939
2021-11-19,-0.0017343416358449706
2021-11-26,-0.01574171071210073
2021-12-03,-1.1649056150153967e-05
2021-12-10,0.002121957280596164
2021-12-17,-0.016144443817095764
2021-12-24,-0.013337694184623926
2021-12-31,-0.007770245821724982
2022-01-07,-0.004504270720258696
2022-01-14,-0.002467594895502859
2022-01-21,-0.00018449559239865342
2022-01-28,0.0
2022-02-11,0.0
2022-02-18,0.0
2022-02-25,0.0
2022-03-04,0.0
2022-03-11,0.0
2022-03-18,0.0
2022-03-25,0.0
2022-04-01,0.0
2022-04-08,0.0
2022-04-15,0.0
2022-04-22,0.0
2022-04-29,0.0
2022-05-06,0.0
2022-05-13,0.0
2022-05-20,0.0
