config,full_sh,full_cal,full_dd,full_ann,full_vol,is_sh,is_cal,is_dd,oos_sh,oos_cal,oos_dd,ann_tov
V8_A_vt10,1.445886800723969,2.4365226390914567,-0.06211091039075933,0.1513346393016659,0.10466562059069302,1.478801880919391,2.321535341374106,-0.06211091039075933,1.40151189974045,3.135235033670771,-0.05325673225728911,5.16545658883235
V10_MA60_vt10,1.3685154932995374,1.9959160168524759,-0.07160586398801239,0.14291929083423383,0.10443381279495094,1.3590181746368803,1.843322968311354,-0.07160586398801239,1.40151189974045,3.135235033670771,-0.05325673225728911,5.284973130016927
V7_ENS_GOLD,1.911326508862482,3.2145010825115596,-0.08886689571606177,0.2856627324787224,0.14945784048625654,1.8555177066799715,2.9330657392866075,-0.08886689571606177,2.036354136377284,4.500495133718535,-0.07590363129403477,9.059284911885463
V6_HALF_GOLD,1.7248936835279498,2.6330637787814273,-0.09246623636713225,0.24346949773853788,0.14115043730728158,1.723157401172244,2.4097716693471853,-0.09246623636713225,1.7607588590338739,3.65357489310821,-0.07922067589877546,7.595155080268981
V1_BASE,1.4021510842505773,2.1030547791901024,-0.09262380478039656,0.19479293531018405,0.13892435522688135,1.4059147799669838,1.922506751057498,-0.09262380478039656,1.4236618095195717,2.919223721829677,-0.07942844187345477,7.164083696183763
V3_GOLD,1.9583807657754089,2.989829476372459,-0.09770741210718015,0.29212850077811847,0.14916838741645422,1.9287747919759748,2.72938841607681,-0.09770741210718015,2.042625849961809,4.514332928455953,-0.07732455230808322,7.942406693422503
V9_A_top5,1.2722103392043282,1.7593504098994286,-0.09968604889721988,0.17538269098857828,0.13785667792816944,1.188613114595532,1.5072927899515371,-0.09968604889721988,1.4462133527967815,3.006951085138664,-0.07707473425265265,6.83497205390408
V4_RED_GOLD,1.8073839212001388,2.652073866030631,-0.10049753824437802,0.2665268947783288,0.1474655670286973,1.7780341805364457,2.4181556306507814,-0.10049753824437802,1.888086802221933,4.315802743259443,-0.07392190884243777,7.905228930722746
V5_HALF_RED,1.4277288108982138,1.9378938708295252,-0.1058332568564424,0.20509361979202656,0.1436502634299282,1.3649618753661235,1.7077623851130308,-0.1058332568564424,1.5655957957248494,3.460668608524877,-0.07502519908680927,7.428842271635798
V2_RED,1.3346472997804693,1.557728948322104,-0.13353683368943203,0.20801419150530265,0.15585705042786815,1.2451409675979175,1.370296608775833,-0.1314244870201996,1.5198214418499578,2.028239371232467,-0.13353683368943203,7.633646682676633
