ann_ret,vol,sharpe,max_dd,spec,worst_year,sharpe_ex_best,ann_tov
0.21110798782971907,0.25893425517453944,0.8152957115983662,-0.4102721053692061,A7_lam10_m4_t4_b,-0.7357744782367345,0.6416524899767331,20.4367816091954
0.18215251436518098,0.2380048694899766,0.7653310403081993,-0.3703116649273841,G_top3_1each,-0.8051023104971353,0.62800701042174,21.839080459770113
0.18215251436518098,0.2380048694899766,0.7653310403081993,-0.3703116649273841,G_top3_mom_within,-0.8051023104971353,0.62800701042174,21.839080459770113
0.1957737763327625,0.2623900127469138,0.7461174847443395,-0.41027210536920666,A2_lam10_m4_t4,-0.7357744782367345,0.5752298412631517,21.080459770114942
0.18414723909534292,0.27296885819866873,0.6746089656913142,-0.4032757856537672,G_top2_1each,-0.9223405247968046,0.5508544646188575,24.06896551724138
0.1501773602023142,0.22742439859480035,0.6603397046676757,-0.3062137708563395,B2_m4_K8_t4,-0.8288208568895095,0.5035456670465545,19.057471264367816
0.13048969439055158,0.21439477637435314,0.6086421348377653,-0.4089222147872834,B6_m4_K10_t8,-0.8513290667587978,0.3909320552722294,15.517241379310345
0.12172670576544253,0.2148203790718853,0.566644125158671,-0.44979431950596205,B1_m4_K10_t4,-1.2228601186302126,0.3700228811247572,16.482758620689655
0.09244556127010828,0.180970296238929,0.5108327896422047,-0.36245017573881644,ETF_EQW_BENCH,-1.0516959997702753,,0.29382258981150744
0.11575973567527997,0.2664793050429998,0.4344042238349453,-0.49061433188376735,A8_pure_m4,-1.0679930298101918,0.3812383864846963,21.448275862068968
-0.014496881461463995,0.23376490381658396,-0.062014790179275595,-0.5770975853589575,C1_rev1w,-1.1428040651481992,-0.17219206364005527,41.03448275862069
