base,gate,fallback,sharpe,ann_ret,max_dd,worst_year,sharpe_2018,sharpe_ex_best,pass_worst05,pass_bestout50,ann_tov
A7_base,none,cash,1.3596884681440906,0.2697900301859,-0.14617614237337517,-0.448387761668462,-0.448387761668462,1.2373154974761975,False,True,19.316037735849058
A7_base,none,bench,1.3596884681440906,0.2697900301859,-0.14617614237337517,-0.448387761668462,-0.448387761668462,1.2373154974761975,False,True,19.316037735849058
A7_base,breadth_gt30,cash,1.3454115427496602,0.2168818925077285,-0.19458629431887697,-0.8475001700418278,-0.8475001700418278,1.2186559849845051,False,True,16.822327044025158
A7_base,mkt_above_ma50,cash,1.312127524176696,0.2106561507239748,-0.12660729273996285,-0.13133938006293325,,1.1896734245162277,False,True,15.636792452830187
A2_base,mkt_above_ma50,cash,1.312127524176696,0.2106561507239748,-0.12660729273996285,-0.13133938006293325,,1.1896734245162277,False,True,15.636792452830187
A2_base,none,cash,1.310283628635902,0.26433907253438793,-0.16015357634673077,-0.5439927696607211,-0.5439927696607211,1.1976492913991785,False,True,20.133647798742135
A2_base,none,bench,1.310283628635902,0.26433907253438793,-0.16015357634673077,-0.5439927696607211,-0.5439927696607211,1.1976492913991785,False,True,20.133647798742135
A2_base,breadth_gt30,cash,1.3070074688782716,0.21348020199861129,-0.19458629431887642,-0.7359692198556466,-0.7359692198556466,1.186280614063924,False,True,17.2311320754717
B2_base,none,bench,1.271291634780371,0.2528313502109847,-0.16571755818694178,-0.3738539448012315,-0.3738539448012315,1.1698788247214662,False,True,24.753144654088047
B2_base,none,cash,1.271291634780371,0.2528313502109847,-0.16571755818694178,-0.3738539448012315,-0.3738539448012315,1.1698788247214662,False,True,24.753144654088047
A7_base,breadth_gt40,cash,1.2651406899675304,0.20091492440372427,-0.19134894556541215,-1.0233358862322863,-1.0233358862322863,1.1484788408371152,False,True,16.086477987421386
B2_base,breadth_gt30,cash,1.2521682002687051,0.2088357435374304,-0.1370173163271674,-0.8956731990560336,-0.8956731990560336,1.1445425277623782,False,True,20.746855345911953
B2_base,mkt_above_ma50,cash,1.2338303969844095,0.20286739165030787,-0.11164933957207146,-0.10240941352858923,,1.1277151683965312,False,True,18.907232704402514
A2_base,breadth_gt40,cash,1.2238067564910067,0.19498158461852277,-0.1913489455654116,-1.5081471932294104,-1.5081471932294104,1.1126024789491513,False,True,16.209119496855347
A7_base,breadth_gt50,bench,1.2150638740353727,0.24232642356575496,-0.24449858553364712,-0.9754017968280555,-0.9754017968280555,1.1034935773347978,False,True,17.869395414891457
B6_base,none,cash,1.1983232930808396,0.23315684613611376,-0.1452651375564623,-0.13158653503034232,-0.13158653503034232,1.1065600086098069,False,True,22.504716981132077
B6_base,none,bench,1.1983232930808396,0.23315684613611376,-0.1452651375564623,-0.13158653503034232,-0.13158653503034232,1.1065600086098069,False,True,22.504716981132077
