year,ret,vol,sh,dd,cal,n
2019,0.14595556810111665,0.08289949315685055,1.760632816233996,-0.042957193672921834,3.3976979318628087,51
2020,0.2840333260979089,0.12643509305135087,2.246475398903297,-0.06211091039075933,4.573002139414244,52
2021,0.18441568204450598,0.10769482232694547,1.712391348626282,-0.04852159641848108,3.80069279777994,55
2022,-0.01889285941869434,0.01406942395791089,-1.3428310551457476,-0.015215698057409077,-1.2416689229380915,50
2023,0.07644462934758955,0.10943985440972168,0.6985081418456172,-0.03640831345996276,2.0996476376653277,50
2024,0.13909921058372365,0.13304627200086427,1.0454949882610771,-0.03289921961708886,4.2280398198707205,51
2025,0.20895664177546425,0.11059246944845058,1.8894292063246063,-0.04175408858713037,5.004459415738984,53
2026,0.1182014598054677,0.10402382454796742,1.13629219382299,-0.04054751851731109,2.915134245638326,15
