year,ret,sh,dd,cal,n
2019,0.1852328607626026,1.7331222814757143,-0.055902247662678484,3.3135136511920242,51
2020,0.44168126173539757,2.5364779417518966,-0.08886689571606177,4.970143923408909,52
2021,0.3003953625382034,1.850025066101001,-0.061870816993742084,4.855202777887786,55
2022,0.04261298524575596,0.5700279615075983,-0.08051717712313455,0.5292409243382703,50
2023,0.16813244678665873,1.3057932374480055,-0.05045788674963303,3.33213413437061,50
2024,0.2905677573811565,1.6946834098338386,-0.053402581789586234,5.441080705162061,51
2025,0.3592560196572887,2.2956825271653343,-0.057464504485957635,6.251790089742767,53
2026,0.14977858869023652,0.9138206046061204,-0.06461319218052397,2.3180806215512058,15
