trade_week,V7_gold,V7_metals,V7_global,V7_full_def,V7_gold_half
2019-01-04,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0,1.0
2019-04-04,1.002997924936846,1.0140237627347346,1.0200503021818021,1.0156003781976835,1.0143661764334835
2019-04-12,1.0037195061778077,1.0064870356184543,1.0170000434279072,1.017931443261671,1.0125872553800994
2019-04-19,0.9903702532200149,0.9964744570967076,1.015294988693763,1.0185087674993496,1.0069664203702309
2019-04-26,0.9936173688043426,0.9987696914066989,1.0223637552230251,1.0257219588106343,1.012740783930342
2019-04-30,0.9943389500453043,0.9984700387588279,1.0250391686554863,1.025175115976578,1.0147527610403932
2019-05-10,1.0055234592802118,1.0034225322892847,1.0112593445624358,1.006743586584467,1.0094631091100732
2019-05-17,1.022841409063294,1.0127305844737726,1.0139832491060021,1.014075767010683,1.0170710871618516
2019-05-24,1.0232021996837748,1.0102193410997498,1.000857416347818,0.9903131519025126,1.0084134693914082
2019-05-31,1.0300572214729116,1.0115802259676587,0.9914691553860093,0.9726932622215718,1.004359358317219
2019-06-06,1.0600028429728245,1.0350984937444896,1.003294142530646,0.9752222200810926,1.0220780211672031
2019-06-14,1.0812894895811962,1.0509468208860344,1.024833667711119,0.9919717037473759,1.0435482336122102
2019-06-21,1.1040192986714918,1.0661034218732033,1.051433308064942,1.0192565177823274,1.0689173023429326
2019-06-28,1.1144822266654373,1.070465630891881,1.0499426289858815,1.0172141596518962,1.0712837449014687
2019-07-05,1.118531722466876,1.0743551914197784,1.0537576187327806,1.020910229782148,1.075176278064701
2019-07-12,1.1053473456085368,1.0616915329478025,1.0413367483330762,1.0088765387051566,1.0625029412657339
2019-07-19,1.1082577162630918,1.0644869581993823,1.0440785796007759,1.0115329025024569,1.0653005029488767
2019-07-26,1.1075212337966864,1.06377956318744,1.0433847467890196,1.010860697620909,1.064592567303258
2019-08-02,1.0874306469327017,1.04448245621904,1.024457604583302,0.9925235461215008,1.0452807123288503
2019-08-09,1.1245198485465222,1.0801068158139042,1.0593989727968771,1.026375733396523,1.0809322981949987
2019-08-16,1.1358670826801633,1.0910058897112866,1.0700890892948676,1.0367326210681738,1.0918397018180535
2019-08-23,1.1687036700425553,1.1225455925133585,1.1010241118885873,1.066703347222875,1.1234035091518133
2019-08-30,1.191388784011736,1.1443347554590346,1.1223955322932988,1.0874085846781287,1.1452093246820738
2019-09-06,1.2080576297420529,1.1603452633289815,1.1380990861854172,1.1026226325079118,1.1612320687419655
2019-09-12,1.2056205970591227,1.158004481514773,1.1358031819163146,1.100398295418187,1.1588894979619646
2019-09-20,1.202046383257931,1.154571431673249,1.132435950618056,1.0971360263561907,1.1554538243779402
2019-09-27,1.155268438314268,1.1096409867115853,1.0883669136091327,1.0544406950017544,1.1104890408766548
2019-09-30,1.140524492933424,1.0954793550441486,1.074476789204812,1.0409835490269799,1.0963165860413076
2019-10-11,1.150813884901975,1.1053623663668724,1.0841703231128854,1.0503749192563057,1.106207150553771
2019-10-18,1.1405478962797435,1.0955018340727807,1.0744988372647757,1.0410049098120062,1.0963390822497607
2019-10-25,1.1445003563748413,1.0992981913300273,1.0782224106371614,1.0446124131691676,1.1001383409108152
2019-11-01,1.1605946036656098,1.1147567945877843,1.0933846410502726,1.0593020114789518,1.1156087585599257
2019-11-08,1.1648485087409375,1.1188426912232465,1.0973922027424938,1.0631846507646272,1.1196977778825465
2019-11-15,1.1756776076593916,1.1292440937116628,1.1075941892039638,1.0730686242301182,1.1301071297463088
2019-11-22,1.152328638894351,1.1068172949869066,1.085597357794076,1.0517574708776485,1.1076631911174797
2019-11-29,1.1442027652895932,1.0990123536367957,1.0779420530334847,1.0443407947813121,1.0998522847632823
2019-12-06,1.2214282007804167,1.1731877622217557,1.150695368271553,1.114826267395432,1.1740843826423017
2019-12-13,1.2485125446657235,1.1992024070234273,1.1762112594566292,1.139546785539043,1.20011890939511
2019-12-20,1.2592039415628873,1.2094715460467396,1.1862835182124518,1.149305075128634,1.2103958967100992
2019-12-27,1.2523179485268572,1.202857516048535,1.1797962926125785,1.1430200672102289,1.2037768118736587
2020-01-03,1.3024871278060979,1.2510452581798432,1.2270601777838246,1.1888106579616395,1.2520013819663607
2020-01-10,1.3198651096046448,1.2677368947125032,1.2434318017177721,1.2046719509717085,1.2687057752483233
2020-01-17,1.344336904953013,1.291242173863547,1.2664864368921231,1.2270079345745553,1.2922290185428367
2020-01-23,1.3599021904774642,1.306192706757012,1.2811503376824982,1.2412147370301403,1.307190977529824
2020-02-07,1.363328395768569,1.3094835937005223,1.2843781316344494,1.2443419152413295,1.3104843795664252
2020-02-14,1.4002009178538632,1.344899831548215,1.3191153682177617,1.2779963340107177,1.3459276846262862
2020-02-21,1.5480602980366254,1.486919489559448,1.4584122207246035,1.412951070444042,1.488055882574256
2020-02-28,1.4751628911352144,1.4169011736078498,1.3897362982046677,1.3464158913915354,1.4179840544280067
2020-03-06,1.5002194381368934,1.4409681095825733,1.4133418220998,1.3692855915915572,1.4420693837980159
2020-03-13,1.478007633375432,1.4196335624463963,1.392416301595496,1.3490123545903854,1.4207185315219104
2020-03-20,1.4104889849688291,1.3547815703425883,1.32880765399444,1.2873864950149936,1.355816975637857
2020-03-27,1.475248809606685,1.4261235520027238,1.3721911941682168,1.3253842922642007,1.4060771001416394
2020-04-03,1.467818173087108,1.4226026527671451,1.3638775526042983,1.3244720895144617,1.398038334607955
2020-04-10,1.4893842452585173,1.452740707924714,1.3949234166514548,1.3439577470823787,1.4260445215845363
2020-04-17,1.488232250352726,1.4516585557916422,1.414373761582441,1.3631641382450579,1.438825201165481
2020-04-24,1.4920533345214861,1.455279298700123,1.4181101993678482,1.3668436479597637,1.4426068315621214
