year,ret,vol,sh,dd,cal,n,config
2019,0.1494171961585291,0.08366992573113939,1.7857933403533617,-0.042957193672921834,3.4782811301920447,51,B_A_red
2020,0.38286943287640773,0.17448148983954267,2.1943269353586077,-0.10022636207596336,3.8200471906405635,52,B_A_red
2021,0.28336168945336593,0.16154223349041816,1.754102833239417,-0.07227760591404053,3.920463134741442,55,B_A_red
2022,-0.012612686550115604,0.15281850137390093,-0.0825337667672591,-0.10607491290855053,-0.11890357676738582,50,B_A_red
2023,0.12024209340886283,0.13179835846180604,0.9123185964695295,-0.07744164496233441,1.5526800014042241,50,B_A_red
2024,0.2453125776136893,0.2038279656232757,1.203527577109254,-0.13353683368943203,1.837040544066031,51,B_A_red
2025,0.3240377259145877,0.15966994772374035,2.0294221331821007,-0.058666306775492116,5.523404211460515,53,B_A_red
2026,0.17798343021918228,0.15603573682195113,1.1406581200194874,-0.0604333108068964,2.945121288950986,15,B_A_red
