trade_week,V7gold_noFG,V7gb7030_noFG,V7gold_FG1_br10_30,V7gb7030_FG1_br10_30,V7gold_FG2_br20_25,V7gb7030_FG2_br20_25,V7gold_FG3_rev2w_m5,V7gb7030_FG3_rev2w_m5,V7gold_FG4_vol_ex,V7gb7030_FG4_vol_ex,V7gold_FG5_mktdd_m8,V7gb7030_FG5_mktdd_m8
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-04,1.002997924936846,1.0008991443136246,1.002997924936846,1.0008991443136246,1.002997924936846,1.0008991443136246,1.002997924936846,1.0008991443136246,1.002997924936846,1.0008991443136246,1.002997924936846,1.0008991443136246
2019-04-12,1.0037195061778077,1.000466979056408,1.0037195061778077,1.000466979056408,1.0037195061778077,1.000466979056408,1.0037195061778077,1.000466979056408,1.0037195061778077,1.000466979056408,1.0037195061778077,1.000466979056408
2019-04-19,0.9903702532200149,0.990886418889045,0.9903702532200149,0.990886418889045,0.9903702532200149,0.990886418889045,0.9903702532200149,0.990886418889045,0.9903702532200149,0.990886418889045,0.9903702532200149,0.990886418889045
2019-04-26,0.9936173688043426,0.9932861991490024,0.9936173688043426,0.9932861991490024,0.9936173688043426,0.9932861991490024,0.9936173688043426,0.9932861991490024,0.9936173688043426,0.9932861991490024,0.9936173688043426,0.9932861991490024
2019-04-30,0.9943389500453043,0.9939889266901675,0.9943389500453043,0.9939889266901675,0.9943389500453043,0.9939889266901675,0.9943389500453043,0.9939889266901675,0.9943389500453043,0.9939889266901675,0.9943389500453043,0.9939889266901675
2019-05-10,1.0055234592802118,1.002588536221397,1.0055234592802118,1.002588536221397,1.0055234592802118,1.002588536221397,1.0055234592802118,1.002588536221397,1.0055234592802118,1.002588536221397,1.0055234592802118,1.002588536221397
2019-05-17,1.022841409063294,1.015187413885609,1.022841409063294,1.015187413885609,1.022841409063294,1.015187413885609,1.022841409063294,1.015187413885609,1.022841409063294,1.015187413885609,1.022841409063294,1.015187413885609
2019-05-24,1.0232021996837748,1.0156418411621584,1.0232021996837748,1.0156418411621584,1.0232021996837748,1.0156418411621584,1.0232021996837748,1.0156418411621584,1.0232021996837748,1.0156418411621584,1.0232021996837748,1.0156418411621584
2019-05-31,1.0300572214729116,1.0211753748778092,1.0300572214729116,1.0211753748778092,1.0300572214729116,1.0211753748778092,1.0300572214729116,1.0211753748778092,1.0300572214729116,1.0211753748778092,1.0300572214729116,1.0211753748778092
2019-06-06,1.0600028429728245,1.042050859821022,1.0600028429728245,1.042050859821022,1.0600028429728245,1.042050859821022,1.0600028429728245,1.042050859821022,1.0600028429728245,1.042050859821022,1.0600028429728245,1.042050859821022
2019-06-14,1.0812894895811962,1.0565708969733194,1.0812894895811962,1.0565708969733194,1.0812894895811962,1.0565708969733194,1.0812894895811962,1.0565708969733194,1.0812894895811962,1.0565708969733194,1.0812894895811962,1.0565708969733194
2019-06-21,1.1040192986714918,1.072820043743552,1.1040192986714918,1.072820043743552,1.1040192986714918,1.072820043743552,1.1040192986714918,1.072820043743552,1.1040192986714918,1.072820043743552,1.1040192986714918,1.072820043743552
2019-06-28,1.1144822266654373,1.0798272756459435,1.1144822266654373,1.0798272756459435,1.1144822266654373,1.0798272756459435,1.1144822266654373,1.0798272756459435,1.1144822266654373,1.0798272756459435,1.1144822266654373,1.0798272756459435
2019-07-05,1.118531722466876,1.0837508519169539,1.118531722466876,1.0837508519169539,1.118531722466876,1.0837508519169539,1.118531722466876,1.0837508519169539,1.118531722466876,1.0837508519169539,1.118531722466876,1.0837508519169539
2019-07-12,1.1053473456085368,1.0709764447497558,1.1053473456085368,1.0709764447497558,1.1053473456085368,1.0709764447497558,1.1053473456085368,1.0709764447497558,1.1053473456085368,1.0709764447497558,1.1053473456085368,1.0709764447497558
2019-07-19,1.1082577162630918,1.0737963170992961,1.1082577162630918,1.0737963170992961,1.1082577162630918,1.0737963170992961,1.1082577162630918,1.0737963170992961,1.1082577162630918,1.0737963170992961,1.1082577162630918,1.0737963170992961
2019-07-26,1.1075212337966864,1.073082735638568,1.1075212337966864,1.073082735638568,1.1075212337966864,1.073082735638568,1.1075212337966864,1.073082735638568,1.1075212337966864,1.073082735638568,1.1075212337966864,1.073082735638568
2019-08-02,1.0874306469327017,1.0536168678477689,1.0874306469327017,1.0536168678477689,1.0874306469327017,1.0536168678477689,1.0874306469327017,1.0536168678477689,1.0874306469327017,1.0536168678477689,1.0874306469327017,1.0536168678477689
2019-08-09,1.1245198485465222,1.0895527765381796,1.1245198485465222,1.0895527765381796,1.1245198485465222,1.0895527765381796,1.1245198485465222,1.0895527765381796,1.1245198485465222,1.0895527765381796,1.1245198485465222,1.0895527765381796
2019-08-16,1.1358670826801633,1.1005471671417049,1.1303767227577022,1.093487006201939,1.1358670826801633,1.1005471671417049,1.1358670826801633,1.1005471671417049,1.1358670826801633,1.1005471671417049,1.1358670826801633,1.1005471671417049
2019-08-23,1.1687036700425553,1.132362697102315,1.162842644607935,1.1248934063629292,1.1687036700425553,1.132362697102315,1.1687036700425553,1.132362697102315,1.1687036700425553,1.132362697102315,1.1687036700425553,1.132362697102315
2019-08-30,1.191388784011736,1.1543424148842225,1.185413993186137,1.1467281415320194,1.191388784011736,1.1543424148842225,1.191388784011736,1.1543424148842225,1.191388784011736,1.1543424148842225,1.191388784011736,1.1543424148842225
2019-09-06,1.2080576297420529,1.1704929409693134,1.2019992449898704,1.162772135518135,1.2080576297420529,1.1704929409693134,1.2080576297420529,1.1704929409693134,1.2080576297420529,1.1704929409693134,1.2080576297420529,1.1704929409693134
2019-09-12,1.2056205970591227,1.168131688093579,1.1995744339769032,1.160426457938446,1.2056205970591227,1.168131688093579,1.2056205970591227,1.168131688093579,1.2056205970591227,1.168131688093579,1.2056205970591227,1.168131688093579
2019-09-20,1.202046383257931,1.1646686148752066,1.1960181447861449,1.156986227843382,1.202046383257931,1.1646686148752066,1.202046383257931,1.1646686148752066,1.202046383257931,1.1646686148752066,1.202046383257931,1.1646686148752066
2019-09-27,1.155268438314268,1.1193452354257512,1.1494747902969502,1.1119618104661195,1.155268438314268,1.1193452354257512,1.155268438314268,1.1193452354257512,1.155268438314268,1.1193452354257512,1.155268438314268,1.1193452354257512
2019-09-30,1.140524492933424,1.1050597546958296,1.134804785506094,1.0977705596231384,1.140524492933424,1.1050597546958296,1.140524492933424,1.1050597546958296,1.140524492933424,1.1050597546958296,1.140524492933424,1.1050597546958296
2019-10-11,1.150813884901975,1.1150291968561568,1.145042576380561,1.1076742413498204,1.150813884901975,1.1150291968561568,1.150813884901975,1.1150291968561568,1.150813884901975,1.1150291968561568,1.150813884901975,1.1150291968561568
2019-10-18,1.1405478962797435,1.1050824303124458,1.134828071485102,1.0977930856668539,1.1405478962797435,1.1050824303124458,1.1405478962797435,1.1050824303124458,1.1405478962797435,1.1050824303124458,1.1405478962797435,1.1050824303124458
2019-10-25,1.1445003563748413,1.10891198821339,1.1387607100721986,1.1015973830382535,1.1445003563748413,1.10891198821339,1.1445003563748413,1.10891198821339,1.1445003563748413,1.10891198821339,1.1445003563748413,1.10891198821339
2019-11-01,1.1605946036656098,1.1245057830624665,1.1547742450360188,1.1170883180988929,1.1605946036656098,1.1245057830624665,1.1605946036656098,1.1245057830624665,1.1605946036656098,1.1245057830624665,1.1605946036656098,1.1245057830624665
2019-11-08,1.1648485087409375,1.128627412477851,1.1590068168628234,1.1211827604226305,1.1648485087409375,1.128627412477851,1.1648485087409375,1.128627412477851,1.1648485087409375,1.128627412477851,1.1648485087409375,1.128627412477851
2019-11-15,1.1756776076593916,1.1391197793393686,1.1697816080676782,1.1316059175346274,1.1756776076593916,1.1391197793393686,1.1756776076593916,1.1391197793393686,1.1756776076593916,1.1391197793393686,1.1756776076593916,1.1391197793393686
2019-11-22,1.152328638894351,1.11649684940164,1.1465497339120856,1.109132212965691,1.152328638894351,1.11649684940164,1.152328638894351,1.11649684940164,1.152328638894351,1.11649684940164,1.152328638894351,1.11649684940164
2019-11-29,1.1442027652895932,1.108623650756631,1.1384646114002668,1.1013109475130056,1.1442027652895932,1.108623650756631,1.1442027652895932,1.108623650756631,1.1442027652895932,1.108623650756631,1.1442027652895932,1.108623650756631
2019-12-06,1.2214282007804167,1.1834477525874274,1.1509084129598155,1.1100867501423537,1.2214282007804167,1.1834477525874274,1.2214282007804167,1.1834477525874274,1.2214282007804167,1.1834477525874274,1.2214282007804167,1.1834477525874274
2019-12-13,1.2485125446657235,1.2096899057331394,1.1762132329392694,1.1344940314321725,1.2485125446657235,1.2096899057331394,1.2485125446657235,1.2096899057331394,1.2485125446657235,1.2096899057331394,1.2485125446657235,1.2096899057331394
2019-12-20,1.2592039415628873,1.2200488524333093,1.1862855085946309,1.1442090527343833,1.2592039415628873,1.2200488524333093,1.2592039415628873,1.2200488524333093,1.2592039415628873,1.2200488524333093,1.2592039415628873,1.2200488524333093
2019-12-27,1.2523179485268572,1.2133769801303647,1.1797982721102953,1.1379519125612734,1.2523179485268572,1.2133769801303647,1.2523179485268572,1.2133769801303647,1.2523179485268572,1.2133769801303647,1.2523179485268572,1.2133769801303647
2020-01-03,1.3024871278060979,1.2619861430997783,1.22706223658231,1.1835394676862305,1.3024871278060979,1.2619861430997783,1.3024871278060979,1.2619861430997783,1.3024871278060979,1.2619861430997783,1.3024871278060979,1.2619861430997783
2020-01-10,1.3198651096046448,1.2788237545867696,1.2440093116042088,1.1998854455447963,1.3198651096046448,1.2788237545867696,1.3198651096046448,1.2788237545867696,1.3198651096046448,1.2788237545867696,1.3198651096046448,1.2788237545867696
2020-01-17,1.344336904953013,1.302534596688091,1.2675725802996,1.2226129467727427,1.344336904953013,1.302534596688091,1.344336904953013,1.302534596688091,1.344336904953013,1.302534596688091,1.344336904953013,1.302534596688091
2020-01-23,1.3599021904774642,1.3176158778968625,1.2826388346777298,1.2371448149658202,1.3599021904774642,1.3176158778968625,1.3599021904774642,1.3176158778968625,1.3599021904774642,1.3176158778968625,1.3599021904774642,1.3176158778968625
2020-02-07,1.363328395768569,1.3209355449465263,1.2859478534273954,1.2403364658640266,1.363328395768569,1.3209355449465263,1.363328395768569,1.3209355449465263,1.363328395768569,1.3209355449465263,1.363328395768569,1.3209355449465263
2020-02-14,1.4002009178538632,1.3566615117828829,1.320730667469783,1.2738855654850996,1.4002009178538632,1.3566615117828829,1.4002009178538632,1.3566615117828829,1.4002009178538632,1.3566615117828829,1.4002009178538632,1.3566615117828829
2020-02-21,1.5480602980366254,1.4999231877982688,1.460198093458736,1.4084062101545045,1.5480602980366254,1.4999231877982688,1.5480602980366254,1.4999231877982688,1.5480602980366254,1.4999231877982688,1.5480602980366254,1.4999231877982688
2020-02-28,1.4751628911352144,1.429292534017879,1.3850355043186775,1.3359140004734027,1.4751628911352144,1.429292534017879,1.4751628911352144,1.429292534017879,1.5398359095501608,1.4964658481776605,1.4751628911352144,1.429292534017879
2020-03-06,1.5002194381368934,1.4535699448536463,1.4104916343275469,1.3604786111148706,1.5002194381368934,1.4535699448536463,1.5002194381368934,1.4535699448536463,1.5603126822534645,1.5109268320958469,1.5002194381368934,1.4535699448536463
2020-03-13,1.478007633375432,1.432048818676056,1.3879188876262898,1.3386971490831718,1.478007633375432,1.432048818676056,1.478007633375432,1.432048818676056,1.5016637303446465,1.4711982980882337,1.478007633375432,1.432048818676056
2020-03-20,1.4104889849688291,1.366629670286097,1.3193451475963307,1.2725161568344812,1.4104889849688291,1.366629670286097,1.4104889849688291,1.366629670286097,1.455958001125784,1.4372750320578802,1.4104889849688291,1.366629670286097
2020-03-27,1.475248809606685,1.4126017823960637,1.3842007222036123,1.318381414238742,1.475248809606685,1.4126017823960637,1.475248809606685,1.4126017823960637,1.5303615603371048,1.4944493952670834,1.475248809606685,1.4126017823960637
2020-04-03,1.467818173087108,1.408248082733568,1.376847408100859,1.314069489532444,1.467818173087108,1.408248082733568,1.467818173087108,1.408248082733568,1.5219251062613521,1.4890884205302524,1.467818173087108,1.408248082733568
2020-04-10,1.4893842452585173,1.42544817413459,1.398196368611678,1.3311146877707591,1.4893842452585173,1.42544817413459,1.4893842452585173,1.42544817413459,1.54657279170698,1.5105756259992138,1.4893842452585173,1.42544817413459
2020-04-17,1.488232250352726,1.4258540420956358,1.3970581385094574,1.331516811495288,1.488232250352726,1.4258540420956358,1.488232250352726,1.4258540420956358,1.5452490152070204,1.511085454474238,1.488232250352726,1.4258540420956358
2020-04-24,1.4920533345214861,1.42967047346244,1.4211563065526764,1.3503339661529516,1.4920533345214861,1.42967047346244,1.4920533345214861,1.42967047346244,1.5731994678639827,1.5349933398284425,1.4920533345214861,1.42967047346244
2020-04-30,1.5034427343750774,1.4410479278207187,1.4153213018326938,1.3473934608342546,1.5034427343750774,1.4410479278207187,1.5034427343750774,1.4410479278207187,1.586265554702972,1.549347361784957,1.5034427343750774,1.4410479278207187
2020-05-08,1.5247304055989932,1.4623160688501982,1.4357834408408987,1.36792201026347,1.5247304055989932,1.4623160688501982,1.5247304055989932,1.4623160688501982,1.6110749370509154,1.576641810047468,1.5247304055989932,1.4623160688501982
2020-05-15,1.5455026064268274,1.48307110854716,1.4561442113696887,1.3883482585658282,1.5455026064268274,1.48307110854716,1.5455026064268274,1.48307110854716,1.6353312716032085,1.6033648005700583,1.5455026064268274,1.48307110854716
2020-05-22,1.5179044366803693,1.4554967676269233,1.429115774929353,1.3612396857731766,1.5179044366803693,1.4554967676269233,1.5179044366803693,1.4554967676269233,1.6030017069557618,1.5676747355036003,1.5179044366803693,1.4554967676269233
2020-05-29,1.5264095108117581,1.4639774078115135,1.4374426439896426,1.3695713051893352,1.5264095108117581,1.4639774078115135,1.5264095108117581,1.4639774078115135,1.6128480516847934,1.5784137629876274,1.5264095108117581,1.4639774078115135
2020-06-05,1.5511519655857107,1.488665367948969,1.4616536987690583,1.3938124334776703,1.5511519655857107,1.488665367948969,1.5511519655857107,1.488665367948969,1.6416788638265105,1.610042989085573,1.5511519655857107,1.488665367948969
2020-06-12,1.5585402361406109,1.4960367086115958,1.4688724446625228,1.4010366961297385,1.5585402361406109,1.4960367086115958,1.5585402361406109,1.4960367086115958,1.6503344444136663,1.619572064038227,1.5585402361406109,1.4960367086115958
2020-06-19,1.5887822062775505,1.526378809673462,1.4971150846434915,1.4293126420770128,1.5887822062775505,1.526378809673462,1.5887822062775505,1.526378809673462,1.6859469710442667,1.6593526664862495,1.5887822062775505,1.526378809673462
2020-06-24,1.6038239575223332,1.541471546787336,1.5111585491739479,1.4433733506218729,1.6038239575223332,1.541471546787336,1.6038239575223332,1.541471546787336,1.703694988650733,1.679203284918621,1.6038239575223332,1.541471546787336
2020-07-03,1.6341237533100883,1.5718799812418898,1.5394459230503492,1.4717012909747824,1.6341237533100883,1.5718799812418898,1.6341237533100883,1.5718799812418898,1.7395116105846524,1.7193273006138403,1.6341237533100883,1.5718799812418898
2020-07-10,1.7036978681003674,1.64168324737865,1.6043991384382617,1.536725122766486,1.7036978681003674,1.64168324737865,1.7036978681003674,1.64168324737865,1.8222330015136237,1.8123276897283815,1.7036978681003674,1.64168324737865
2020-07-17,1.6301669034556365,1.5681055404737967,1.5357181759494498,1.4681676591038364,1.6301669034556365,1.5681055404737967,1.6301669034556365,1.5681055404737967,1.7349928409542577,1.7149816222665377,1.6301669034556365,1.5681055404737967
2020-07-24,1.6434023255635613,1.5812519335722683,1.548100998650423,1.4804304870943183,1.6434023255635613,1.5812519335722683,1.6434023255635613,1.5812519335722683,1.750183648981929,1.7313379855754367,1.6434023255635613,1.5812519335722683
2020-07-31,1.6724347080688227,1.6100998879207102,1.5752610786684942,1.5073384617872905,1.6724347080688227,1.6100998879207102,1.6724347080688227,1.6100998879207102,1.7835289706324793,1.7672792359447593,1.6724347080688227,1.6100998879207102
2020-08-07,1.7113934171279908,1.6487989725198542,1.6117087274686284,1.5434350003560386,1.7113934171279908,1.6487989725198542,1.7113934171279908,1.6487989725198542,1.8283643491887571,1.8156323544850708,1.7113934171279908,1.6487989725198542
2020-08-14,1.685756606892593,1.6233544131583955,1.5877212654951882,1.5197009649200872,1.685756606892593,1.6233544131583955,1.685756606892593,1.6233544131583955,1.7987729493549618,1.7837123534815356,1.685756606892593,1.6233544131583955
2020-08-21,1.6795335421887228,1.6171812947773452,1.581897570166397,1.5139419206737967,1.6795335421887228,1.6171812947773452,1.6795335421887228,1.6171812947773452,1.7916463859409608,1.7760685086718004,1.6795335421887228,1.6171812947773452
2020-08-28,1.6925506932917265,1.6302206250876357,1.5940565602247936,1.5260951838232828,1.6925506932917265,1.6302206250876357,1.6925506932917265,1.6302206250876357,1.806678260626788,1.7925531920195108,1.6925506932917265,1.6302206250876357
2020-09-04,1.6830069414197677,1.6206151420920072,1.5851513413233758,1.517148920274269,1.6830069414197677,1.6206151420920072,1.6830069414197677,1.6206151420920072,1.7963862216427287,1.7812733660924847,1.6830069414197677,1.6206151420920072
2020-09-11,1.6657300498904581,1.6032185970718351,1.5690310355505868,1.500945838969876,1.6657300498904581,1.6032185970718351,1.6657300498904581,1.6032185970718351,1.7778077565173804,1.7609645737176396,1.6657300498904581,1.6032185970718351
2020-09-18,1.6768082475002628,1.6143710858076303,1.579368032966549,1.5113333892111624,1.6768082475002628,1.6143710858076303,1.6768082475002628,1.6143710858076303,1.7902428298106503,1.77424013798797,1.6768082475002628,1.6143710858076303
2020-09-25,1.6296046772471795,1.5664012647921315,1.5354103857631956,1.4667148864132908,1.6296046772471795,1.5664012647921315,1.6296046772471795,1.5664012647921315,1.7400338033271385,1.7215795303536334,1.6296046772471795,1.5664012647921315
2020-09-30,1.6336437483791648,1.570303772237604,1.5471669693198358,1.473901514977604,1.6336437483791648,1.570303772237604,1.6336437483791648,1.570303772237604,1.7443074747484903,1.725849378009191,1.6336437483791648,1.570303772237604
2020-10-09,1.674209651994598,1.6094579647453109,1.5469043647810814,1.4732885741621198,1.674209651994598,1.6094579647453109,1.674209651994598,1.6094579647453109,1.7872514028152549,1.7687022465524254,1.674209651994598,1.6094579647453109
2020-10-16,1.6922201519958182,1.6267828433784903,1.54453995481951,1.471596660493241,1.6922201519958182,1.6267828433784903,1.6922201519958182,1.6267828433784903,1.8063249623829905,1.7876725725317073,1.6922201519958182,1.6267828433784903
2020-10-23,1.646332139143658,1.5826692195283352,1.5023517023338,1.4311052438761016,1.646332139143658,1.5826692195283352,1.646332139143658,1.5826692195283352,1.7577010692099357,1.7393500220362434,1.646332139143658,1.5826692195283352
2020-10-30,1.6569613977012128,1.5928874494623024,1.5122026337568555,1.4405098130970428,1.6569613977012128,1.5928874494623024,1.6569613977012128,1.5928874494623024,1.769050255685223,1.750580218312244,1.6569613977012128,1.5928874494623024
2020-11-06,1.7141371351826293,1.6478522270209421,1.5378480126821612,1.4573800595837278,1.7141371351826293,1.6478522270209421,1.7141371351826293,1.6478522270209421,1.8300937737483576,1.8109864022711717,1.7141371351826293,1.6478522270209421
2020-11-13,1.7315181464643734,1.664561122453306,1.553804887559286,1.47259931811496,1.7315181464643734,1.664561122453306,1.7315181464643734,1.664561122453306,1.8486505623945475,1.8293494459523918,1.7315181464643734,1.664561122453306
2020-11-20,1.7541645075471446,1.6863317589900313,1.5751842065506116,1.4929941231522532,1.7541645075471446,1.6863317589900313,1.7541645075471446,1.6863317589900313,1.8728288872000602,1.8532753332924685,1.7541645075471446,1.6863317589900313
2020-11-27,1.751952376566022,1.6842051701139806,1.573101663842604,1.4910087646516825,1.751952376566022,1.6842051701139806,1.751952376566022,1.6842051701139806,1.8704671116733684,1.8509382162411956,1.751952376566022,1.6842051701139806
2020-12-04,1.7521495807375829,1.684394748489371,1.573287873194764,1.4911863840951602,1.7521495807375829,1.684394748489371,1.7521495807375829,1.684394748489371,1.8706776561619762,1.8511465625081527,1.7521495807375829,1.684394748489371
2020-12-11,1.7336537110036871,1.6666141056772417,1.5557795770869025,1.4744791258051957,1.7336537110036871,1.6666141056772417,1.7336537110036871,1.6666141056772417,1.850930591971306,1.8316056705347137,1.7336537110036871,1.6666141056772417
2020-12-18,1.7666014554328282,1.6982877757229538,1.587004141748368,1.504283512009471,1.7666014554328282,1.6982877757229538,1.7666014554328282,1.6982877757229538,1.8861071602290136,1.8664149724989483,1.7666014554328282,1.6982877757229538
2020-12-25,1.7860988085351728,1.7170311749943832,1.6055137898190865,1.5219557078135333,1.7860988085351728,1.7170311749943832,1.7860988085351728,1.7170311749943832,1.9069234553694676,1.8870139319543502,1.7860988085351728,1.7170311749943832
2020-12-31,1.8143263142931059,1.7441671358645738,1.632322846221185,1.547553137214325,1.8143263142931059,1.7441671358645738,1.8143263142931059,1.7441671358645738,1.937060473858677,1.9168363003334132,1.8143263142931059,1.7441671358645738
