trade_week,A7_lam10_m4_t4_b,A2_lam10_m4_t4,B6_m4_K10_t8,B2_m4_K8_t4,B1_m4_K10_t4,A8_pure_m4,C1_rev1w,G_top3_1each,G_top2_1each,G_top3_mom_within
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-04,1.0,1.046090232286481,1.0,1.0,1.0,1.046090232286481,1.036833228680339,1.0440478503086992,1.0378773697063173,1.0440478503086992
2019-04-12,1.0,1.0231261690406075,1.0,1.0,1.0,1.0231261690406075,1.0288701478141025,1.0059084408069416,0.9841231188240062,1.0059084408069416
2019-04-19,1.0,1.0251761511503539,1.0,1.0,1.0,1.0251761511503539,1.0492425463444297,1.0077562732867766,0.9770573492241673,1.0077562732867766
2019-04-26,1.0,0.9554195551018904,1.0,1.0,1.0,0.9554195551018904,1.0099395469038888,0.9391849870818748,0.9135542692248063,0.9391849870818748
2019-04-30,1.0,0.9693602139270943,1.0,1.0,1.0,0.9491585435966661,1.0097067835618105,0.9389501908351043,0.9133258806575001,0.9389501908351043
2019-05-10,1.0,0.9431611497090617,1.0,1.0,1.0,0.9233472802856154,0.9857097075476515,0.9389501908351043,0.9133258806575001,0.9389501908351043
2019-05-17,1.0,0.9429414997410585,1.0,1.0,1.0,0.9231322447101644,0.9609274279496298,0.9548868236354704,0.9288275966475292,0.9548868236354704
2019-05-24,1.0,0.9345275170233618,1.0,1.0,1.0,0.9148950224060525,0.9542719997482026,0.9552236443845481,0.9291552254294154,0.9552236443845481
2019-05-31,1.0,0.9400129119662695,1.0,1.0,1.0,0.9202651805210137,0.9722300654685728,0.9616232386170257,0.9353801722852543,0.9616232386170257
2019-06-06,1.0,0.9266325511331976,1.0,1.0,1.0,0.9138170512930291,0.9816317056104675,0.9895793607904804,0.9625733611818134,0.9895793607904804
2019-06-14,1.0,0.9450489560816953,1.0,1.0,1.0,0.9319787539494636,1.0081022296476778,1.0094517849860682,0.981903459313102,1.0094517849860682
2019-06-21,1.0,0.9726180131142647,1.0,1.0,1.0,0.9843189856644377,1.0643815465848092,1.0385631234724593,1.0131400025628867,1.0385631234724593
2019-06-28,1.0,0.9654357259501106,1.0,1.0,1.0,0.9771945153574542,1.0623754889626227,1.0339102020441253,1.012120841060991,1.0339102020441253
2019-07-05,1.0,0.977796816142769,1.0,1.0,1.0,0.9798565031713088,1.0720714927917903,1.0418544691002003,1.01103941990604,1.0418544691002003
2019-07-12,1.0,0.9524740831468289,1.0,1.0,1.0,0.9565936300217356,1.060694515862736,1.0172933383316112,0.9837593406272006,1.0172933383316112
2019-07-19,1.0,0.9535101718156478,1.0,1.0,1.0,0.9616310366617574,1.082761629858807,1.0226503886574063,0.9823835090835481,1.0226503886574063
2019-07-26,1.0,0.9627973856319776,1.0,1.0,1.0,0.960352950550089,1.1048536454161544,1.0212912028480832,0.988397215068804,1.0212912028480832
2019-08-02,1.0,0.9293354169104573,1.0,1.0,1.0,0.9358561640341507,1.069926605214594,0.9842384782625615,0.9616876082759763,0.9842384782625615
2019-08-09,1.0,0.9116829844989842,1.0,1.0,1.0,0.93951546293036,1.0361880258258922,1.0513776920769375,1.027288528561733,1.0513776920769375
2019-08-16,1.0113064608980604,0.9220668660966905,1.0,1.0,1.0,0.9502163507303494,1.052212196316059,1.0569850397680147,1.0327674007140624,1.0569850397680147
2019-08-23,1.0436133869151694,0.9515229678597109,1.0,1.0,1.0,0.9762095974090572,1.0648991087437671,1.0821320292375995,1.0573382224127188,1.0821320292375995
2019-08-30,1.0703072319487308,0.9758612975212355,1.0,1.0,1.0,1.0013420704203744,1.0808782974195215,1.1044233168545023,1.0791187720936595,1.1044233168545023
2019-09-06,1.0887437154390458,0.9926709108393014,1.0,1.0,1.0,0.9921076985646495,1.138167852264728,1.110444883298612,1.0575344321792957,1.110444883298612
2019-09-12,1.0866668584038304,0.990777319596849,1.0,1.010558747091858,1.0,1.0109433088951079,1.1241367887366485,1.1083266297230514,1.0381459441296819,1.1083266297230514
2019-09-20,1.0803833187403797,0.9850482513574085,1.0,1.0304635170706808,1.0,0.9933359611136635,1.1248338694462008,1.1019178446533082,1.036292892643081,1.1019178446533082
2019-09-27,1.045302007603956,0.9530625814652177,1.0,0.9971749042538101,1.0,0.9491365016991968,1.085098335237502,1.0507099117687284,0.9797386711054181,1.0507099117687284
2019-09-30,1.0331304385805,0.941965054712574,1.0,0.9832750309526405,1.0,0.9326975179235972,1.0725714904261618,1.0341061759804926,0.958867654803923,1.0341061759804926
2019-10-11,1.0483617678721089,0.9558523427003606,1.0,1.0099713412335138,1.0,0.9497224408935975,1.0790360929386085,1.0338476494364974,0.958627937890222,1.0338476494364974
2019-10-18,1.0476948954580945,0.9552443163694198,1.0,1.0050059324002085,1.0,0.9492766009221878,1.048372241422659,1.0193438244131356,0.9451793684793963,1.0193438244131356
2019-10-25,1.061343903622034,0.9676889102384988,1.0,1.0094837087778332,1.0,0.9616434494503164,1.0585004519807153,1.0190889884570324,0.9449430736372765,1.0190889884570324
2019-11-01,1.0728650257518106,0.9781933867615566,1.0,1.0318667821352265,1.0,0.9720823011633256,1.084562184876662,1.0298966519171904,0.9404281545124054,1.0298966519171904
2019-11-08,1.0749263412867454,0.9800728079151068,1.0,1.0374793885536524,1.0,0.9739499809744173,1.0661108144046407,1.0318754115160378,0.940402201930263,1.0318754115160378
2019-11-15,1.089827885075469,0.9936594112965086,1.0,1.037752392178147,1.0,0.9722546016269856,1.0396542728891847,1.0458908294314606,0.9532535544737959,1.0458908294314606
2019-11-22,1.06849753987753,0.9742112961010824,1.0,1.0300305008903252,1.0,0.953063383525379,1.0488665469955358,1.0232374261463182,0.9326066221221384,1.0232374261463182
2019-11-29,1.0548971464584889,0.9618110271198667,1.0,1.0298862395193038,1.0,0.9409322961943652,1.0349915938089593,1.019054786936395,0.9287944501614109,1.019054786936395
2019-12-06,1.110575684427635,1.0125763855933665,1.0,1.0768111500076243,1.0,0.9905956541396752,1.0605640735023598,1.111812229573327,1.0133361245019537,1.111812229573327
2019-12-13,1.1469184174843554,1.04571216714987,1.0,1.1122284332317616,1.0,1.018029358114557,1.0640207782745748,1.1338321988295164,1.0436938633698771,1.1338321988295164
2019-12-20,1.1551731881349847,1.0532385212259763,1.0,1.114419261778108,1.0,1.03787310967092,1.0692747504819282,1.1437061426104596,1.0510231374239467,1.1437061426104596
2019-12-27,1.1490675479181518,1.0476716542495212,1.0,1.113924496448016,1.0,1.031497295377312,1.0717841317905135,1.1364895620120397,1.04711886927196,1.1364895620120397
