mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,1.5,0.0,4,mkt_ma50,0.15,1,1.4059147799669838,1.922506751057498,0.17806988999894413,-0.09262380478039656,-1.433884431415661,7.164083696183763
4,4,1.5,0.3,4,mkt_ma50,0.15,1,1.4059147799669838,1.922506751057498,0.17806988999894413,-0.09262380478039656,-1.433884431415661,7.164083696183763
4,4,1.5,0.3,4,mkt_ma50,none,1,1.3596988085143915,1.7698679306161238,0.21681273332144402,-0.12250221023326158,-1.414902228957018,10.655172413793103
4,4,1.5,0.0,4,mkt_ma50,none,1,1.3596988085143915,1.7698679306161238,0.21681273332144402,-0.12250221023326158,-1.414902228957018,10.655172413793103
4,4,1.5,0.0,4,mkt_ma50,0.2,1,1.3445093024711272,1.7127852123789709,0.20096029156969175,-0.11732953444324068,-1.4338844314156607,8.889259791688408
4,4,1.5,0.3,4,mkt_ma50,0.2,1,1.3445093024711272,1.7127852123789709,0.20096029156969175,-0.11732953444324068,-1.4338844314156607,8.889259791688408
4,8,1.5,0.0,4,mkt_ma50,0.15,1,1.273793420185956,1.6830351327231934,0.1615186302895899,-0.09596866229895551,-1.306825297106225,7.319050214737407
4,8,1.5,0.3,4,mkt_ma50,0.15,1,1.273793420185956,1.6830351327231934,0.1615186302895899,-0.09596866229895551,-1.306825297106225,7.319050214737407
4,4,1.0,0.0,4,mkt_ma50,0.15,1,1.2710275894188259,1.5554942380772512,0.1614120127046068,-0.10376895571411981,0.31168884422202386,7.243842630399442
4,4,1.0,0.3,4,mkt_ma50,0.15,1,1.2710275894188259,1.5554942380772512,0.1614120127046068,-0.10376895571411981,0.31168884422202386,7.243842630399442
12,4,1.5,0.0,4,mkt_ma50,none,1,1.242096585790289,1.7211340158431856,0.21240937347452005,-0.12341245453246152,-1.4659481936227456,7.241379310344827
12,4,1.5,0.3,4,mkt_ma50,none,1,1.242096585790289,1.7211340158431856,0.21240937347452005,-0.12341245453246152,-1.4659481936227456,7.241379310344827
8,4,1.5,0.3,3,mkt_ma50,0.15,1,1.2285564760968215,1.8589648083521133,0.1647870509349354,-0.08864452419678215,-0.20727568815839836,5.620373156921432
8,4,1.5,0.0,3,mkt_ma50,0.15,1,1.2285564760968215,1.8589648083521133,0.1647870509349354,-0.08864452419678215,-0.20727568815839836,5.620373156921432
4,8,1.0,0.0,4,mkt_ma50,0.15,1,1.2249656132897908,1.5044511324985252,0.15677372312140214,-0.10420659051985248,-0.23331714802982834,7.213863676659493
4,8,1.0,0.3,4,mkt_ma50,0.15,1,1.2249656132897908,1.5044511324985252,0.15677372312140214,-0.10420659051985248,-0.23331714802982834,7.213863676659493
4,4,1.5,0.0,3,mkt_ma50,0.15,1,1.2222325159927396,1.5351352014233357,0.15700022724910623,-0.10227127037640715,0.7167133304318049,8.38721530045576
4,4,1.5,0.3,3,mkt_ma50,0.15,1,1.2222325159927396,1.5351352014233357,0.15700022724910623,-0.10227127037640715,0.7167133304318049,8.38721530045576
12,4,1.5,0.3,4,mkt_ma50,0.2,1,1.2188484196012244,1.5890576853803282,0.18893634145498184,-0.11889835290010975,-1.4631696365834903,6.149617592387483
12,4,1.5,0.0,4,mkt_ma50,0.2,1,1.2188484196012244,1.5890576853803282,0.18893634145498184,-0.11889835290010975,-1.4631696365834903,6.149617592387483
12,4,1.5,0.3,3,mkt_ma50,0.15,1,1.2143077938178808,1.6654533076509523,0.1641366211796731,-0.0985537213355927,-1.4529845390762046,5.080930186259924
12,4,1.5,0.0,3,mkt_ma50,0.15,1,1.2143077938178808,1.6654533076509523,0.1641366211796731,-0.0985537213355927,-1.4529845390762046,5.080930186259924
4,4,1.5,0.0,5,mkt_ma50,0.15,1,1.188613114595532,1.5072927899515371,0.1502560627615359,-0.09968604889721988,-1.463673182393618,6.83497205390408
4,4,1.5,0.3,5,mkt_ma50,0.15,1,1.188613114595532,1.5072927899515371,0.1502560627615359,-0.09968604889721988,-1.463673182393618,6.83497205390408
4,8,1.5,0.0,5,mkt_ma50,0.15,1,1.1842054587349264,1.6592030880308843,0.1498266336813212,-0.0903003585047163,-0.7584695026471698,6.82454265163133
4,8,1.5,0.3,5,mkt_ma50,0.15,1,1.1842054587349264,1.6592030880308843,0.1498266336813212,-0.0903003585047163,-0.7584695026471698,6.82454265163133
8,4,1.5,0.3,3,mkt_ma50,0.2,1,1.174726360251074,1.5848785293155674,0.18610540760092498,-0.11742566017428158,-0.20727568815839853,7.001520656593213
8,4,1.5,0.0,3,mkt_ma50,0.2,1,1.174726360251074,1.5848785293155674,0.18610540760092498,-0.11742566017428158,-0.20727568815839853,7.001520656593213
8,4,1.0,0.0,3,mkt_ma50,0.15,1,1.1703694232342898,1.7954561037805796,0.15634267047802175,-0.08707685481634486,-0.24620598482646752,6.007074876031046
8,4,1.0,0.3,3,mkt_ma50,0.15,1,1.1703694232342898,1.7954561037805796,0.15634267047802175,-0.08707685481634486,-0.24620598482646752,6.007074876031046
8,8,1.5,0.3,3,mkt_ma50,0.15,1,1.164227534413439,1.6648570920664625,0.15145458710710735,-0.09097152411989795,-0.24987653025491882,5.7821756091128655
8,8,1.5,0.0,3,mkt_ma50,0.15,1,1.164227534413439,1.6648570920664625,0.15145458710710735,-0.09097152411989795,-0.24987653025491882,5.7821756091128655
4,8,1.5,0.3,5,mkt_ma50,none,1,1.1346656774713928,1.5727257088215172,0.17457904428870963,-0.11100412698125606,-0.7420051336699333,9.80689655172414
4,8,1.5,0.0,5,mkt_ma50,none,1,1.1346656774713928,1.5727257088215172,0.17457904428870963,-0.11100412698125606,-0.7420051336699333,9.80689655172414
12,8,1.0,0.0,3,mkt_ma50,0.15,1,1.1333882985645496,1.5102189464970401,0.15471655237642934,-0.10244643846860424,-1.4518992421197408,4.998590615624078
12,8,1.0,0.3,3,mkt_ma50,0.15,1,1.1333882985645496,1.5102189464970401,0.15471655237642934,-0.10244643846860424,-1.4518992421197408,4.998590615624078
12,4,1.0,0.3,3,mkt_ma50,0.15,1,1.1247915225388598,1.509535585000017,0.1542865632549444,-0.10220796699863333,-1.4526928084381119,5.002559194084623
12,4,1.0,0.0,3,mkt_ma50,0.15,1,1.1247915225388598,1.509535585000017,0.1542865632549444,-0.10220796699863333,-1.4526928084381119,5.002559194084623
8,4,1.0,0.3,3,mkt_ma50,0.2,1,1.110501859402686,1.5175074277627,0.175064271101951,-0.11536304066732161,-0.24620598482646758,7.467665554043462
8,4,1.0,0.0,3,mkt_ma50,0.2,1,1.110501859402686,1.5175074277627,0.175064271101951,-0.11536304066732161,-0.24620598482646758,7.467665554043462
