trade_week,equity
2019-01-04,1.0
2019-01-11,1.0
2019-01-18,1.0
2019-01-25,1.0
2019-02-01,1.0
2019-02-15,1.0
2019-02-22,1.0
2019-03-01,1.0
2019-03-08,1.0
2019-03-15,1.0
2019-03-22,1.0
2019-03-29,1.0
2019-04-04,1.0
2019-04-12,1.0
2019-04-19,1.0
2019-04-26,1.0
2019-04-30,1.0
2019-05-10,1.0
2019-05-17,1.0
2019-05-24,1.0
2019-05-31,1.0
2019-06-06,1.0
2019-06-14,1.0
2019-06-21,1.0
2019-06-28,1.0
2019-07-05,1.0
2019-07-12,1.0
2019-07-19,1.0
2019-07-26,1.0
2019-08-02,1.0
2019-08-09,1.0
2019-08-16,1.0148481408279413
2019-08-23,1.049379783533159
2019-08-30,1.0685011301437903
2019-09-06,1.0925744429012214
2019-09-12,1.0902504738711258
2019-09-20,1.090090366284524
2019-09-27,1.055906361462546
2019-09-30,1.045640510955429
2019-10-11,1.0647686883329341
2019-10-18,1.0607094819445808
2019-10-25,1.0683262346650413
2019-11-01,1.0870425352249657
2019-11-08,1.0929226123647797
2019-11-15,1.0983988917890894
2019-11-22,1.078561164553078
2019-11-29,1.0677585726897065
2019-12-06,1.1146999719668615
2019-12-13,1.142058244856928
2019-12-20,1.1516722567765132
2019-12-27,1.1463431962874304
2020-01-03,1.1888146749666384
2020-01-10,1.2106647913429318
2020-01-17,1.2346244369322943
2020-01-23,1.2443315308608291
2020-02-07,1.2395786741409611
2020-02-14,1.2700464399369609
2020-02-21,1.4011252447374054
2020-02-28,1.3306128059476068
2020-03-06,1.3648720752517534
2020-03-13,1.3389311779990452
2020-03-20,1.2715684666775604
2020-03-27,1.2713476935959627
2020-04-03,1.2713476935959627
2020-04-10,1.2713476935959627
2020-04-17,1.2713476935959627
2020-04-24,1.2742913448740343
2020-04-30,1.2845035954903596
2020-05-08,1.3054002851964444
2020-05-15,1.3210533983004809
2020-05-22,1.2957924100420588
2020-05-29,1.3036222773896198
2020-06-05,1.325333735216295
2020-06-12,1.3337416489861442
2020-06-19,1.3660407053738743
2020-06-24,1.3781035868505433
2020-07-03,1.415636079765011
2020-07-10,1.4775937771168706
2020-07-17,1.4114516735433071
2020-07-24,1.425135223271254
2020-07-31,1.4459239468179776
2020-08-07,1.4750040346236268
2020-08-14,1.451718536264119
2020-08-21,1.4488201349682266
2020-08-28,1.4760863371426036
2020-09-04,1.4653046222166863
2020-09-11,1.4503181898900235
2020-09-18,1.461676049513861
2020-09-25,1.4160976527187394
2020-09-30,1.4131858659360865
2020-10-09,1.4418719006456582
2020-10-16,1.45970616375825
2020-10-23,1.4181413167297199
2020-10-30,1.425186881175309
2020-11-06,1.465206946435841
2020-11-13,1.482289398152317
2020-11-20,1.505300812376244
2020-11-27,1.5090969943927923
2020-12-04,1.4984493361088587
2020-12-11,1.5063805287701488
2020-12-18,1.5364510183080302
2020-12-25,1.5560232053508276
2020-12-31,1.5801065995266488
2021-01-08,1.6334152206670791
2021-01-15,1.5749849916465668
2021-01-22,1.6445374471739664
2021-01-29,1.561288210597384
2021-02-05,1.612144685838338
2021-02-10,1.653280564398502
2021-02-19,1.6332622161138282
2021-02-26,1.621934401503668
2021-03-05,1.6340669423728857
2021-03-12,1.658423911010564
2021-03-19,1.6446631716382494
2021-03-25,1.6445314978762684
2021-03-26,1.6442724202661052
2021-04-02,1.6600002156650746
2021-04-09,1.629728320797207
2021-04-16,1.6198185992814347
2021-04-23,1.6591655263414318
2021-04-30,1.6656882139004043
2021-05-07,1.7088141659137157
2021-05-13,1.7086644114391702
2021-05-14,1.7083745031102926
2021-05-21,1.68245599419993
2021-05-28,1.7297697719382874
2021-06-04,1.7354920141285726
2021-06-11,1.759942810704494
2021-06-18,1.7569350080961657
2021-06-24,1.7566426367084484
2021-06-25,1.756350313974226
2021-07-02,1.7257549551526357
2021-07-09,1.8203519760037725
2021-07-16,1.8626490211993256
2021-07-23,1.9304656611046513
2021-07-30,1.925991244271002
2021-08-06,1.944510463736764
2021-08-13,1.9854906824866991
2021-08-20,1.927126888338722
2021-08-27,2.0426522591394476
2021-09-03,2.1086548293217473
2021-09-10,2.21752398315
2021-09-17,2.16544752102332
2021-09-24,2.119855112031873
2021-09-30,2.1267234073650245
2021-10-08,2.1466241916273185
2021-10-15,2.1296892801076264
2021-10-22,2.1230604565781523
2021-10-29,2.111514867862971
2021-11-05,2.122121558853217
2021-11-12,2.1692195461724815
2021-11-19,2.165457378396266
2021-11-26,2.1313693747861677
2021-12-03,2.131344546344644
2021-12-10,2.135867168422219
2021-12-17,2.101384780920847
2021-12-24,2.073357153348702
2021-12-31,2.0572466585909504
2022-01-07,2.047980262702309
2022-01-14,2.0429266770599743
2022-01-21,2.042549766092463
2022-01-28,2.042549766092463
2022-02-11,2.042549766092463
2022-02-18,2.042549766092463
2022-02-25,2.042549766092463
2022-03-04,2.042549766092463
2022-03-11,2.042549766092463
2022-03-18,2.042549766092463
2022-03-25,2.042549766092463
2022-04-01,2.042549766092463
2022-04-08,2.042549766092463
2022-04-15,2.042549766092463
2022-04-22,2.042549766092463
2022-04-29,2.042549766092463
2022-05-06,2.042549766092463
2022-05-13,2.042549766092463
2022-05-20,2.042549766092463
2022-05-27,2.042549766092463
2022-06-02,2.042549766092463
2022-06-10,2.042549766092463
2022-06-17,2.042549766092463
2022-06-24,2.042549766092463
2022-07-01,2.042549766092463
2022-07-08,2.042549766092463
2022-07-15,2.042549766092463
2022-07-22,2.042549766092463
2022-07-29,2.042549766092463
2022-08-05,2.042549766092463
2022-08-12,2.042549766092463
2022-08-19,2.042549766092463
2022-08-26,2.042549766092463
2022-09-02,2.042549766092463
2022-09-09,2.042549766092463
2022-09-16,2.042549766092463
2022-09-23,2.042549766092463
2022-09-30,2.042549766092463
2022-10-14,2.042549766092463
2022-10-21,2.042549766092463
2022-10-28,2.042549766092463
2022-11-04,2.042549766092463
2022-11-11,2.042549766092463
2022-11-18,2.042549766092463
2022-11-25,2.042549766092463
2022-12-02,2.042549766092463
2022-12-09,2.042549766092463
2022-12-16,2.042549766092463
2022-12-23,2.042549766092463
2022-12-30,2.042549766092463
2023-01-06,2.042549766092463
2023-01-13,2.042549766092463
2023-01-20,2.042549766092463
2023-02-03,2.093229380308849
