trade_week,equity_B6
2018-01-12,1.0
2018-01-19,1.0
2018-01-26,1.0
2018-02-02,1.0
2018-02-09,1.0
2018-02-14,1.0074156993424903
2018-02-23,1.0283795124647093
2018-03-02,0.9813455885328136
2018-03-09,1.0024038723587692
2018-03-16,0.9935785236492528
2018-03-23,0.9627258548768981
2018-03-30,1.0253716837299682
2018-04-04,1.0312031089931593
2018-04-13,1.0291218233741646
2018-04-20,1.0047621268628018
2018-04-27,1.00852753383557
2018-05-04,1.0150265692665517
2018-05-11,1.0558681442268456
2018-05-18,1.094633587776363
2018-05-25,1.0413239519144648
2018-06-01,1.0508725479398735
2018-06-08,1.0674173863113914
2018-06-15,1.063608087164386
2018-06-22,1.0159336544868602
2018-06-29,0.9811397092437005
2018-07-06,0.9396451591520136
2018-07-13,0.9626300795773682
2018-07-20,0.9564770882215435
2018-07-27,0.9686507144374614
2018-08-03,0.9461327793085066
2018-08-10,0.9627151110753884
2018-08-17,0.9356214890741059
2018-08-24,0.959033779872823
2018-08-31,0.956593971154994
2018-09-07,0.9524272601952726
2018-09-14,0.9655120135465646
2018-09-21,1.011684642711139
2018-09-28,1.029827191556248
2018-10-12,0.9678445811006765
2018-10-19,0.9617715540099437
2018-10-26,0.9867200702193025
2018-11-02,0.9873574241473153
2018-11-09,0.958192629010421
2018-11-16,1.0313534532817783
2018-11-23,0.9891237212174276
2018-11-30,0.9874895506539858
2018-12-07,0.9952253257076578
2018-12-14,0.997894156306365
2018-12-21,0.9723416884901412
2018-12-28,0.9742606994470884
2019-01-04,0.9632046014757456
2019-01-11,0.9820543825213908
2019-01-18,1.0056050763921767
2019-01-25,1.0019691558446595
2019-02-01,1.022256926895288
2019-02-15,1.0334207751380187
2019-02-22,1.0986594526093678
2019-03-01,1.1679088550982826
2019-03-08,1.1425989558604155
2019-03-15,1.159762360357131
2019-03-22,1.1962516034519695
2019-03-29,1.1949322778320401
2019-04-04,1.2421671610925364
2019-04-12,1.244433978173202
