basket,2022_ret,2022_sh,2022_dd
V7_gold,0.07789640012073251,0.8103457716881874,-0.08275862068965545
V7_bond5,0.015589084567309897,0.8183306441793748,-0.009593213803741008
V7_bond10,0.022366217984823633,0.9387855221993964,-0.011782620634563923
V7_gb_70_30,0.06017571075505779,0.8791722788757299,-0.05685024074495981
V7_gb_50_50,0.047828641498344426,0.9513760195707942,-0.03925388787244477
V7_gb_30_70,0.035216083864452186,1.0624231526590981,-0.023272380650183888
V7_gb10_50_50,0.051310539927876375,1.0127576761147075,-0.03819559859828647
V7_rp_g_b5,0.0269855067205218,1.1864290442995884,-0.012450212971348518
V7_rp_g_b10,0.03543002627942582,1.3272433440964029,-0.013065640213329677
V7_g_b5_silver,0.04261298524575596,0.5700279615075983,-0.08051717712313455
