combo,full_sh,full_cal,full_dd,full_ann,dd_2020,dd_2022,combined_on_rate
V7gold_noFG,1.9113265088624845,3.2145010825115645,-0.08886689571606177,0.28566273247872287,-0.08886689571606177,-0.08275862068965545,0.6047745358090185
V7gold_FG2_br20_25,1.92332484564776,3.2310797477543365,-0.08886689571606177,0.2871360269939638,-0.08886689571606177,-0.08275862068965545,0.5888594164456233
V7gold_FG5_mktdd_m8,1.9113265088624845,3.2145010825115645,-0.08886689571606177,0.28566273247872287,-0.08886689571606177,-0.08275862068965545,0.6047745358090185
V7gb7030_noFG,1.8115638922773638,2.935644405997203,-0.08886689571606188,0.26088160528719384,-0.08886689571606177,-0.05685024074495981,0.6047745358090185
V7gb7030_FG5_mktdd_m8,1.8115638922773638,2.935644405997203,-0.08886689571606188,0.26088160528719384,-0.08886689571606177,-0.05685024074495981,0.6047745358090185
V7gb7030_FG2_br20_25,1.817830042879355,2.945039130636704,-0.08886689571606188,0.2617164853020135,-0.08886689571606177,-0.05685024074495981,0.5888594164456233
V7gb7030_FG3_rev2w_m5,1.783092066229556,2.8355098667941894,-0.09007459296966913,0.25540739711296734,-0.08886689571606177,-0.05685024074495981,0.5570291777188329
V7gold_FG3_rev2w_m5,1.894420408512964,3.0289901945850666,-0.09318367265566097,0.28225243076942164,-0.08886689571606177,-0.08275862068965545,0.5570291777188329
V7gold_FG1_br10_30,1.8310583793326662,2.8082338202728145,-0.096461532509449,0.27088653794838025,-0.096461532509449,-0.08275862068965545,0.5437665782493368
V7gb7030_FG1_br10_30,1.6896390270010588,2.4898332706268747,-0.0964849858941732,0.24023152799527714,-0.09648498589417309,-0.05685024074495981,0.5437665782493368
V7gold_FG4_vol_ex,1.905187444843253,2.7880025583164056,-0.10139458076167718,0.28268835056297537,-0.06688062098999747,-0.08275862068965545,0.5676392572944297
V7gb7030_FG4_vol_ex,1.8635972824118132,2.6066774143129527,-0.10158938000358453,0.2648107423893997,-0.05371328155143584,-0.05685024074495981,0.5676392572944297
