period,sharpe_ratio,annual_return,max_drawdown,calmar_ratio,win_rate,avg_hold_days,total_return
Training (2009-2019),0.5423,0.0483,-0.1035,0.4671,0.4460,12.8,0.6310
Test (2020-2026),1.4787,0.3525,-0.1291,2.7298,0.4567,12.4,6.2240
