expression,horizon_days,ic_mean,ic_std,ic_tstat,n_days,icir_ann
r1_dd20,5,-0.0407115472544703,0.3730759397191827,-4.24041966854799,1510,-1.73229015419851
r1_dd20,10,-0.049288158724738344,0.37363793128147443,-5.117523969253692,1505,-2.0940734274812924
r1_dd20,20,-0.05420849355333648,0.3617259435599766,-5.794397390707983,1495,-2.378964441611239
r1_rsi14,5,-0.02686373984883583,0.38363319066027046,-2.716555293444135,1505,-1.1116051997924707
r1_rsi14,10,-0.022390965104660154,0.37745656473277095,-2.2974785196080902,1500,-0.9416859710509538
r1_rsi14,20,-0.015011155488649649,0.35697849840040585,-1.6231744550634488,1490,-0.6675323778768645
r1_bb_pos,5,-0.035945349460349406,0.3709629085392372,-3.765309636919593,1510,-1.5381988862857197
r1_bb_pos,10,-0.035233119889071754,0.37193957078254586,-3.6749121874791477,1505,-1.5037615859471003
r1_bb_pos,20,-0.028929836959779257,0.3443062381444002,-3.2487903845229997,1495,-1.3338327149295484
r1_logbias_ma20,5,-0.017066219085144458,0.40693109984514175,-1.6296896520837119,1510,-0.6657584766062784
r1_logbias_ma20,10,-0.020487345470616973,0.4054488576441225,-1.9602788746969202,1505,-0.8021394577961095
r1_logbias_ma20,20,-0.015854968289775107,0.38020523479648693,-1.612381780196536,1495,-0.6619840964895773
r1_rev_5d,5,-0.02385630944986873,0.40401003645025335,-2.297597992560033,1514,-0.9373707033427814
r1_rev_5d,10,-0.021653006054790442,0.3961390336369483,-2.12331867473247,1509,-0.8677024624206279
r1_rev_5d,20,-0.03392849634259855,0.3939545662646542,-3.334412232840578,1499,-1.3671581146833505
r1_vol_scaled_rev5,5,-0.03597774821449077,0.374663461732303,-3.7302441375034188,1509,-1.524378823611884
r1_vol_scaled_rev5,10,-0.028372238432366956,0.37141086064212553,-2.962531112215925,1504,-1.2126606136475166
r1_vol_scaled_rev5,20,-0.032302253322646204,0.3636098310953152,-3.4337802664820796,1494,-1.4102544282912188
r1_vol_confirmed_rev,5,0.018162499717754566,0.31981592741193854,2.1928774100189687,1491,0.9015209060285019
r1_vol_confirmed_rev,10,0.02017172487552853,0.30099203763421645,2.583434374068761,1486,1.0638693559207333
r1_vol_confirmed_rev,20,0.014908751896589533,0.3030180118161498,1.890235964128339,1476,0.7810397073162273
r1_kitchen_sink,5,-0.03268477153939172,0.3858067508951184,-3.2963898524172173,1514,-1.3448563606244524
r1_kitchen_sink,10,-0.03177640824007371,0.38380781303953554,-3.2161449575704957,1509,-1.3142901875231783
r1_kitchen_sink,20,-0.03140150698134738,0.3634306988478239,-3.3452586157424387,1499,-1.371605291386097
