expression,cost_bps_side,gross_sharpe,net_sharpe,net_cagr,net_maxdd,ann_turnover_pct
r2_lt_rev_60d,2.0,0.5788113519427082,0.5711819596892117,0.2256967099996503,-0.463823139534028,1363.27868852459
r2_lt_rev_60d,5.0,0.5788113519427082,0.5597302950314623,0.22069404839575535,-0.46607313953402785,1363.27868852459
r2_lt_rev_60d,8.0,0.5788113519427082,0.5482699579380783,0.21571180507553445,-0.46832313953402793,1363.27868852459
r2_lt_rev_120d,2.0,0.26629547699937817,0.26211223402082057,0.09651139622518823,-0.6529603840085805,735.344262295082
r2_lt_rev_120d,5.0,0.26629547699937817,0.2558360915994404,0.09409512230358463,-0.6555103840085805,735.344262295082
r2_lt_rev_120d,8.0,0.26629547699937817,0.24955851255893688,0.09168417288629938,-0.6580603840085806,735.344262295082
r2_lt_rev_250d,2.0,0.04119076805267271,0.03905950357070668,0.0138797599858691,-0.7083817905391253,375.93442622950823
r2_lt_rev_250d,5.0,0.04119076805267271,0.03586266815163278,0.012736947623258166,-0.7100317905391251,375.93442622950823
r2_lt_rev_250d,8.0,0.04119076805267271,0.03266593058323043,0.011595423401655536,-0.7116817905391254,375.93442622950823
r2_vol_scaled_lt_120,2.0,-0.13602846637418778,-0.1406259064095009,-0.04156037550732539,-0.6780791430779969,694.032786885246
r2_vol_scaled_lt_120,5.0,-0.13602846637418778,-0.14752099628596957,-0.043553865037457506,-0.6810791430779969,694.032786885246
r2_vol_scaled_lt_120,8.0,-0.13602846637418778,-0.15441466103220813,-0.045543208244331335,-0.6840791430779967,694.032786885246
r2_deep_dip_rev,2.0,0.22280714944751154,0.21192124056915837,0.0655045458109047,-0.5918996223907473,1627.672131147541
r2_deep_dip_rev,5.0,0.22280714944751154,0.19558989522599984,0.060314351860341286,-0.5973746223907475,1627.672131147541
r2_deep_dip_rev,8.0,0.22280714944751154,0.1792568675270071,0.05514943993541577,-0.6028496223907474,1627.672131147541
r2_rsi_extreme_os,2.0,0.1387260792999358,0.13650440403781003,0.04785188150198505,-0.7366297213182378,380.06557377049177
r2_rsi_extreme_os,5.0,0.1387260792999358,0.13317149625947702,0.046657805092642946,-0.7416547213182378,380.06557377049177
r2_rsi_extreme_os,8.0,0.1387260792999358,0.129838155039663,0.04546508938942395,-0.7466797213182377,380.06557377049177
r2_vol_confirmed_lt60,2.0,0.19403400205734822,0.17763236772210111,0.047155878405068075,-0.6774761424099123,2131.6721311475408
r2_vol_confirmed_lt60,5.0,0.19403400205734822,0.1530115573871776,0.040480666191184955,-0.7063511424099127,2131.6721311475408
r2_vol_confirmed_lt60,8.0,0.19403400205734822,0.12837263830870843,0.033848005863815755,-0.7352261424099127,2131.6721311475408
r2_residual_rev,2.0,-0.37540652204882485,-0.39103470472960117,-0.11202496650251104,-1.136997953281087,2371.27868852459
r2_residual_rev,5.0,-0.37540652204882485,-0.41446279038969813,-0.1183194597792383,-1.1716337105340258,2371.27868852459
r2_residual_rev,8.0,-0.37540652204882485,-0.437870732584379,-0.12456933395732428,-1.2077087105340245,2371.27868852459
