expression,gross_sharpe,net_sharpe_5bps,net_cagr,net_maxdd,ann_turnover_pct,worst_year_sharpe,n_years,G3_pass,G4_pass,G5_peak_k
r1_dd20,-0.45184324830297723,-0.5180787238481571,-0.15332886506515697,-1.03884053816681,4246.819672131148,-2.3961175470065066,7,False,False,5
r1_rsi14,0.15151432414811075,0.09750708450414794,0.038764576538337536,-0.8505950390351583,4222.0327868852455,-1.1972752429269098,7,False,False,20
r1_bb_pos,-0.33364864732630156,-0.417618887928465,-0.14573421764610583,-1.17516554126441,6312.393442622951,-1.7049610262791028,7,False,False,20
r1_logbias_ma20,0.13883104921752967,0.06504236077333438,0.023677506472262966,-0.6435205285407646,5320.918032786885,-1.9351964859379318,7,False,False,20
r1_rev_5d,-0.7199010048296719,-0.8672018595194828,-0.24535242172275495,-1.7271046602246196,9468.590163934427,-2.4920611014804654,7,False,False,10
r1_vol_scaled_rev5,-0.1949150072248489,-0.33881316450205734,-0.10453002973693193,-1.0585564547489694,9361.180327868853,-1.268720409002213,7,False,False,10
r1_vol_confirmed_rev,0.3318164743577999,0.161144986772693,0.047413022855189224,-0.5173092167776225,9799.081967213115,-1.0519179580009899,7,False,False,10
r1_kitchen_sink,-0.4037270710323854,-0.48931260006060673,-0.16065760207863844,-1.1987789805116604,6097.573770491803,-1.5866979980433014,7,False,False,20
