expression,gross_sharpe,net_sharpe_5bps,net_cagr,net_maxdd,ann_turnover_pct,worst_year_sharpe,n_years,G3_pass,G4_pass,peak_k,ic_at_primary_k
r2_lt_rev_60d,0.5788113519427082,0.5597302950314623,0.22069404839575535,-0.46607313953402785,1363.27868852459,-0.6773554272240127,7,False,True,60,0.02257502460569794
r2_lt_rev_120d,0.26629547699937817,0.2558360915994404,0.09409512230358463,-0.6555103840085805,735.344262295082,-1.279480767307963,7,False,False,20,-0.010721942584463998
r2_lt_rev_250d,0.04119076805267271,0.03586266815163278,0.012736947623258166,-0.7100317905391251,375.93442622950823,-0.95758836336577,7,False,False,20,-0.11018202026147657
r2_vol_scaled_lt_120,-0.13602846637418778,-0.14752099628596957,-0.043553865037457506,-0.6810791430779969,694.032786885246,-2.2783567524670834,7,False,False,20,-0.026218972296346118
r2_deep_dip_rev,0.22280714944751154,0.19558989522599984,0.060314351860341286,-0.5973746223907475,1627.672131147541,-1.5398241969741524,7,False,False,120,-0.022623391340055365
r2_rsi_extreme_os,0.1387260792999358,0.13317149625947702,0.046657805092642946,-0.7416547213182378,380.06557377049177,-1.3846756951765433,7,False,True,20,0.006990906285703866
r2_vol_confirmed_lt60,0.19403400205734822,0.1530115573871776,0.040480666191184955,-0.7063511424099127,2131.6721311475408,-2.284073923634748,7,False,False,60,-0.02193270194966567
r2_residual_rev,-0.37540652204882485,-0.41446279038969813,-0.1183194597792383,-1.1716337105340258,2371.27868852459,-1.7495542895738574,7,False,False,120,-0.020857235079490347
