expression,bin,fwd_ret,n_obs
r1_dd20,0,0.004418966523067461,6003
r1_dd20,1,0.003030837238023787,4516
r1_dd20,2,0.0016960170756314683,5816
r1_dd20,3,0.0008386075801637493,4508
r1_dd20,4,0.0003346119836703772,5814
r1_rsi14,0,0.0024564575378736397,5966
r1_rsi14,1,0.0029455815060907067,4500
r1_rsi14,2,0.002393991453775209,5799
r1_rsi14,3,0.0016263365853455035,4500
r1_rsi14,4,0.001414869686962251,5802
r1_bb_pos,0,0.0035772850962020332,5986
r1_bb_pos,1,0.003196018103583432,4515
r1_bb_pos,2,0.00132232148060782,5819
r1_bb_pos,3,0.0017313224061792725,4515
r1_bb_pos,4,0.0007641823562519548,5822
r1_logbias_ma20,0,0.0028455291324112914,5986
r1_logbias_ma20,1,0.004533998163285212,4515
r1_logbias_ma20,2,0.0015057935372907222,5819
r1_logbias_ma20,3,0.000818490948576982,4515
r1_logbias_ma20,4,0.0010034680592636996,5822
r1_rev_5d,0,0.002518734701303128,6003
r1_rev_5d,1,0.003499266489163872,4532
r1_rev_5d,2,0.001704959286521349,5830
r1_rev_5d,3,0.0009201984533698356,4527
r1_rev_5d,4,0.001110010041722574,5837
r1_vol_scaled_rev5,0,0.003150822356617062,5983
r1_vol_scaled_rev5,1,0.002495091672723429,4516
r1_vol_scaled_rev5,2,0.001707956519673892,5811
r1_vol_scaled_rev5,3,0.0012671511680783913,4512
r1_vol_scaled_rev5,4,0.00179109543637859,5817
r1_vol_confirmed_rev,0,0.0018972018836763312,5910
r1_vol_confirmed_rev,1,0.0016394461065914892,4460
r1_vol_confirmed_rev,2,0.001180692026911581,5743
r1_vol_confirmed_rev,3,0.002253113691596229,4457
r1_vol_confirmed_rev,4,0.001767474761757392,5743
r1_kitchen_sink,0,0.0033426862925924616,6093
r1_kitchen_sink,1,0.002637625582791059,4557
r1_kitchen_sink,2,0.001390218977030476,5791
r1_kitchen_sink,3,0.0010580351059134648,4545
r1_kitchen_sink,4,0.0010999903846888063,5743
