expression,cost_bps_side,gross_sharpe,net_sharpe,net_cagr,net_maxdd,ann_turnover_pct
r1_dd20,2.0,-0.45184324830297723,-0.47834005933372453,-0.14247287788456364,-0.9621905381668099,4246.819672131148
r1_dd20,5.0,-0.45184324830297723,-0.5180787238481571,-0.15332886506515697,-1.03884053816681,4246.819672131148
r1_dd20,8.0,-0.45184324830297723,-0.5578044676909557,-0.16404741932424172,-1.1154905381668099,4246.819672131148
r1_rsi14,2.0,0.15151432414811075,0.12992261570134736,0.05200534827929437,-0.8229950390351582,4222.0327868852455
r1_rsi14,5.0,0.15151432414811075,0.09750708450414794,0.038764576538337536,-0.8505950390351583,4222.0327868852455
r1_rsi14,8.0,0.15151432414811075,0.06506061747234286,0.02569045607589615,-0.8781950390351582,4222.0327868852455
r1_bb_pos,2.0,-0.33364864732630156,-0.3672265359662329,-0.12940268393893128,-1.0751155412644104,6312.393442622951
r1_bb_pos,5.0,-0.33364864732630156,-0.417618887928465,-0.14573421764610583,-1.17516554126441,6312.393442622951
r1_bb_pos,8.0,-0.33364864732630156,-0.46803391021474505,-0.16175938813769475,-1.2752155412644113,6312.393442622951
r1_logbias_ma20,2.0,0.13883104921752967,0.10933730345474943,0.04014933691007072,-0.6297205285407648,5320.918032786885
r1_logbias_ma20,5.0,0.13883104921752967,0.06504236077333438,0.023677506472262966,-0.6435205285407646,5320.918032786885
r1_logbias_ma20,8.0,0.13883104921752967,0.0206879979182274,0.007466524345696834,-0.6573205285407651,5320.918032786885
r1_rev_5d,2.0,-0.7199010048296719,-0.7787914291848916,-0.22360871447449093,-1.5745546602246203,9468.590163934427
r1_rev_5d,5.0,-0.7199010048296719,-0.8672018595194828,-0.24535242172275495,-1.7271046602246196,9468.590163934427
r1_rev_5d,8.0,-0.7199010048296719,-0.9556640638995676,-0.26648717210389206,-1.8801614753408928,9468.590163934427
r1_vol_scaled_rev5,2.0,-0.1949150072248489,-0.2524407792595016,-0.07902561115985374,-0.9463707471813374,9361.180327868853
r1_vol_scaled_rev5,5.0,-0.1949150072248489,-0.33881316450205734,-0.10453002973693193,-1.0585564547489694,9361.180327868853
r1_vol_scaled_rev5,8.0,-0.1949150072248489,-0.42525108630227465,-0.129328157916756,-1.21110645474897,9361.180327868853
r1_vol_confirmed_rev,2.0,0.3318164743577999,0.26353710465476127,0.07866113491836035,-0.4274213584229774,9799.081967213115
r1_vol_confirmed_rev,5.0,0.3318164743577999,0.161144986772693,0.047413022855189224,-0.5173092167776225,9799.081967213115
r1_vol_confirmed_rev,8.0,0.3318164743577999,0.05884034492853345,0.017070148290526888,-0.6091092167776223,9799.081967213115
r1_kitchen_sink,2.0,-0.4037270710323854,-0.4379497863335244,-0.14516245337462508,-1.1267789805116606,6097.573770491803
r1_kitchen_sink,5.0,-0.4037270710323854,-0.48931260006060673,-0.16065760207863844,-1.1987789805116604,6097.573770491803
r1_kitchen_sink,8.0,-0.4037270710323854,-0.5407013245124879,-0.17587187913129854,-1.2707789805116605,6097.573770491803
