expression,horizon_days,ic_mean,ic_std,ic_tstat,n_days,icir_ann
r2_lt_rev_60d,20,-0.0032628726990965155,0.3919294845673911,-0.3163557921714564,1444,-0.13215769766850125
r2_lt_rev_60d,60,0.02257502460569794,0.36029326036586984,2.3477705355889555,1404,0.9946547579689116
r2_lt_rev_60d,120,0.0034147039407523413,0.35224933166125216,0.35538779785473,1344,0.15388743056860255
r2_lt_rev_120d,20,0.03752623981919874,0.4015629321522871,3.4765579906743396,1384,1.4834800264380503
r2_lt_rev_120d,60,-0.010721942584463998,0.38143237088681115,-1.0305179578973305,1344,-0.4462273652975754
r2_lt_rev_120d,120,-0.05616096703812791,0.346607876708657,-5.806021788583636,1284,-2.5721507586513135
r2_lt_rev_250d,20,-0.0575309401489409,0.37995977228014516,-5.361824819450626,1254,-2.403610667714774
r2_lt_rev_250d,60,-0.11018202026147657,0.3408375132681084,-11.263482445042083,1214,-5.131727815416322
r2_lt_rev_250d,120,-0.1263006378140181,0.3417051995545141,-12.556160569176038,1154,-5.8675152474187975
r2_vol_scaled_lt_120,20,0.019381634020182042,0.35858996002447696,2.010760327004723,1384,0.8580103628551753
r2_vol_scaled_lt_120,60,-0.026218972296346118,0.3487652628638391,-2.756018170051849,1344,-1.1933908742782011
r2_vol_scaled_lt_120,120,-0.06977531879868105,0.3263844633493094,-7.660460263494192,1284,-3.3936935471217944
r2_deep_dip_rev,20,-0.028425172752390787,0.3396537895554223,-3.2401675237817416,1499,-1.3285163962159268
r2_deep_dip_rev,60,-0.022623391340055365,0.3335860411623045,-2.5904635428142795,1459,-1.0765894236483877
r2_deep_dip_rev,120,-0.020949479097553105,0.32041575828325297,-2.445503108660225,1399,-1.037909847233035
r2_rsi_extreme_os,20,0.06488762784000643,0.3233392841500068,7.746340075922109,1490,3.1856913436461194
r2_rsi_extreme_os,60,0.006990906285703866,0.33548709167088364,0.7934903815689663,1450,0.33079423793286794
r2_rsi_extreme_os,120,0.023298458735624486,0.3295659733954121,2.635677240168856,1390,1.1222383265569404
r2_vol_confirmed_lt60,20,-0.023528756796224067,0.30206186611693564,-2.9599656843488784,1444,-1.2365262773798278
r2_vol_confirmed_lt60,60,-0.02193270194966567,0.2845255274323388,-2.888380828487229,1404,-1.223689321563238
r2_vol_confirmed_lt60,120,-0.047751518154558976,0.27403713837105825,-6.388183668624534,1344,-2.76616467053486
r2_residual_rev,20,-0.021981586130312206,0.3548778905518555,-2.353768141635772,1444,-0.9832871284223541
r2_residual_rev,60,-0.020857235079490347,0.36219622073511903,-2.1577264013276194,1404,-0.9141407982348945
r2_residual_rev,120,0.008968606850030545,0.3627357084469133,0.9064300825421351,1344,0.3924957391179573
