expression,year,n_days,mean_ann,vol_ann,sharpe
r1_dd20,2020,243,-0.3975494553554091,0.28639459631944125,-1.3881178641792074
r1_dd20,2021,243,0.16462343296404314,0.4077580270549912,0.40372824577611965
r1_dd20,2022,242,0.04750226515268356,0.2836347705911094,0.16747687546800558
r1_dd20,2023,242,-0.16671246445501567,0.21743124941139513,-0.7667364507462495
r1_dd20,2024,242,-0.14223686931523966,0.4227737598091146,-0.3364373166855498
r1_dd20,2025,242,-0.26491724530918065,0.21516483791956417,-1.2312292652957337
r1_dd20,2026,71,-0.9837222689732358,0.4105484182953419,-2.3961175470065066
r1_rsi14,2020,243,-0.3123031265137804,0.27615881603877807,-1.130882334279442
r1_rsi14,2021,243,-0.15154049972527556,0.44228534804868036,-0.3426306125533152
r1_rsi14,2022,242,0.10730272832003437,0.38682770976499176,0.2773915249898299
r1_rsi14,2023,242,-0.034331744140717435,0.2556494765877869,-0.13429225281018062
r1_rsi14,2024,242,0.7764808024395711,0.5081132318542129,1.5281648927071394
r1_rsi14,2025,242,-0.4204952451074784,0.3512101729252481,-1.1972752429269098
r1_rsi14,2026,71,0.9423305691999677,0.5500439280234722,1.7131914765174088
r1_bb_pos,2020,243,-0.10676532598265194,0.3051786205513572,-0.34984536528070737
r1_bb_pos,2021,243,-0.16911159460279857,0.4336210583415128,-0.3899985744456374
r1_bb_pos,2022,242,-0.17409786523160303,0.326257795692994,-0.5336205526117994
r1_bb_pos,2023,242,0.01809292933047243,0.2600883220624983,0.06956455863529606
r1_bb_pos,2024,242,0.33621995392023846,0.46982967202740084,0.7156209450743882
r1_bb_pos,2025,242,-0.6303824035453269,0.36973420144451624,-1.7049610262791028
r1_bb_pos,2026,71,-0.904628076245413,0.5347860832186865,-1.6915699653229186
r1_logbias_ma20,2020,243,0.0100258850508184,0.30579059719034735,0.03278676696712661
r1_logbias_ma20,2021,243,-0.04477534833965382,0.4402891561947726,-0.10169532387903361
r1_logbias_ma20,2022,242,0.0030303270041623907,0.3178079290189134,0.009535089365193433
r1_logbias_ma20,2023,242,0.13480595269422185,0.2601809312330703,0.518123876547519
r1_logbias_ma20,2024,242,0.6244863926427036,0.43454736202843997,1.4370962689259925
r1_logbias_ma20,2025,242,-0.3066130333930482,0.31963738868740876,-0.9592527164990143
r1_logbias_ma20,2026,71,-0.9316938254121052,0.48144662941579347,-1.9351964859379318
r1_rev_5d,2020,243,-0.24244212076304772,0.27401522402264766,-0.884776098217848
r1_rev_5d,2021,243,-0.33558013933104236,0.401196495466229,-0.8364483317359637
r1_rev_5d,2022,242,0.11007617694241803,0.28154594385529763,0.3909705657098452
r1_rev_5d,2023,242,-0.14940129467772936,0.23733035495514737,-0.629507737035848
r1_rev_5d,2024,242,-0.21156174412326656,0.3636246574619056,-0.5818135260682381
r1_rev_5d,2025,242,-0.5780270426485073,0.29515993187218,-1.9583519991420242
r1_rev_5d,2026,71,-1.2427840865015483,0.4986972774316184,-2.4920611014804654
r1_vol_scaled_rev5,2020,243,-0.28076627779077484,0.28528555229581903,-0.9841587684035326
r1_vol_scaled_rev5,2021,243,-0.39974834320921404,0.40427721688743,-0.9887976035031502
r1_vol_scaled_rev5,2022,242,0.13052626459670563,0.2758987755511121,0.4730947585250329
r1_vol_scaled_rev5,2023,242,-0.1041201614652625,0.23689784037663253,-0.43951503019076427
r1_vol_scaled_rev5,2024,242,0.18271152122402878,0.3228607908897184,0.5659142465721045
r1_vol_scaled_rev5,2025,242,-0.3976054565591138,0.31339092028306786,-1.268720409002213
r1_vol_scaled_rev5,2026,71,0.6001275403057899,0.5535636670135669,1.0841165633998913
r1_vol_confirmed_rev,2020,243,0.1402690489652095,0.20564808679930394,0.6820829269474356
r1_vol_confirmed_rev,2021,243,0.21782171704061604,0.3490662169633562,0.624012598341713
r1_vol_confirmed_rev,2022,242,0.3468292618921972,0.2776472909136531,1.249172144813253
r1_vol_confirmed_rev,2023,242,-0.22687417695612974,0.21567668393766148,-1.0519179580009899
r1_vol_confirmed_rev,2024,242,0.019187231364799797,0.3184085675715523,0.060259783557765206
r1_vol_confirmed_rev,2025,242,-0.07860979372441632,0.2680221122362924,-0.29329592647606895
r1_vol_confirmed_rev,2026,71,-0.4369273064256713,0.45361130989353476,-0.9632196043088536
r1_kitchen_sink,2020,243,-0.3809980646018741,0.3060948982373578,-1.244705700081396
r1_kitchen_sink,2021,243,-0.3313819435642486,0.4210974590499048,-0.7869483333191428
r1_kitchen_sink,2022,242,-0.00474050688878721,0.35505448138914436,-0.013351491495727813
r1_kitchen_sink,2023,242,-0.07537851732403891,0.2587521193482018,-0.2913155552654713
r1_kitchen_sink,2024,242,0.28278409251542946,0.43802903605033405,0.6455829847839919
r1_kitchen_sink,2025,242,-0.3705432205683128,0.29352551329172394,-1.262388459568228
r1_kitchen_sink,2026,71,-0.751385761077175,0.47355310336546447,-1.5866979980433014
