ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
000090.SZ,建筑工程,s4,715652.9012,0.07662427957441573,-0.0,0.5154999653752891,0.4664201264848805,0.7356481581826947,0.0013679890560875513
300042.SZ,IT设备,s3,473946.0,0.117011359107073,-0.0,0.5142452400449027,0.4664201264848805,0.7346981764223827,0.0013679890560875513
300085.SZ,软件服务,s5,2200478.626,0.14845479596059472,-0.0,0.502598980593543,0.4779403588433539,0.7346027583761794,0.0013679890560875513
000056.SZ,其他商业,s3,394964.4255,0.20716949620760836,-0.03027597315798289,0.6352404531149405,0.34518248176617244,0.7345146257768495,0.0013679890560875513
002027.SZ,广告包装,s5,10383941.603,0.09668347096302554,-0.0,0.5133676022746644,0.4664201264848805,0.7340336964332598,0.0013679890560875513
000612.SZ,铝,s3,795196.9958,-0.02795876061364674,-0.0,0.5131393361962859,0.4664201264848805,0.7338608708707992,0.0013679890560875513
300747.SZ,专用机械,s5,1012160.7158,0.028291580068163156,0.0034128122070719454,0.4973107900270377,0.4806421789758978,0.7326445571044181,0.0013679890560875513
002194.SZ,通信设备,s4,785778.6769,0.10842391264864756,0.0002304507171513653,0.5105994355171032,0.4673429474302347,0.7326365421552593,0.0013679890560875513
000813.SZ,化学制药,s4,703610.6968,0.062484602288611656,0.02759550250121355,0.39898127130366223,0.5769240468912906,0.7310942330040251,0.0013679890560875513
300296.SZ,元器件,s5,1551250.971,0.07921939224169226,-0.057902910470110786,0.7404815963354193,0.23470891382570544,0.7305530351993612,0.0013679890560875513
300277.SZ,机械基件,s3,392620.0,0.0009251325284151546,-0.0,0.4997708425148247,0.47345962819436116,0.7290690436964077,0.0013679890560875513
300320.SZ,橡胶,s4,586203.3362,-0.15674461525470956,-0.0,0.29852876067337547,0.6746982244478696,0.7290664046766259,0.0013679890560875513
301070.SZ,机械基件,s3,344466.5472,0.000780595323327259,-0.0,0.49934808218955723,0.47345962819436116,0.7287489620113874,0.0013679890560875513
600835.SH,运输设备,s5,2064910.6629,0.06241383528370771,-0.0,0.5047269039331962,0.4664201264848805,0.7274916225450841,0.0013679890560875513
002282.SZ,机械基件,s3,366679.4902,-0.029874748821136533,0.03144809861473259,0.3682833644926781,0.5993909529130366,0.7248623506712739,0.0013679890560875513
688306.SH,专用机械,s5,1125107.0448,0.027769141121826504,-0.0,0.5002755271809587,0.46697585315067613,0.7245421351656126,0.0013679890560875513
002553.SZ,汽车配件,s4,680340.0,-0.012871705176236212,-0.0,0.4955794083606753,0.4703888822138003,0.7235706780374067,0.0013679890560875513
002274.SZ,农药化肥,s3,692369.0976,0.06220458556747063,-0.0,0.49944442303830117,0.4664201264848805,0.7234921332721596,0.0013679890560875513
002483.SZ,专用机械,s4,545178.074,-0.02043110262210477,0.05923908450417801,0.2910043470158718,0.6746982244478696,0.7233694959121634,0.0013679890560875513
