alpha,h,ic_mean,ic_t,ic_ir,ls_sr_daily,q5e_sr_daily,ls_sr_monthly,q5e_sr_monthly,q5_size_mean
alpha_01,1,-0.006437434393587549,-2.0514281019168776,-0.07655861680354643,,,0.09575164407683275,0.04960716825335965,671.5
alpha_01,5,-0.008169143687869217,-2.6886633678376906,-0.10062069766053262,,,0.3573241973877945,0.36408662749241444,894.3333333333334
alpha_01,10,-0.004622339777796179,-1.4046830051977917,-0.052716813806179055,,,0.24959885586916156,0.3519656919401111,894.3333333333334
alpha_01,20,-0.000922922526863963,-0.3005445805077657,-0.011351412140912315,,,-0.06787490496953064,0.20177809700725316,894.3333333333334
alpha_02,1,-0.005163040888304192,-1.7769574978862075,-0.06631546483629633,-1.3470357585203403,-0.6939634221548693,0.3389742565310143,0.34687098699515273,954.036231884058
alpha_02,5,-0.007555296881112068,-2.627381096143096,-0.09832726628273557,-0.5305330764421693,-1.3535418634121714,0.31144023400958376,0.24613654945083582,952.8644688644689
alpha_02,10,0.001759261217530839,0.6240832959579131,0.023421428742869486,-0.288360778714503,-0.5956454796865942,0.340390274584722,0.2349027896582635,948.5719557195572
alpha_02,20,0.006862449072307681,2.3615421938785652,0.08919421766175281,-0.38993929675894723,-0.5632554240631125,0.16190270946389482,-0.01650490361448069,943.390977443609
alpha_03,1,-0.004580328074199697,-1.4746538255035853,-0.0547672681641943,-0.8067070411872395,-0.09134838482015152,-0.15347647374612894,-0.21510400924167344,35.75856164383562
alpha_03,5,-0.00365580464639523,-1.204239202538238,-0.044848211516020996,0.15312791166664286,0.47769051422741665,-0.010458059307954808,-0.03731150302120633,35.73965517241379
alpha_03,10,-0.005155951271605321,-1.521341885200037,-0.056815553831081334,0.018864476314485932,0.30734071442769656,-0.07784378669603338,-0.03885900198635571,35.642361111111114
alpha_03,20,-0.0012864858649593589,-0.3845884133075837,-0.014453717663927779,-0.1391067948780336,-0.03761666182678121,-0.07656196677508427,-0.042734451800067574,35.57293497363796
alpha_04,1,0.0038478578809368336,1.3858525155634425,0.051719556530454264,0.6135940898000378,-0.06782308074185228,-0.12678059413077422,-0.09821580405023059,936.160202360877
alpha_04,5,-0.0013503450035966444,-0.4896805822764207,-0.018325835211975765,-0.40408581225455925,-1.1297434987635897,-0.0476237025538922,-0.07194389836230182,935.9066213921901
alpha_04,10,-0.0073520965006075726,-2.6739920601535094,-0.10035313379082614,-0.49505986894008447,-1.3522874005589798,0.04088820201710078,0.04741566695208293,934.7196581196581
alpha_04,20,-0.008249078560526547,-3.061590788930907,-0.11563468818256604,0.05882306194506492,-0.48820946098983475,-0.13139011229845463,-0.14436864037305794,932.1993067590988
alpha_05,1,-0.00013554612615188793,-0.05327665621909329,-0.001988267151181451,-0.1463616844968571,-1.0488830272551928,0.22929797528499166,0.3198602299236411,956.3216292134831
alpha_05,5,0.002239621056968362,0.8752956580153723,0.032757116722861725,0.28534326216097855,-0.4694311450639747,-0.08297914361816149,0.056626361067502386,955.9533898305085
alpha_05,10,0.007604775333440157,3.1404295723214997,0.11785822169335611,0.5694283640218567,-0.3925016086804758,-0.1672024722604704,-0.02835547635864412,954.5071022727273
alpha_05,20,0.012309132403362967,4.8686582408786805,0.18388668387262777,0.0867174941171047,-0.35784531636232286,-0.07378482154612814,0.08842786945884056,952.136690647482
alpha_06,1,0.008121720739326547,1.8654244784974203,0.069375882833428,-3.269764815357558,-2.4355706923235014,0.09078986230085855,-0.0012182224239875882,244.62377622377622
alpha_06,5,0.009966586176178356,2.359353934191234,0.08798905440513265,-2.792397808796168,-2.2885235699401676,0.3032267409667949,0.25448223452606655,244.69479606188466
alpha_06,10,0.009038212763343446,2.1049521893396412,0.07872074854139237,-2.3985805970452145,-2.000170310194615,0.33453048055312545,0.2594407838155643,244.92634560906515
alpha_06,20,0.010787792028105272,2.4548728514615115,0.09239035854713691,-1.1631042422617226,-1.3931434733089425,0.20574743121926242,0.15141135888982934,238.82234957020057
alpha_07,1,-0.006971402192169763,-1.8076367288682542,-0.06746040356770364,0.31596114650403484,-2.0612710242777386,-0.5689810014822118,-0.35511059034143583,968.0825688073395
alpha_07,5,-0.009659434323503382,-2.6509630550329066,-0.09920979891366255,0.6213966235577826,-0.5570052442744338,-0.25240009778523137,-0.06686234407574536,968.0871559633027
alpha_07,10,-0.009431511085992083,-2.5727858319305486,-0.09655493172707706,0.14186002173112847,-0.4443697995017741,0.004537906823791904,0.15852075161387072,962.9032258064516
alpha_07,20,-0.016654025318758738,-4.23401759549906,-0.16003082291945978,0.2641097894994626,-0.3518782550194576,-0.18002656605917658,-0.05252817215823513,966.3490566037735
alpha_08,1,-0.0034644864788772878,-1.0720421026408071,-0.03998042410122311,-0.5384422751231556,-0.7970531062773856,0.39340602345736236,0.38681886960448253,954.4992987377279
alpha_08,5,-0.005124077104324233,-1.56839270327989,-0.05865456148331042,-0.12146434033566582,-0.37513810223906285,0.24625607177164532,0.07607321950407818,953.9055007052186
alpha_08,10,0.0010581856206680407,0.35025561501207747,0.013135611822716393,0.12666163414230308,-0.2649534549996368,0.1304413240029387,0.05164146426531427,952.3106382978723
alpha_08,20,0.0026309889344656424,0.8403971765972938,0.03171874742070253,0.09624847309403649,-0.18495206764350886,0.1132084281947655,0.09631223914812624,950.0402298850574
