date,anchor_excess,ivol_excess_scaled,blend_excess,blend_cum_excess
2020-01-02,0.0031985542208339125,0.005212607783985594,0.004205581002409753,1.0042055810024098
2020-01-03,-0.001147131888132716,0.0035471978355165234,0.0012000329736919038,1.005410660811978
2020-01-06,0.004937375485908715,0.00380474543692014,0.004371060461414427,1.0098053715989377
2020-01-07,0.006468947416886427,0.004680974299371215,0.005574960858128822,1.01543499701993
2020-01-08,-0.0025732497403024917,0.0031536210092897947,0.0002901856344936515,1.0157296616688272
2020-01-09,0.006157703006965957,0.004421546914151366,0.005289624960558662,1.0211024906403705
2020-01-10,-0.008130796712514057,0.003772322440184512,-0.0021792371361647727,1.0188772661729366
2020-01-13,-0.00114775156345379,0.004051892517458057,0.0014520704770021335,1.020356747770835
2020-01-14,0.0030257521336740584,0.0038240535003687495,0.003424902817021404,1.0238513704706422
2020-01-15,-0.005624333709961425,0.004326205504518068,-0.0006490641027216788,1.0231868252995473
2020-01-16,0.002113025681120345,0.005604784464780285,0.003858905072950315,1.0271352061302716
2020-01-17,0.00135659337073326,0.00411069126190065,0.002733642316316955,1.0299430263943283
2020-01-20,0.0031321042915610094,0.0026105324633859035,0.0028713183774734564,1.032900320733765
2020-01-21,-0.002761044000581891,0.0022945944822974837,-0.00023322475914220372,1.032659422805244
2020-01-22,0.004684137852644595,0.00151332369246463,0.0030987307725546124,1.0358593563362588
2020-01-23,-0.008567599319871467,0.0006929037155771598,-0.003937347802147153,1.0317808177762546
2020-02-03,-0.0017457573761803305,0.00044492880763696765,-0.0006504142842716815,1.0311097327941354
2020-02-04,0.027229700793006427,0.00023743085478981668,0.013733565823898121,1.0452705461811258
2020-02-05,0.013211252310845722,-0.001947238832978934,0.005632006738933394,1.0511575169412266
2020-02-06,0.004269120679437159,-0.0008482147233901652,0.0017104529780234967,1.0529554724464505
2020-02-07,-0.005731849658902099,-0.0014060460902229118,-0.0035689478745625056,1.0491975292510538
2020-02-10,0.011829903982709002,0.0005288680026492754,0.0061793859926791385,1.0556809257668613
2020-02-11,-0.008811293203603018,-7.504238339903797e-05,-0.0044431677935010275,1.0509903582772806
2020-02-12,0.011376984008088535,-0.0004494359537073299,0.0054637740271906024,1.0567327320996638
2020-02-13,-0.006763970301694865,-0.00033292051904945663,-0.0035484454103721606,1.0529829736864547
2020-02-14,-0.004928077839155533,-0.0007528291820130918,-0.0028404535105843124,1.0499920245022616
2020-02-17,0.0056021848647413094,-0.0011444845921476372,0.002228850136296836,1.052332299369184
2020-02-18,-0.00035210576281357144,-0.0003629324419927077,-0.00035751910240313956,1.0519560704700837
2020-02-19,-0.011782856184946042,0.00015310524240109258,-0.005814875471272475,1.045839076919051
2020-02-20,0.0007279006859044757,-0.00024265407033638493,0.00024262330778404535,1.0460928218553032
2020-02-21,0.0046106458085907855,-0.0018002123475018236,0.001405216730544481,1.0475628089902767
2020-02-24,-0.004183733551196658,-0.002412227605853574,-0.003297980578525116,1.0441079671914415
2020-02-25,0.00573925328731401,-0.000710200885965537,0.0025145262006742363,1.0467334040312772
2020-02-26,-0.006496384691343438,-0.0008630613649112676,-0.003679723028127353,1.0428817150201533
2020-02-27,0.004322287110133235,-0.0007502362477443895,0.0017860254311944227,1.0447443282849067
2020-02-28,-0.006997337205964699,-0.0012575280049570289,-0.004127432605460864,1.0404322164799733
2020-03-02,-0.003917474107738898,-0.0016392400128340486,-0.0027783570602864733,1.0375415242855666
2020-03-03,0.009400849073970123,-0.0008069738187224734,0.004296937627623825,1.0419997755014914
2020-03-04,0.001961466152569887,-0.0005316235944609101,0.0007149212790544885,1.0427447233137674
2020-03-05,-0.00022023219139412443,-0.0007784429463254629,-0.0004993375688597937,1.0422240416986865
2020-03-06,0.00608299620545445,0.0001363849638843273,0.0031096905846693884,1.0454650359882731
2020-03-09,-0.0008201832236414253,-0.0006310734527711593,-0.0007256283382062923,1.044706416931556
2020-03-10,-0.0076903994108426235,0.0002160593930749883,-0.0037371700088838175,1.040802171442111
2020-03-11,0.003249725579669006,7.621443315632742e-05,0.0016629700064126668,1.0425329942358283
2020-03-12,-0.008351500617441025,-0.0002796145526700293,-0.004315557585055527,1.0380338830648832
2020-03-13,-0.0030667053350308155,0.0004226256486292667,-0.0013220398432007743,1.036661560912879
2020-03-16,0.0007309065396360903,3.7479666761614316e-05,0.0003841931031988523,1.0370598391349333
2020-03-17,-0.0018095522052035495,0.0006005655025455341,-0.0006044933513290078,1.036432943357246
2020-03-18,0.009348044883331543,-0.0001918046180872392,0.004578120132622152,1.0411778578813424
2020-03-19,0.0022207478887213716,3.695076130497016e-06,0.0011122214824259343,1.0423358782619043
2020-03-20,0.001904840390578201,0.0002500433859764221,0.0010774418882773115,1.043458934598798
2020-03-23,0.009198542669555285,-5.264406243453308e-05,0.004572949303560376,1.0482306194070654
2020-03-24,0.0040805212641299785,-1.1371463689853136e-05,0.0020345749002200625,1.050363323114953
2020-03-25,0.002274115913513102,9.81144140249171e-05,0.0011861151637690096,1.0516091749799665
2020-03-26,0.011972702796868462,0.00030611351838793674,0.006139408157628199,1.0580654329274752
2020-03-27,-0.0011484312123804259,0.0006428565132847657,-0.00025278734954783006,1.0577979673710374
2020-03-30,-0.00014071647744005032,0.0005093561289597982,0.00018431982575987395,1.0579929405080724
2020-03-31,0.005675775000697922,0.001148977821313029,0.0034123764110054753,1.0616032106612725
2020-04-01,-0.009481148138808349,0.0010369381576765158,-0.004222104990565917,1.0571210104475386
2020-04-02,-0.01231778185977736,0.0009630416288122244,-0.005677370115482568,1.051119343214375
2020-04-03,0.011428856211399843,0.0005971726633216994,0.006013014437360771,1.0574397390005121
2020-04-07,0.006078671187896716,0.00028500623930240827,0.0031818387135995625,1.0608043416993627
2020-04-08,-0.005851373831880013,0.0004099124783105828,-0.002720730676784715,1.0579181787848349
2020-04-09,0.012810825028040257,0.0010732356216108408,0.006942030324825549,1.0652622788631434
2020-04-10,0.007924944287073972,0.0014279977211262476,0.00467647100410011,1.0702439470220084
2020-04-13,0.010450417530008704,0.0017722576437821744,0.006111337586895439,1.0767845690825915
2020-04-14,-0.0037301408873401947,0.0013842212018132093,-0.0011729598427634926,1.0755215440237502
2020-04-15,0.002660253005047389,0.0014501869434281822,0.0020552199742377856,1.077731977383751
2020-04-16,0.006980205464477066,0.0014696169528684582,0.004224911208672762,1.0822852992949448
2020-04-17,-0.01733496645521119,0.0012696188615976425,-0.008032673796806772,1.0735916545306292
2020-04-20,0.0010093489461484634,0.0014063585960822635,0.0012078537711153635,1.074888396259192
2020-04-21,0.006566425626260303,0.0015308536970549914,0.004048639661657647,1.0792402320521426
2020-04-22,0.0018532188749189702,0.0020371850625119977,0.0019452019687154838,1.0813395722762473
2020-04-23,0.014396962481876642,0.002062413797925912,0.008229688139901277,1.0902386597294151
2020-04-24,-0.00403182666507325,0.001642671368024164,-0.0011945776485245427,1.0889362849949449
2020-04-27,0.00854223660417162,0.0017093136240746158,0.005125775114123118,1.0945179275054377
2020-04-28,-0.005116524392030325,0.002404456850294716,-0.0013560337708678045,1.0930337242329202
2020-04-29,-0.00738131628947363,0.0012744579883942119,-0.003053429150539709,1.0896962231968244
2020-04-30,-0.025129574822598772,0.0006578944704874439,-0.012235840176055664,1.0763628743693365
2020-05-06,-0.002112566861940267,0.0007287393940299345,-0.0006919137339551663,1.075618124113841
2020-05-07,0.0032304663975316686,0.001117249540998824,0.002173857969265246,1.0779563651448318
2020-05-08,0.0002841703530587418,0.0010682643422553382,0.00067621734765704,1.07868529793896
2020-05-11,-0.005585271732359253,0.0013552682213170708,-0.002115001755521091,1.0764038766401645
2020-05-12,0.00695708039847607,0.0013547451043235152,0.0041559127513997925,1.0808773172367494
2020-05-13,0.00993808717920338,0.0012426563158869958,0.0055903717475451874,1.0869198232535922
2020-05-14,0.0013276419108575672,0.0007018500901145404,0.0010147460004860539,1.0880227707970878
2020-05-15,-0.005424064298908722,0.0007447065276431623,-0.0023396788856327798,1.085477146893166
2020-05-18,0.018794120189276804,0.0007400080344304636,0.009767064111853633,1.0960790717788236
2020-05-19,-0.007588806192186273,0.0015273210757424714,-0.003030742558221901,1.092757138288807
2020-05-20,-6.465237850641515e-05,0.0012728393592159517,0.0006040934903547683,1.093417265762586
2020-05-21,0.010165725142754786,0.0018134930045986322,0.005989609073676709,1.0999664077389122
2020-05-22,-0.001345863686456555,0.0022822580316495737,0.0004681971725965093,1.1004814089009667
2020-05-25,0.009439704260678161,0.00225458760650184,0.00584714593359,1.1069160842960135
