trade_date,Q1,Q2,Q3,Q4,Q5,tov_q5,tov_q1,LS,cost,LS_net,MKT_EW,Q5_ex,Q5_ex_net
2018-08-08,-0.059797608095676025,,,,-0.05976095617529875,,,3.665192037727305e-05,0.0,3.665192037727305e-05,-0.05977928213548739,1.8325960188636525e-05,1.8325960188636525e-05
2018-09-05,-0.10226648485848037,-0.0969200839892264,-0.0758230646871932,-0.097318929747791,-0.10555075871352526,1.0,0.9591836734693877,-0.0032842738550448863,0.0019591836734693877,-0.005243457528514274,-0.09557586439924325,-0.009974894314282015,-0.010974894314282016
2018-10-11,0.048110038693598596,0.05212445840028617,0.057739689274414724,0.0590530001901137,0.05941951433263088,0.8906942392909897,0.8788774002954209,0.011309475639032285,0.0017695716395864105,0.009539903999445874,0.055289340178208815,0.004130174154422066,0.003239479915131076
2018-11-08,0.035529231067211495,0.03644065950862887,0.036851679680586065,0.036421784114363955,0.03797806769506053,0.11268715524034673,0.10007880220646179,0.0024488366278490326,0.0002127659574468085,0.002236070670402224,0.03664428441317018,0.0013337832818903494,0.0012210961266500026
2018-12-06,-0.02536015190046846,-0.020449411829583607,-0.01815981415910558,-0.016575426541105526,-0.02214140587235288,0.10852713178294573,0.09922480620155039,0.003218746028115581,0.00020775193798449612,0.003010994090131085,-0.020537242060523216,-0.0016041638118296647,-0.0017126909436126104
2019-01-07,0.014190032613938624,0.01716372446153841,0.010123238307083188,0.012049741312996324,0.01656323533883551,0.007668711656441718,0.010736196319018405,0.002373202724896887,1.8404907975460123e-05,0.002354797816921427,0.014017994406878412,0.002545240931957099,0.002537572220300657
2019-02-11,0.24950140776867663,0.26680464272517584,0.26776053594797816,0.2713114216757408,0.2768861498842579,0.006864988558352402,0.012967200610221205,0.027384742115581284,1.9832189168573607e-05,0.02736490992641271,0.26645283160036587,0.010433318283892046,0.010426453295333694
2019-03-11,0.05497390956532791,0.059977806057948994,0.06694088207179577,0.06488451381870713,0.06694565728403161,0.011406844106463879,0.012927756653992395,0.011971747718703699,2.4334600760456272e-05,0.011947413117943242,0.06274455375956228,0.004201103524469327,0.004189696680362863
2019-04-09,-0.13416898534703628,-0.13504993456896325,-0.12598903126054173,-0.12289986055502757,-0.113168606918573,0.05623100303951368,0.04783599088838269,0.02100037842846328,0.00010406699392789637,0.020896311434535384,-0.12625528373002837,0.013086676811455367,0.013030445808415853
2019-05-10,-0.005987205594623357,-0.014072342933186226,-0.008040000140252421,-0.014242124670838314,-0.012055010237908056,0.11448066717210008,0.10303030303030303,-0.0060678046432846985,0.0002175109702024031,-0.006285315613487102,-0.010879336715361676,-0.0011756735225463798,-0.0012901541897184798
2019-06-10,0.0011230896649596345,0.0019037869007078856,-0.0005424648464021414,0.002053303178638007,0.0010693466889842558,0.11043872919818457,0.08169440242057488,-5.374297597537871e-05,0.00019213313161875944,-0.00024587610759413815,0.0011214123173775281,-5.2065628393272324e-05,-0.00016250435759145688
2019-07-08,-0.06393744968137759,-0.06397716876155776,-0.059363944482853565,-0.053078452043487975,-0.05944648941438667,0.009811320754716982,0.006033182503770739,0.004490960266990918,1.5844503258487722e-05,0.00447511576373243,-0.059960700876732706,0.000514211462346037,0.00050440014159132
2019-08-05,0.07672113869964056,0.0848772020725171,0.0831353980016223,0.07848945124562433,0.08887212490073293,0.015037593984962405,0.012012012012012012,0.012150986201092367,2.7049605996974418e-05,0.012123936595095393,0.08241906298402744,0.006453061916705485,0.006438024322720523
2019-09-02,-0.004775409447269699,0.004170872674478493,-0.006603750130946062,-0.004686246958076851,-0.0011983914820001883,0.1207801950487622,0.136431784107946,0.003577017965269511,0.0002572119791567082,0.003319805986112803,-0.0026185850687628614,0.001420193586762673,0.001299413391713911
2019-10-08,-0.009951449191633452,-0.003725088282630185,-0.007170110634955204,-0.0062809225393892715,-0.009957417401596636,0.10644677661169415,0.10644677661169415,-5.9682099631842844e-06,0.0002128935532233883,-0.00021886176318657258,-0.00741699761004095,-0.002540419791555686,-0.0026468665681673802
2019-11-05,-0.029268660757415764,-0.016386703626544746,-0.012506309582003645,-0.01712011011648584,-0.008878220564677013,0.16591928251121077,0.17937219730941703,0.02039044019273875,0.0003452914798206278,0.020045148712918123,-0.0168320009294254,0.007953780364748388,0.007787861082237177
2019-12-03,0.09102402195405071,0.08669351836096308,0.10291609742712576,0.0917464606379346,0.09273640546177292,0.16964285714285715,0.15922619047619047,0.0017123835077222094,0.0003288690476190476,0.0013835144601031617,0.09302330076836941,-0.00028689530659649354,-0.0004565381637393507
2019-12-31,-0.04500622112455922,-0.030815938563585894,-0.03839605542672084,-0.040795598267048046,-0.04607936755212252,0.008166295471417966,0.004451038575667656,-0.0010731464275632943,1.2617334047085621e-05,-0.00108576376161038,-0.04021863618680731,-0.00586073136531521,-0.005868897660786627
2020-02-06,0.125126079807131,0.11938144001962514,0.1283817327261445,0.11898662222608192,0.13323231310162525,0.006661732050333087,0.0066518847006651885,0.008106233294494253,1.3313616750998274e-05,0.008092919677743254,0.12502163757612156,0.008210675525503697,0.008204013793453363
2020-03-05,-0.09781123174928474,-0.10344004649608374,-0.10446663026175201,-0.10294176145064846,-0.10077697917580011,0.008106116433308769,0.013254786450662739,-0.0029657474265153694,2.1360902883971508e-05,-0.0029871083293993407,-0.10188732982671381,0.001110350650913694,0.0011022445344803851
2020-04-02,0.03246663453637483,0.024988309704911418,0.03446970154447139,0.029354781166184864,0.03272604265658634,0.02643171806167401,0.024963289280469897,0.00025940812021151005,5.1395007342143906e-05,0.00020801311286936615,0.03080109392170577,0.0019249487348805688,0.0018985170168188948
2020-05-06,0.042971293231329255,0.035712373334317586,0.05190652960034622,0.043453549259478315,0.0444651330461412,0.11322132943754565,0.12052593133674215,0.0014938398148119439,0.00023374726077428782,0.001260092554037656,0.043701775694322514,0.0007633573518186845,0.0006501360223811389
2020-06-03,0.1028814239826694,0.10409442503047787,0.11017540261388488,0.10879675161218523,0.10957353400303535,0.10965867828612927,0.09368191721132897,0.006692110020365946,0.00020334059549745827,0.006488769424868488,0.10710430744845054,0.0024692265545848135,0.002359567876298684
2020-07-03,0.08849307252000423,0.08739674870245451,0.08919191372691773,0.09261498454437017,0.10893661548033777,0.009399855386840203,0.010845986984815618,0.020443542960333544,2.024584237165582e-05,0.020423297117961887,0.09332666699481688,0.015609948485520886,0.015600548630134046
2020-07-31,0.012277385262966102,0.004677904081803706,0.007021177891411232,0.0034576299814192716,0.010151680689518414,0.010086455331412104,0.011527377521613832,-0.0021257045734476877,2.1613832853025933e-05,-0.0021473184063007136,0.007517155581423745,0.002634525108094669,0.002624438652763257
2020-08-28,-0.07974798982080339,-0.07478992741754761,-0.07333301182445202,-0.07222744207100922,-0.06615352962985603,0.09663564781675017,0.09949892627057981,0.013594460190947358,0.00019613457408733,0.013398325616860027,-0.07325038015273366,0.007096850522877632,0.007000214875060882
2020-09-25,0.022907806745345195,0.02216701297007144,0.0358668352013163,0.03176319986161386,0.04030510507862122,0.13413768630234207,0.13555713271823988,0.017397298333276027,0.00026969481902058194,0.017127603514255445,0.030601991971393606,0.009703113107227615,0.009568975420925272
2020-11-02,0.019730929421462935,0.018315378013717153,0.02406859413065295,0.028754664587145314,0.01701461483501868,0.24629498941425548,0.2002820874471086,-0.002716314586444255,0.00044657707686136404,-0.0031628916633056193,0.021576836197599404,-0.004562221362580724,-0.00480851635199498
2020-11-30,-0.05389326898711827,-0.05622037971247859,-0.06508416182142564,-0.0650612409940176,-0.06133853468736281,0.16129032258064516,0.18570427470217238,-0.007445265700244542,0.00034699459728281754,-0.00779226029752736,-0.06031951724048059,-0.0010190174468822227,-0.0011803077694628678
2020-12-28,-0.02317187957635816,-0.01898567710205016,-0.022564018481295505,-0.016323595777209446,-0.01681044964227627,0.005578800557880056,0.009762900976290097,0.00636142993408189,1.5341701534170153e-05,0.0063460882325477195,-0.019571124115837907,0.002760674473561639,0.002755095673003759
2021-01-26,0.03212976685773171,0.03462764265459954,0.036096286347349814,0.032543238339711525,0.04340304850534634,0.004864489228630994,0.010423905489923557,0.011273281647614632,1.528839471855455e-05,0.011257993252896076,0.03575999654094779,0.007643051964398552,0.007638187475169921
2021-03-02,-0.00879520007008664,-0.012821437939380185,-0.01635100267772999,-0.011467858975528648,-0.006634509191394468,0.008984105044920525,0.018659295093296474,0.002160690878692171,2.7643400138217e-05,0.0021330474785539537,-0.011214001770823986,0.0045794925794295175,0.004570508474384597
2021-03-30,0.005781623050228691,0.014220252271129925,0.013438981395864564,0.017622509680483452,0.02110125926871833,0.02194787379972565,0.027434842249657063,0.015319636218489639,4.938271604938271e-05,0.015270253502440255,0.01443292513328499,0.00666833413543334,0.006646386261633614
2021-04-28,0.05641868390339188,0.06649892815899697,0.06509657188471585,0.07584322488910795,0.06431979587018644,0.08571428571428572,0.07346938775510205,0.007901111966794556,0.00015918367346938778,0.007741928293325168,0.06563544094127982,-0.0013156450710933854,-0.001401359356807671
2021-05-31,0.01845186377226997,0.027968804646079024,0.031565148502647085,0.025062341117694037,0.031666182950120116,0.11334674714956405,0.11468812877263582,0.013214319177850146,0.00022803487592219988,0.012986284301927947,0.026942868197762045,0.004723314752358071,0.004609968005208507
2021-06-29,-0.050367898838307654,-0.03039381782532348,-0.030611901456987015,-0.03004768339516197,-0.024306152758489425,0.05921052631578947,0.07105263157894737,0.02606174607981823,0.00013026315789473685,0.02593148292192349,-0.03314549085485391,0.008839338096364485,0.008780127570048694
2021-07-27,0.09323485242061044,0.11123135696457799,0.10612109991465961,0.11978974748996643,0.11563942835411099,0.012329656067488644,0.01752109020116807,0.02240457593350055,2.9850746268656717e-05,0.022374725187231895,0.1092032970287851,0.006436131325325889,0.0064238016692584
2021-08-24,0.0023943037824114043,0.005446133826354234,0.014096914539677503,0.0252472889399527,0.015322479777703268,0.08167202572347267,0.05594855305466238,0.012928175995291863,0.00013762057877813507,0.012790555416513728,0.012501424173219821,0.002821055604483447,0.0027393835787599746
2021-09-23,-0.04950561157612914,-0.055413515097104606,-0.048852511458752704,-0.05611581079345555,-0.05348641193275883,0.14869176770899808,0.12755102040816327,-0.003980800356629691,0.0002762427881171614,-0.004257043144746852,-0.05267477217164017,-0.000811639761118664,-0.0009603315288276621
2021-10-28,0.08964879904011039,0.09911721125437328,0.0973777339562502,0.09055153851428295,0.0859004776754463,0.16666666666666666,0.16340694006309148,-0.0037483213646640895,0.0003300736067297582,-0.004078394971393848,0.09251915208809261,-0.006618674412646311,-0.0067853410793129775
2021-11-25,0.004095398146004655,0.008954239577221296,0.021102966458825548,0.021882285468867845,0.01988228065563989,0.17133956386292834,0.16510903426791276,0.015786882509635232,0.0003364485981308411,0.01545043391150439,0.015183434061311849,0.0046988465943280395,0.004527507030465111
2021-12-23,-0.009899630087362115,-0.008294465286982095,-0.012943299853617111,-0.01384486254889064,-0.008474236091682191,0.11358024691358025,0.13580246913580246,0.0014253939956799244,0.00024938271604938274,0.0011760112796305416,-0.010691298773706831,0.0022170626820246404,0.0021034824351110603
2022-01-21,-0.02069839935000843,-0.013429470794597683,-0.00844201251722734,-0.007021888260110988,-0.0017572879846488496,0.009174311926605505,0.02507645259938838,0.018941111365359583,3.425076452599388e-05,0.01890686060083359,-0.010269811781318658,0.008512523796669808,0.008503349484743202
2022-02-25,-0.06599786908405562,-0.06222655892763439,-0.05346545891151511,-0.054615264549816904,-0.04966078128008046,0.014510278113663845,0.020556227327690448,0.016337087803975164,3.506650544135429e-05,0.01630202129853381,-0.0571931865506205,0.007532405270540041,0.007517894992426377
2022-03-25,-0.16555854917023513,-0.16864517710984725,-0.16633904154549786,-0.16285874303917686,-0.1600330155381162,0.02208955223880597,0.03283582089552239,0.00552553363211894,5.4925373134328353e-05,0.005470608258984612,-0.16468690528057467,0.004653889742458478,0.004631800190219672
2022-04-26,0.12766574534196187,0.12906144076823536,0.13128699277228162,0.123798035784323,0.13129913198719828,0.06729634002361275,0.06847697756788666,0.0036333866452364083,0.0001357733175914994,0.0034976133276449087,0.12862226933080004,0.0026768626563982434,0.0026095663163746307
2022-05-27,0.10960981551491146,0.10806949758163402,0.11309878363095391,0.10983382741093092,0.10366282183343752,0.09748978400467016,0.11266783420899007,-0.005946993681473944,0.00021015761821366026,-0.006157151299687604,0.10885494919437358,-0.0051921273609360635,-0.005289617144940734
2022-06-27,-0.009619469429956331,0.0015716648283193688,0.0021138430513203597,-0.0015494600411584923,0.015449437163641501,0.06459054209919261,0.07035755478662054,0.025068906593597833,0.00013494809688581317,0.024933958496712018,0.0015932031144332813,0.01385623404920822,0.013791643507109026
2022-07-25,0.04226711503668066,0.049374462250131944,0.049848410558085664,0.04242654978063343,0.0397362611501462,0.008009153318077803,0.012585812356979404,-0.0025308538865344565,2.0594965675057208e-05,-0.002551448852209514,0.04473055975513558,-0.004994298604989379,-0.005002307758307457
2022-08-22,-0.08477488668228357,-0.09038167178464417,-0.08581995778266478,-0.08096131375556777,-0.08020580790624701,0.04480998298355077,0.060692002268859895,0.004569078776036559,0.00010550198525241067,0.004463576790784148,-0.08442872758228145,0.004222919676034442,0.004178109693050891
2022-09-20,0.004223689045794377,0.002100060077625265,-0.002713783628402145,-0.0018602306742568693,-0.00562737886613269,0.1308253790005615,0.13644020213363278,-0.009851067911927067,0.0002672655811341943,-0.01011833349306126,-0.0007755288090744123,-0.004851850057058277,-0.004982675436058838
2022-10-25,0.03595570452801377,0.03363368287434192,0.03847043555329596,0.0422047880748598,0.043345957080604174,0.10356347438752785,0.11692650334075724,0.007390252552590404,0.00022048997772828512,0.0071697625748621185,0.03872211362222312,0.004623843458381051,0.004520279983993523
2022-11-22,-0.02999653146420344,-0.027517680290597042,-0.025078832270487194,-0.024601500112112536,-0.019685344578522133,0.15754560530679934,0.15138121546961325,0.010311186885681306,0.0003089268207764126,0.010002260064904893,-0.02537597774318447,0.005690633164662336,0.005533087559355537
