alpha,headline_sharpe,worst_year_sharpe,best_year_sharpe,no_best_year_sharpe,pct_headline_kept,worst_year_floor_pass,best_year_out_pass
alpha_01,1.1802953171135522,0.7660297653368963,2.566638807695232,1.0176373015230207,0.8621887139327837,True,True
alpha_02,-0.383330338807918,-1.7272107494732674,0.2802978519169267,-0.6538388858586928,,False,False
alpha_03,1.97739846920356,1.2381022485508215,5.079574257402231,1.674877881604109,0.8470108112699725,True,True
alpha_04,0.5007088800183971,0.21922107542267508,2.037448586638193,0.2866540746789988,0.5724964867179239,False,True
alpha_05,0.6585801944108788,0.11583102329792189,4.812869845044625,0.31451442502773047,0.47756435388870716,False,False
alpha_06,0.9784090728412005,0.5853445972770032,1.5373785909598978,0.8794665387483751,0.8988740631712395,True,True
alpha_07,0.7920251960861153,-0.1996930033875319,2.1942682548136343,0.41136213716666226,0.5193801146724323,False,True
alpha_08,1.500219775582405,0.8801876896756458,2.5560144664098834,1.2556833482870173,0.8369995974753397,True,True
