alpha,ls_sharpe_gross,ls_sharpe_net,ls_ann_ret_gross,ls_ann_vol,q5ex_ir,q5ex_ann,worst_year_sharpe,best_year_sharpe,no_best_year_sharpe,pct_kept_no_best,max_dd,n_rebalances
alpha_sum_none,0.9250015332206013,0.6858634956909324,0.09688716808221876,0.10036044557329128,0.8012465191898995,0.04243568063322356,0.10964500154057642,3.692325442929902,0.8222577619885291,0.8889258368314843,-0.062351337958556186,82
alpha_sum_size,0.9553987205526018,0.7136974825317169,0.09910298315186794,0.09929614012951894,0.7923819924092994,0.04128474987522868,0.10833821760208402,3.803068105237225,0.849556959479171,0.8892171835731453,-0.060536167383027584,82
alpha_sum_ind,1.3260287896366412,1.0089039959008814,0.10510079144568252,0.07567998615711423,1.1272408007066061,0.04826679561621505,1.179799261048965,5.3913899899614295,1.2056061879701507,0.9091855300521124,-0.025583225754021277,82
alpha_sum_indxsize,1.1228606782729684,0.8093681916124865,0.08943177125994417,0.07655685868475835,1.1189219498031187,0.043449020054950216,0.6761079354629569,3.053211643784112,0.9904722905127472,0.8820972269116744,-0.03507875154637985,82
alpha_med_none,0.8890617904952838,0.6527002168020714,0.09410522583558811,0.10153934764011602,0.760895400585943,0.04052814523160886,0.015647109846692965,4.840009295986369,0.7673286328001379,0.8630768311082967,-0.06531447204106389,82
alpha_med_size,0.9211280468937143,0.6811461854792803,0.09611047368159764,0.10000755831522395,0.7574314874813455,0.04020300065211657,0.09096811993607463,4.064903602028375,0.8211284762633575,0.8914379266079437,-0.06158850161734175,82
alpha_med_ind,1.356918027363387,1.0318438344373517,0.1049106256668233,0.07382929965609657,1.14632626891857,0.04475400376389982,1.3329847505040828,5.3178545037721054,1.2543814963691462,0.9244342481074715,-0.01842426184796042,82
alpha_med_indxsize,1.1332157713988495,0.8184332900940829,0.08990480445850868,0.07624312477784818,1.1018921941155235,0.042017926899194036,0.35689916531729776,3.110941886588099,0.9929525544571473,0.8762254987251366,-0.0327435047313448,82
