alpha,ls_sharpe_gross,ls_sharpe_net_10bps,worst_year_sharpe,best_year_sharpe,no_best_year_sharpe,pct_kept_no_best,max_dd_ls,n_rebalances
alpha_v1,1.97739846920356,1.3787803493247832,1.2381022485508215,5.079574257402231,1.674877881604109,0.8470108112699725,-0.020442881323082585,64
alpha_v2,1.9884437061123166,1.3990814301184689,1.1874704049009903,5.135135961365703,1.686546059082468,0.8481739029866224,-0.019695539376158977,64
alpha_v3,1.86923806495058,1.2946399554442893,1.178652294970894,5.654195498147656,1.5320651568786685,0.8196201359291141,-0.023762636828569716,64
alpha_v4,2.015705861236016,1.3678797508713427,1.6094343034034058,4.307496219590744,1.8013130307908942,0.893638831652919,-0.024945541674982863,64
alpha_v5,2.2666388118521663,1.5692151505711007,1.551467545051632,4.926268853295524,1.982443561434511,0.8746182016598281,-0.015545186970811309,64
alpha_v6,1.8891592794545784,1.3263560632901388,1.1148465672524661,4.400192231859965,1.6280708976825364,0.861796522605854,-0.035109731556288604,64
alpha_v7,1.8191298349088336,1.0971835697890904,1.0826343169599677,3.502172377940488,1.6173966998764149,0.8891045976151951,-0.021476142925110686,64
alpha_v8,1.9525458192280944,1.331056874127666,0.9213104181877998,4.9203800731093645,1.643133300028938,0.8415337985146606,-0.02479207309595477,64
