alpha,ls_sharpe_gross,ls_sharpe_net_10bps,q5_excess_monthly,q5_excess_annualized,max_dd_ls,n_rebalances
alpha_01,1.1802953171135522,0.8435724409593,0.0030667779069779733,0.037428462805178864,-0.052792402642058534,64
alpha_02,-0.383330338807918,-0.46570412415564566,-0.009477424489296263,-0.10798421718400164,-0.6018713561631934,45
alpha_03,1.97739846920356,1.3787803493247832,0.0031063308522472997,0.03791946403185564,-0.020442881323082585,64
alpha_04,0.5007088800183971,0.21098749030958572,0.0022531655310378193,0.027375581529716086,-0.12025806620558199,64
alpha_05,0.6585801944108788,0.22198152310429367,0.001683187709429457,0.020386291582458194,-0.05475425650599919,64
alpha_06,0.9784090728412005,0.6106619635046423,0.002736489748175754,0.03333664589310503,-0.05320178586170332,64
alpha_07,0.7920251960861153,0.4593220271059018,0.001800979048149784,0.02182711162029971,-0.06705962082923433,60
alpha_08,1.500219775582405,0.9282034405631719,0.0026079164637217347,0.031747803771906336,-0.03347309989829983,64
