trade_date,gate,abs_ret,exc_ret,uni,tov,cost,abs_net,exc_net
2018-01-30,0,-0.030061777433051818,0.0,-0.030061777433051818,0.0,0.0,-0.030061777433051818,0.0
2018-03-06,0,0.02070442386208796,0.0,0.02070442386208796,0.0,0.0,0.02070442386208796,0.0
2018-04-03,0,-0.0032447771009097284,0.0,-0.0032447771009097284,0.0,0.0,-0.0032447771009097284,0.0
2018-05-07,0,-0.03725636455404757,0.0,-0.03725636455404757,0.0,0.0,-0.03725636455404757,0.0
2018-06-04,0,-0.1290657211499642,0.0,-0.1290657211499642,0.0,0.0,-0.1290657211499642,0.0
2018-07-03,0,0.0013795581377648628,0.0,0.0013795581377648628,0.0,0.0,0.0013795581377648628,0.0
2018-07-31,0,-0.0404248037752183,0.0,-0.0404248037752183,0.0,0.0,-0.0404248037752183,0.0
2018-08-28,0,-0.04156853619285461,0.0,-0.04156853619285461,0.0,0.0,-0.04156853619285461,0.0
2018-09-26,1,-0.07565740303917207,0.0019382384018497567,-0.07759564144102182,1.0,0.0005,-0.07615740303917207,0.0014382384018497567
2018-10-31,1,0.06855637050815913,0.02479981413134752,0.04375655637681161,0.7657142857142857,0.00038285714285714285,0.06817351336530199,0.024416956988490376
2018-11-28,1,-0.021611054674849958,0.012888438381198436,-0.034499493056048394,0.7949438202247191,0.00039747191011235954,-0.02200852658496232,0.012490966471086076
2018-12-26,1,0.0404206724071166,0.007111495024760793,0.03330917738235581,0.7503506311360448,0.0003751753155680224,0.04004549709154858,0.006736319709192771
2019-01-25,1,0.19138648715117687,0.00395374512157004,0.18743274202960683,0.765034965034965,0.0003825174825174825,0.1910039696686594,0.003571227639052558
2019-03-01,1,0.12912569254461875,0.012298888515831302,0.11682680402878745,0.725,0.0003625,0.12876319254461877,0.011936388515831302
2019-03-29,1,-0.06258508920761065,0.010782707838054156,-0.0733677970456648,0.7364016736401673,0.00036820083682008366,-0.06295329004443073,0.010414507001234072
2019-04-29,0,-0.04743859450651187,0.0,-0.04743859450651187,1.0,0.0005,-0.04793859450651187,-0.0005
2019-05-30,1,0.041467384830402125,0.0073078194170613925,0.03415956541334073,1.0,0.0005,0.040967384830402125,0.006807819417061392
2019-06-28,1,-0.0391208894370253,0.0042598533077991135,-0.04338074274482441,0.7524071526822559,0.00037620357634112796,-0.03949709301336642,0.0038836497314579856
2019-07-26,1,-0.019645559404581642,-0.004664731435003889,-0.014980827969577754,0.7087912087912087,0.0003543956043956044,-0.019999955008977246,-0.005019127039399493
2019-08-23,1,0.07147364540968569,0.002061632514457845,0.06941201289522785,0.7374149659863946,0.00036870748299319727,0.0711049379266925,0.0016929250314646478
2019-09-23,1,-0.02393105267126046,0.0035488395263715694,-0.02747989219763203,0.7059620596205962,0.0003529810298102981,-0.02428403370107076,0.0031958584965612715
2019-10-28,1,-0.04742047365027557,-0.007711423158725812,-0.039709050491549755,0.7244623655913979,0.00036223118279569896,-0.04778270483307127,-0.008073654341521512
