rebal_date,phase,top_n
2022-08-24,1,515220.SS;512660.SS;510880.SS
2022-09-23,1,515220.SS;510880.SS;512660.SS
2022-10-31,1,512660.SS;518880.SS;159980.SZ
2022-11-29,1,518880.SS;510880.SS;159980.SZ
2022-12-28,1,159980.SZ;518880.SS;512690.SS
2023-02-03,1,159980.SZ;518880.SS;512980.SS
2023-03-06,1,515880.SS;510880.SS;510500.SS
2023-04-04,1,515880.SS;512980.SS;510500.SS
2023-05-09,1,510880.SS;518880.SS;512980.SS
2023-06-07,1,518880.SS;515880.SS;512980.SS
2023-07-10,1,518880.SS;515880.SS;159980.SZ
2023-08-08,1,512880.SS;518880.SS;510180.SS
2023-09-06,1,518880.SS;159980.SZ;510880.SS
2023-10-13,1,510880.SS;518880.SS;515220.SS
2023-11-13,1,518880.SS;515220.SS;512290.SS
2023-12-12,1,515220.SS;518880.SS;512980.SS
2024-01-11,1,518880.SS;515220.SS;510880.SS
2024-02-19,1,515220.SS;510880.SS;518880.SS
2024-03-19,1,515880.SS;518880.SS;159980.SZ
2024-04-19,1,510880.SS;159980.SZ;518880.SS
2024-05-23,1,510880.SS;159980.SZ;510050.SS
2024-06-24,1,518880.SS;515880.SS;510880.SS
2024-07-23,1,518880.SS;512480.SS;510050.SS
2024-08-21,1,518880.SS;159980.SZ;510050.SS
2024-09-23,1,518880.SS;159980.SZ;512880.SS
2024-10-29,1,518880.SS;515880.SS;512760.SS
2024-11-27,1,512980.SS;512480.SS;518880.SS
2024-12-26,1,512480.SS;515880.SS;512760.SS
2025-01-27,1,518880.SS;510880.SS;515880.SS
2025-03-05,1,518880.SS;512480.SS;515210.SS
2025-04-03,1,518880.SS;515210.SS;510880.SS
2025-05-08,1,518880.SS;515210.SS;512480.SS
2025-06-09,1,510880.SS;510050.SS;510180.SS
2025-07-08,1,515880.SS;515210.SS;510050.SS
2025-08-06,1,512660.SS;515880.SS;512980.SS
2025-09-04,1,518880.SS;510300.SS;159949.SZ
2025-10-13,1,515210.SS;518880.SS;510500.SS
2025-11-11,1,515210.SS;510880.SS;510050.SS
2025-12-10,1,515880.SS;159915.SZ;159949.SZ
2026-01-12,1,159915.SZ;159949.SZ;159980.SZ
2026-02-10,1,159949.SZ;159915.SZ;510300.SS
2026-03-19,1,159949.SZ;159915.SZ;510880.SS
2026-04-20,1,159915.SZ;159949.SZ;510300.SS
2019-01-04,2,
2019-02-11,2,
2019-03-12,2,
2019-04-11,2,
2019-05-17,2,
2019-06-18,2,
2019-07-17,2,
2019-08-15,2,
2019-09-16,2,
2019-10-22,2,
2019-11-20,2,512010.SS;159949.SZ;159915.SZ
2019-12-19,2,159949.SZ;159915.SZ;510300.SS
2020-01-20,2,159915.SZ;159949.SZ;510300.SS
2020-02-26,2,512660.SS;518880.SS;510500.SS
2020-03-26,2,512290.SS;518880.SS;512010.SS
2020-04-27,2,512010.SS;518880.SS;512290.SS
2020-05-29,2,512290.SS;518880.SS;512010.SS
2020-07-01,2,510300.SS;510500.SS;518880.SS
2020-07-30,2,512010.SS;512290.SS;518880.SS
2020-08-28,2,510300.SS;512690.SS;510180.SS
2020-09-28,2,510050.SS;512690.SS;510180.SS
2020-11-04,2,512690.SS;510300.SS;159949.SZ
2020-12-03,2,510300.SS;510180.SS;510050.SS
2021-01-04,2,159915.SZ;159949.SZ;510180.SS
2021-02-02,2,512010.SS;159949.SZ;510300.SS
2021-03-10,2,515220.SS;159980.SZ;515210.SS
2021-04-09,2,515210.SS;515220.SS;510880.SS
2021-05-13,2,159980.SZ;510880.SS;515220.SS
2021-06-11,2,510880.SS;510500.SS;159949.SZ
2021-07-13,2,510500.SS;159915.SZ;159949.SZ
2021-08-11,2,510500.SS;515220.SS;515210.SS
2021-09-09,2,510500.SS;510880.SS;515210.SS
2021-10-19,2,159980.SZ;515220.SS;159949.SZ
2021-11-17,2,512660.SS;159949.SZ;159915.SZ
2021-12-16,2,159949.SZ;159915.SZ;512660.SS
2022-01-17,2,159980.SZ;510500.SS;515880.SS
2022-02-22,2,159980.SZ;515220.SS;510880.SS
2022-03-23,2,159980.SZ;515220.SS;510880.SS
2022-04-25,2,159980.SZ;518880.SS;515220.SS
2022-05-27,2,515220.SS;510880.SS;518880.SS
2022-06-28,2,515220.SS;510500.SS;510180.SS
2022-07-27,2,512660.SS;510500.SS;515220.SS
2022-08-25,2,515220.SS;510880.SS;512660.SS
2022-09-26,2,515220.SS;510880.SS;512660.SS
2022-11-01,2,512660.SS;518880.SS;159980.SZ
2022-11-30,2,518880.SS;510880.SS;159980.SZ
2022-12-29,2,159980.SZ;518880.SS;510050.SS
2023-02-06,2,159980.SZ;512980.SS;512690.SS
2023-03-07,2,510880.SS;518880.SS;512980.SS
2023-04-06,2,515880.SS;518880.SS;512760.SS
2023-05-10,2,518880.SS;512980.SS;510880.SS
2023-06-08,2,518880.SS;515880.SS;512980.SS
2023-07-11,2,518880.SS;515880.SS;159980.SZ
2023-08-09,2,512880.SS;518880.SS;510180.SS
2023-09-07,2,518880.SS;159980.SZ;510880.SS
2023-10-16,2,510880.SS;518880.SS;515220.SS
2023-11-14,2,518880.SS;515220.SS;512290.SS
2023-12-13,2,515220.SS;512980.SS;518880.SS
2024-01-12,2,518880.SS;515220.SS;510880.SS
2024-02-20,2,510880.SS;515220.SS;518880.SS
2024-03-20,2,518880.SS;515880.SS;510500.SS
2024-04-22,2,159980.SZ;518880.SS;510180.SS
2024-05-24,2,159980.SZ;510880.SS;518880.SS
2024-06-25,2,518880.SS;510880.SS;159980.SZ
2024-07-24,2,518880.SS;510050.SS;512480.SS
2024-08-22,2,518880.SS;159980.SZ;510050.SS
2024-09-24,2,518880.SS;510050.SS;512880.SS
2024-10-30,2,518880.SS;515880.SS;512660.SS
2024-11-28,2,512980.SS;512480.SS;512760.SS
2024-12-27,2,512480.SS;510880.SS;515880.SS
2025-02-05,2,518880.SS;512480.SS;512760.SS
2025-03-06,2,512480.SS;512760.SS;518880.SS
2025-04-07,2,518880.SS;512480.SS;512760.SS
2025-05-09,2,518880.SS;515210.SS;510050.SS
2025-06-10,2,510880.SS;518880.SS;510180.SS
2025-07-09,2,510880.SS;515880.SS;515210.SS
2025-08-07,2,515880.SS;512980.SS;510500.SS
2025-09-05,2,159915.SZ;159949.SZ;512290.SS
2025-10-14,2,518880.SS;515210.SS;510050.SS
2025-11-12,2,510880.SS;515210.SS;510050.SS
2025-12-11,2,515880.SS;159980.SZ;159949.SZ
2026-01-13,2,512980.SS;518880.SS;510180.SS
2026-02-11,2,510880.SS;510180.SS;510300.SS
2026-03-20,2,159949.SZ;159915.SZ;510880.SS
2026-04-21,2,159915.SZ;159949.SZ;510300.SS
2019-01-07,3,
2019-02-12,3,
2019-03-13,3,
2019-04-12,3,
2019-05-20,3,
2019-06-19,3,
2019-07-18,3,
