month,excess,portfolio,bench
2020-01,0.005122286525510443,0.046880716546204626,0.04175843002069418
2020-02,0.031125867754970407,0.06601126452306763,0.03488539676809723
2020-03,0.04093603957758248,-0.039385499072547896,-0.08032153865013036
2020-04,0.0003277119051268672,0.07501323809595227,0.0746855261908254
2020-05,0.03587912505540673,0.04716134447783566,0.011282219422428932
2020-06,0.0351581481978388,0.14277597922783808,0.10761783102999928
2020-07,0.0023737975992041034,0.14091795862168502,0.13854416102248093
2020-08,-0.015213148017223779,-0.011008242963914982,0.0042049050533087984
2020-09,0.005759907372394233,-0.07043799169064892,-0.07619789906304314
2020-10,0.01919062095825408,0.033915551459908815,0.014724930501654729
2020-11,0.011884651782204601,0.03699385465448249,0.025109202872277882
2020-12,0.03301329238255117,0.0808201876867809,0.04780689530422974
2021-01,0.0383813229847372,0.04184871885280014,0.0034673958680629547
2021-02,-0.002110078488190052,-0.03866343161670164,-0.036553353128511594
2021-03,0.01907036538657026,-0.03570528955826892,-0.05477565494483918
2021-04,0.01686637932095277,0.06849841835760545,0.05163203903665268
2021-05,0.017261525753823222,0.061797776297689636,0.04453625054386641
2021-06,0.016447182661942776,0.030852713860724336,0.014405531198781567
2021-07,0.018350319088356153,0.017121272523909797,-0.0012290465644463461
2021-08,0.08722116836959279,0.08454563567499705,-0.0026755326945957355
2021-09,-0.012964021615184017,-0.01851877164718163,-0.005554750031997615
2021-10,-0.0035902315334742194,0.0010974256809480557,0.00468765721442228
2021-11,0.0019495264974871815,0.030029962136557706,0.028080435639070523
2021-12,-0.010840304828931124,-0.023451992503922832,-0.012611687674991708
2022-01,-0.02898707558766575,-0.14002092367087454,-0.11103384808320879
2022-02,0.006135183703929538,0.03527967500289434,0.029144491298964802
2022-03,0.07546345079726963,0.009591902439829958,-0.06587154835743966
2022-04,0.03245102381402029,-0.06290338586725097,-0.09535440968127126
2022-05,-0.013045061221008587,0.03386825090033068,0.04691331212133926
2022-06,0.00783027997292611,0.09896565180085401,0.09113537182792791
2022-07,0.018984688937583677,-0.028426453802030887,-0.04741114273961457
2022-08,-0.020632122580134,-0.0450186169919278,-0.0243864944117938
2022-09,0.2559831590407526,0.2284052892925827,-0.02757786974816989
2022-10,-0.002456012023844321,-0.00391539218468661,-0.0014593801608422893
2022-11,-0.0026883426020817953,0.05053774827278342,0.05322609087486521
2022-12,0.019025772821861773,0.0039004217328398208,-0.015125351089021952
2023-01,-0.03250025457050861,0.03995621558138701,0.07245647015189563
2023-02,0.006160245248443415,-0.0022934872896704876,-0.00845373253811391
2023-03,0.11058014752281933,0.14049018832417115,0.029910040801351814
2023-04,0.04074198181168105,0.041175061542998215,0.0004330797313171486
2023-05,0.00502533620263742,-0.027770332950762214,-0.03279566915339963
2023-06,0.01289605333316287,0.021331492919831545,0.008435439586668682
2023-07,-0.03131600069589679,-0.025325794013959887,0.0059902066819369024
2023-08,0.011263024110257773,-0.037444639507067584,-0.048707663617325356
2023-09,0.0051830371066772145,-0.013933190603570678,-0.01911622771024789
2023-10,0.0035358961558847354,-0.017022965592595835,-0.020558861748480567
2023-11,0.01602711440794434,0.011069880879939825,-0.004957233528004509
2023-12,-0.01612942598152737,-0.03508011824056458,-0.018950692259037217
2024-01,0.10083868830337815,-0.04113409246727727,-0.14197278077065542
2024-02,-0.04663788074700578,0.08118870487092031,0.12782658561792612
2024-03,0.0038457399157422432,-0.0016177146149351802,-0.00546345453067742
2024-04,0.014878999358019247,0.01624697115111156,0.001367971793092314
2024-05,0.02060487285564864,-0.0003707415582755564,-0.020975614413924194
2024-06,0.014087421750974837,-0.03118406193050495,-0.0452714836814798
2024-07,-0.00958325621629379,-0.0026670844620982903,0.0069161717541954965
2024-08,0.004335684661718485,-0.0423596610934558,-0.04669534575517428
2024-09,-0.06682612137542696,0.1566579459168172,0.22348406729224413
2024-10,-0.0030051285575098535,0.023657991330862292,0.026663119888372153
2024-11,-0.012705564269127419,0.004942362870422051,0.01764792713954947
2024-12,0.0012948457133605698,-0.01951250108476961,-0.020807346798130177
2025-01,0.018906055182155043,-0.007177084457673372,-0.026083139639828418
2025-02,-0.049653105695372984,0.00877653386010005,0.058429639555473034
2025-03,0.0101488321509462,-0.0005528001940179024,-0.010701632344964102
2025-04,0.0465453907718342,0.01587038885208303,-0.03067500191975117
2025-05,-0.0107984484662738,0.003023844843817366,0.013822293310091167
2025-06,-0.015499568916424355,0.03275918917908558,0.04825875809550993
2025-07,0.03017346200022287,0.09364534223788817,0.0634718802376653
2025-08,0.06742944959525494,0.20493769121674152,0.13750824162148656
2025-09,0.03507592293549731,0.09584509646529497,0.060769173529797674
2025-10,-0.021391006545107585,-0.031918378122109105,-0.010527371577001517
2025-11,-0.015537831784987414,-0.045509883297321,-0.029972051512333592
2025-12,0.027179993368048473,0.05286525948613589,0.02568526611808742
2026-01,0.014024611343047246,0.07668545863131132,0.06266084728826407
2026-02,-0.00805501395449489,-0.021334997461120178,-0.01327998350662528
2026-03,0.023030661802417193,-0.0745139696617225,-0.09754463146413968
2026-04,0.0682358129274047,0.16417656391067326,0.09594075098326854
