expression,sharpe_gross,sharpe_net,sharpe_excess_vs_EW,sharpe_best_year_out,best_year,worst_year,worst_year_sharpe,annual_turnover,IC_mean,IC_t_stat,IC_n,ann_return_net,ann_vol_net,max_drawdown
m1_R3_lowvol_60_bot20,0.464,0.458,-0.405,0.309,2025,2022,-1.17,1.477,0.0353,0.85,83,0.067,0.1462,-0.2774
m2_R3_lowvol_120_bot20,0.314,0.311,-0.605,0.14,2024,2022,-1.334,0.911,0.0349,0.826,80,0.0452,0.1453,-0.2885
m3_R3_lowvol_60_bot10,0.559,0.549,-0.23,0.411,2025,2022,-1.504,2.94,0.0353,0.85,83,0.0793,0.1444,-0.2928
m4_R3_lowvol_60_x_uptrend_bot20,0.402,0.39,-0.432,0.201,2025,2022,-3.037,2.989,0.0634,1.345,80,0.05,0.1281,-0.2912
m5_R3_lowvol_60_bot20_ma200_gate,0.26,0.252,-0.548,0.006,2025,2023,-0.813,1.746,0.0353,0.85,83,0.0273,0.1084,-0.1919
m6_R3_high_vol_60_top20,0.368,0.364,-0.178,0.319,2026,2022,-0.955,2.022,-0.0353,-0.85,83,0.0874,0.2404,-0.4007
m7_R3_lowbeta_60_bot20,0.638,0.631,-0.148,0.482,2024,2022,-0.955,2.008,0.0546,1.282,83,0.0894,0.1418,-0.1949
m8_R3_ew_baseline_all,0.571,0.571,-0.132,0.385,2019,2022,-1.176,0.186,,,0,0.107,0.1875,-0.3301
