expression,cost_bps,sharpe,ann_return
m1_R2_riskadj_mom_120_top20,0,0.319,0.0613
m1_R2_riskadj_mom_120_top20,5,0.311,0.0596
m1_R2_riskadj_mom_120_top20,10,0.302,0.0578
m1_R2_riskadj_mom_120_top20,20,0.284,0.0544
m2_R2_riskadj_mom_180_top20,0,0.382,0.0706
m2_R2_riskadj_mom_180_top20,5,0.374,0.0693
m2_R2_riskadj_mom_180_top20,10,0.367,0.0679
m2_R2_riskadj_mom_180_top20,20,0.352,0.0652
m3_R2_riskadj_mom_252_top20,0,0.324,0.0594
m3_R2_riskadj_mom_252_top20,5,0.318,0.0583
m3_R2_riskadj_mom_252_top20,10,0.312,0.0572
m3_R2_riskadj_mom_252_top20,20,0.299,0.0549
m4_R2_plain_mom_120_top20,0,0.284,0.059
m4_R2_plain_mom_120_top20,5,0.276,0.0574
m4_R2_plain_mom_120_top20,10,0.268,0.0558
m4_R2_plain_mom_120_top20,20,0.253,0.0526
m5_R2_plain_mom_252_top20,0,0.384,0.0759
m5_R2_plain_mom_252_top20,5,0.378,0.0748
m5_R2_plain_mom_252_top20,10,0.373,0.0737
m5_R2_plain_mom_252_top20,20,0.362,0.0716
m6_R2_plain_mom_252_skip20_top20,0,0.348,0.065
m6_R2_plain_mom_252_skip20_top20,5,0.342,0.064
m6_R2_plain_mom_252_skip20_top20,10,0.336,0.0629
m6_R2_plain_mom_252_skip20_top20,20,0.325,0.0608
m7_R2_riskadj_mom_252_top20_ma200,0,0.297,0.0461
m7_R2_riskadj_mom_252_top20_ma200,5,0.29,0.045
m7_R2_riskadj_mom_252_top20_ma200,10,0.283,0.0439
m7_R2_riskadj_mom_252_top20_ma200,20,0.268,0.0416
m8_R2_ew_baseline_all,0,0.571,0.1071
m8_R2_ew_baseline_all,5,0.571,0.107
m8_R2_ew_baseline_all,10,0.57,0.1069
m8_R2_ew_baseline_all,20,0.569,0.1067
