expression,cost_bps,sharpe,ann_return
m1_R4_inv_vol_weighted_full,0,0.419,0.0711
m1_R4_inv_vol_weighted_full,5,0.417,0.0708
m1_R4_inv_vol_weighted_full,10,0.415,0.0705
m1_R4_inv_vol_weighted_full,20,0.412,0.0698
m2_R4_inv_beta_weighted_full,0,0.527,0.0871
m2_R4_inv_beta_weighted_full,5,0.516,0.0854
m2_R4_inv_beta_weighted_full,10,0.506,0.0837
m2_R4_inv_beta_weighted_full,20,0.485,0.0802
m3_R4_lowvol_top50pct_ew,0,0.413,0.0646
m3_R4_lowvol_top50pct_ew,5,0.409,0.064
m3_R4_lowvol_top50pct_ew,10,0.405,0.0633
m3_R4_lowvol_top50pct_ew,20,0.397,0.062
m4_R4_lowbeta_top50pct_ew,0,0.477,0.0716
m4_R4_lowbeta_top50pct_ew,5,0.471,0.0707
m4_R4_lowbeta_top50pct_ew,10,0.465,0.0698
m4_R4_lowbeta_top50pct_ew,20,0.452,0.0679
m5_R4_cap_blend_ew_invvol,0,0.407,0.0713
m5_R4_cap_blend_ew_invvol,5,0.406,0.0711
m5_R4_cap_blend_ew_invvol,10,0.405,0.0709
m5_R4_cap_blend_ew_invvol,20,0.402,0.0704
m6_R4_lowbeta_bot30_ew,0,0.543,0.0803
m6_R4_lowbeta_bot30_ew,5,0.536,0.0794
m6_R4_lowbeta_bot30_ew,10,0.53,0.0785
m6_R4_lowbeta_bot30_ew,20,0.517,0.0766
m7_R4_lowvol_lowbeta_combo_bot30,0,0.481,0.0717
m7_R4_lowvol_lowbeta_combo_bot30,5,0.476,0.0709
m7_R4_lowvol_lowbeta_combo_bot30,10,0.47,0.0701
m7_R4_lowvol_lowbeta_combo_bot30,20,0.459,0.0684
m8_R4_ew_baseline_all,0,0.571,0.1071
m8_R4_ew_baseline_all,5,0.571,0.107
m8_R4_ew_baseline_all,10,0.57,0.1069
m8_R4_ew_baseline_all,20,0.569,0.1067
