expression,year,sharpe_net
m1_R3_lowvol_60_bot20,2019,0.418
m1_R3_lowvol_60_bot20,2020,0.611
m1_R3_lowvol_60_bot20,2021,0.751
m1_R3_lowvol_60_bot20,2022,-1.17
m1_R3_lowvol_60_bot20,2023,-0.075
m1_R3_lowvol_60_bot20,2024,1.352
m1_R3_lowvol_60_bot20,2025,1.709
m1_R3_lowvol_60_bot20,2026,0.46
m2_R3_lowvol_120_bot20,2019,0.82
m2_R3_lowvol_120_bot20,2020,0.548
m2_R3_lowvol_120_bot20,2021,0.526
m2_R3_lowvol_120_bot20,2022,-1.334
m2_R3_lowvol_120_bot20,2023,-0.183
m2_R3_lowvol_120_bot20,2024,1.172
m2_R3_lowvol_120_bot20,2025,1.043
m2_R3_lowvol_120_bot20,2026,0.055
m3_R3_lowvol_60_bot10,2019,0.416
m3_R3_lowvol_60_bot10,2020,0.512
m3_R3_lowvol_60_bot10,2021,1.662
m3_R3_lowvol_60_bot10,2022,-1.504
m3_R3_lowvol_60_bot10,2023,0.344
m3_R3_lowvol_60_bot10,2024,1.42
m3_R3_lowvol_60_bot10,2025,1.715
m3_R3_lowvol_60_bot10,2026,0.618
m4_R3_lowvol_60_x_uptrend_bot20,2019,0.438
m4_R3_lowvol_60_x_uptrend_bot20,2020,1.53
m4_R3_lowvol_60_x_uptrend_bot20,2021,0.324
m4_R3_lowvol_60_x_uptrend_bot20,2022,-3.037
m4_R3_lowvol_60_x_uptrend_bot20,2023,-0.123
m4_R3_lowvol_60_x_uptrend_bot20,2024,-0.485
m4_R3_lowvol_60_x_uptrend_bot20,2025,1.746
m4_R3_lowvol_60_x_uptrend_bot20,2026,0.687
m5_R3_lowvol_60_bot20_ma200_gate,2019,1.074
m5_R3_lowvol_60_bot20_ma200_gate,2020,0.055
m5_R3_lowvol_60_bot20_ma200_gate,2021,0.26
m5_R3_lowvol_60_bot20_ma200_gate,2022,0.0
m5_R3_lowvol_60_bot20_ma200_gate,2023,-0.813
m5_R3_lowvol_60_bot20_ma200_gate,2024,-0.333
m5_R3_lowvol_60_bot20_ma200_gate,2025,1.709
m5_R3_lowvol_60_bot20_ma200_gate,2026,0.46
m6_R3_high_vol_60_top20,2019,0.322
m6_R3_high_vol_60_top20,2020,1.06
m6_R3_high_vol_60_top20,2021,0.689
m6_R3_high_vol_60_top20,2022,-0.955
m6_R3_high_vol_60_top20,2023,-0.474
m6_R3_high_vol_60_top20,2024,0.224
m6_R3_high_vol_60_top20,2025,0.91
m6_R3_high_vol_60_top20,2026,1.331
m7_R3_lowbeta_60_bot20,2019,0.385
m7_R3_lowbeta_60_bot20,2020,0.862
m7_R3_lowbeta_60_bot20,2021,0.962
m7_R3_lowbeta_60_bot20,2022,-0.955
m7_R3_lowbeta_60_bot20,2023,0.842
m7_R3_lowbeta_60_bot20,2024,1.591
m7_R3_lowbeta_60_bot20,2025,1.031
m7_R3_lowbeta_60_bot20,2026,0.851
m8_R3_ew_baseline_all,2019,1.793
m8_R3_ew_baseline_all,2020,1.075
m8_R3_ew_baseline_all,2021,0.304
m8_R3_ew_baseline_all,2022,-1.176
m8_R3_ew_baseline_all,2023,-0.346
m8_R3_ew_baseline_all,2024,0.659
m8_R3_ew_baseline_all,2025,1.302
m8_R3_ew_baseline_all,2026,0.872
