expression,cost_bps,sharpe,ann_return
m1_R5_lowbeta_bot20_ma200_gate,0,0.429,0.0474
m1_R5_lowbeta_bot20_ma200_gate,5,0.42,0.0463
m1_R5_lowbeta_bot20_ma200_gate,10,0.411,0.0453
m1_R5_lowbeta_bot20_ma200_gate,20,0.393,0.0433
m2_R5_lowbeta_bot20_ma100_gate,0,0.39,0.0383
m2_R5_lowbeta_bot20_ma100_gate,5,0.378,0.0371
m2_R5_lowbeta_bot20_ma100_gate,10,0.366,0.0359
m2_R5_lowbeta_bot20_ma100_gate,20,0.342,0.0335
m3_R5_lowbeta_bot20_pos_mom,0,0.062,0.0078
m3_R5_lowbeta_bot20_pos_mom,5,0.047,0.0059
m3_R5_lowbeta_bot20_pos_mom,10,0.031,0.004
m3_R5_lowbeta_bot20_pos_mom,20,0.001,0.0001
m4_R5_lowbeta_bot30_ma200_gate,0,0.45,0.0509
m4_R5_lowbeta_bot30_ma200_gate,5,0.442,0.05
m4_R5_lowbeta_bot30_ma200_gate,10,0.434,0.049
m4_R5_lowbeta_bot30_ma200_gate,20,0.417,0.0471
m5_R5_inv_vol_within_lowbeta_bot30,0,0.532,0.077
m5_R5_inv_vol_within_lowbeta_bot30,5,0.524,0.0759
m5_R5_inv_vol_within_lowbeta_bot30,10,0.517,0.0749
m5_R5_inv_vol_within_lowbeta_bot30,20,0.503,0.0728
m6_R5_ew_with_cash_below_ma200,0,0.443,0.0673
m6_R5_ew_with_cash_below_ma200,5,0.441,0.067
m6_R5_ew_with_cash_below_ma200,10,0.439,0.0667
m6_R5_ew_with_cash_below_ma200,20,0.435,0.0661
m7_R5_lowbeta_bot15_ma200_gate,0,0.455,0.051
m7_R5_lowbeta_bot15_ma200_gate,5,0.445,0.0499
m7_R5_lowbeta_bot15_ma200_gate,10,0.436,0.0489
m7_R5_lowbeta_bot15_ma200_gate,20,0.418,0.0469
m8_R5_ew_baseline,0,0.571,0.1071
m8_R5_ew_baseline,5,0.571,0.107
m8_R5_ew_baseline,10,0.57,0.1069
m8_R5_ew_baseline,20,0.569,0.1067
