expression,year,sharpe_net
m1_R4_inv_vol_weighted_full,2019,0.457
m1_R4_inv_vol_weighted_full,2020,1.073
m1_R4_inv_vol_weighted_full,2021,0.313
m1_R4_inv_vol_weighted_full,2022,-1.203
m1_R4_inv_vol_weighted_full,2023,-0.253
m1_R4_inv_vol_weighted_full,2024,0.859
m1_R4_inv_vol_weighted_full,2025,1.401
m1_R4_inv_vol_weighted_full,2026,0.773
m1_R4_inv_vol_weighted_full_EXCESS,2019,-2.149
m1_R4_inv_vol_weighted_full_EXCESS,2020,-0.503
m1_R4_inv_vol_weighted_full_EXCESS,2021,-0.193
m1_R4_inv_vol_weighted_full_EXCESS,2022,-0.167
m1_R4_inv_vol_weighted_full_EXCESS,2023,1.031
m1_R4_inv_vol_weighted_full_EXCESS,2024,1.088
m1_R4_inv_vol_weighted_full_EXCESS,2025,-0.388
m1_R4_inv_vol_weighted_full_EXCESS,2026,-0.91
m2_R4_inv_beta_weighted_full,2019,0.253
m2_R4_inv_beta_weighted_full,2020,1.142
m2_R4_inv_beta_weighted_full,2021,0.778
m2_R4_inv_beta_weighted_full,2022,-1.02
m2_R4_inv_beta_weighted_full,2023,-0.142
m2_R4_inv_beta_weighted_full,2024,1.537
m2_R4_inv_beta_weighted_full,2025,1.43
m2_R4_inv_beta_weighted_full,2026,0.872
m2_R4_inv_beta_weighted_full_EXCESS,2019,-2.277
m2_R4_inv_beta_weighted_full_EXCESS,2020,-0.127
m2_R4_inv_beta_weighted_full_EXCESS,2021,0.585
m2_R4_inv_beta_weighted_full_EXCESS,2022,-0.081
m2_R4_inv_beta_weighted_full_EXCESS,2023,0.376
m2_R4_inv_beta_weighted_full_EXCESS,2024,0.491
m2_R4_inv_beta_weighted_full_EXCESS,2025,-0.059
m2_R4_inv_beta_weighted_full_EXCESS,2026,-0.437
m3_R4_lowvol_top50pct_ew,2019,0.459
m3_R4_lowvol_top50pct_ew,2020,1.021
m3_R4_lowvol_top50pct_ew,2021,0.271
m3_R4_lowvol_top50pct_ew,2022,-1.187
m3_R4_lowvol_top50pct_ew,2023,-0.298
m3_R4_lowvol_top50pct_ew,2024,1.185
m3_R4_lowvol_top50pct_ew,2025,1.335
m3_R4_lowvol_top50pct_ew,2026,0.318
m3_R4_lowvol_top50pct_ew_EXCESS,2019,-2.059
m3_R4_lowvol_top50pct_ew_EXCESS,2020,-0.582
m3_R4_lowvol_top50pct_ew_EXCESS,2021,-0.232
m3_R4_lowvol_top50pct_ew_EXCESS,2022,0.161
m3_R4_lowvol_top50pct_ew_EXCESS,2023,0.31
m3_R4_lowvol_top50pct_ew_EXCESS,2024,1.004
m3_R4_lowvol_top50pct_ew_EXCESS,2025,-0.743
m3_R4_lowvol_top50pct_ew_EXCESS,2026,-1.406
m4_R4_lowbeta_top50pct_ew,2019,0.397
m4_R4_lowbeta_top50pct_ew,2020,1.161
m4_R4_lowbeta_top50pct_ew,2021,0.438
m4_R4_lowbeta_top50pct_ew,2022,-1.187
m4_R4_lowbeta_top50pct_ew,2023,0.29
m4_R4_lowbeta_top50pct_ew,2024,0.906
m4_R4_lowbeta_top50pct_ew,2025,1.42
m4_R4_lowbeta_top50pct_ew,2026,0.279
m4_R4_lowbeta_top50pct_ew_EXCESS,2019,-2.138
m4_R4_lowbeta_top50pct_ew_EXCESS,2020,-0.209
m4_R4_lowbeta_top50pct_ew_EXCESS,2021,0.086
m4_R4_lowbeta_top50pct_ew_EXCESS,2022,0.329
m4_R4_lowbeta_top50pct_ew_EXCESS,2023,1.733
m4_R4_lowbeta_top50pct_ew_EXCESS,2024,0.029
m4_R4_lowbeta_top50pct_ew_EXCESS,2025,-0.542
m4_R4_lowbeta_top50pct_ew_EXCESS,2026,-1.55
m5_R4_cap_blend_ew_invvol,2019,0.436
m5_R4_cap_blend_ew_invvol,2020,1.104
m5_R4_cap_blend_ew_invvol,2021,0.301
m5_R4_cap_blend_ew_invvol,2022,-1.186
m5_R4_cap_blend_ew_invvol,2023,-0.295
m5_R4_cap_blend_ew_invvol,2024,0.758
m5_R4_cap_blend_ew_invvol,2025,1.347
m5_R4_cap_blend_ew_invvol,2026,0.827
m5_R4_cap_blend_ew_invvol_EXCESS,2019,-2.171
m5_R4_cap_blend_ew_invvol_EXCESS,2020,-0.123
m5_R4_cap_blend_ew_invvol_EXCESS,2021,-0.324
