expression,year,sharpe_net
m1_R2_riskadj_mom_120_top20,2019,1.105
m1_R2_riskadj_mom_120_top20,2020,1.578
m1_R2_riskadj_mom_120_top20,2021,0.349
m1_R2_riskadj_mom_120_top20,2022,-2.173
m1_R2_riskadj_mom_120_top20,2023,-0.423
m1_R2_riskadj_mom_120_top20,2024,0.791
m1_R2_riskadj_mom_120_top20,2025,0.816
m1_R2_riskadj_mom_120_top20,2026,-0.032
m2_R2_riskadj_mom_180_top20,2019,1.546
m2_R2_riskadj_mom_180_top20,2020,1.357
m2_R2_riskadj_mom_180_top20,2021,0.102
m2_R2_riskadj_mom_180_top20,2022,-2.09
m2_R2_riskadj_mom_180_top20,2023,0.074
m2_R2_riskadj_mom_180_top20,2024,0.818
m2_R2_riskadj_mom_180_top20,2025,0.962
m2_R2_riskadj_mom_180_top20,2026,1.191
m3_R2_riskadj_mom_252_top20,2019,0.0
m3_R2_riskadj_mom_252_top20,2020,1.278
m3_R2_riskadj_mom_252_top20,2021,-0.134
m3_R2_riskadj_mom_252_top20,2022,-1.347
m3_R2_riskadj_mom_252_top20,2023,-0.325
m3_R2_riskadj_mom_252_top20,2024,0.816
m3_R2_riskadj_mom_252_top20,2025,1.048
m3_R2_riskadj_mom_252_top20,2026,1.096
m4_R2_plain_mom_120_top20,2019,1.016
m4_R2_plain_mom_120_top20,2020,1.531
m4_R2_plain_mom_120_top20,2021,0.514
m4_R2_plain_mom_120_top20,2022,-2.267
m4_R2_plain_mom_120_top20,2023,-0.452
m4_R2_plain_mom_120_top20,2024,0.453
m4_R2_plain_mom_120_top20,2025,0.642
m4_R2_plain_mom_120_top20,2026,0.098
m5_R2_plain_mom_252_top20,2019,0.0
m5_R2_plain_mom_252_top20,2020,1.266
m5_R2_plain_mom_252_top20,2021,0.154
m5_R2_plain_mom_252_top20,2022,-1.696
m5_R2_plain_mom_252_top20,2023,-0.23
m5_R2_plain_mom_252_top20,2024,0.803
m5_R2_plain_mom_252_top20,2025,1.267
m5_R2_plain_mom_252_top20,2026,1.034
m6_R2_plain_mom_252_skip20_top20,2019,0.0
m6_R2_plain_mom_252_skip20_top20,2020,1.539
m6_R2_plain_mom_252_skip20_top20,2021,-0.086
m6_R2_plain_mom_252_skip20_top20,2022,-1.241
m6_R2_plain_mom_252_skip20_top20,2023,-0.355
m6_R2_plain_mom_252_skip20_top20,2024,0.989
m6_R2_plain_mom_252_skip20_top20,2025,0.786
m6_R2_plain_mom_252_skip20_top20,2026,1.255
m7_R2_riskadj_mom_252_top20_ma200,2019,0.0
m7_R2_riskadj_mom_252_top20_ma200,2020,0.54
m7_R2_riskadj_mom_252_top20_ma200,2021,-0.182
m7_R2_riskadj_mom_252_top20_ma200,2022,0.0
m7_R2_riskadj_mom_252_top20_ma200,2023,-0.892
m7_R2_riskadj_mom_252_top20_ma200,2024,0.038
m7_R2_riskadj_mom_252_top20_ma200,2025,1.048
m7_R2_riskadj_mom_252_top20_ma200,2026,1.096
m8_R2_ew_baseline_all,2019,1.793
m8_R2_ew_baseline_all,2020,1.075
m8_R2_ew_baseline_all,2021,0.304
m8_R2_ew_baseline_all,2022,-1.176
m8_R2_ew_baseline_all,2023,-0.346
m8_R2_ew_baseline_all,2024,0.659
m8_R2_ew_baseline_all,2025,1.302
m8_R2_ew_baseline_all,2026,0.872
