alpha,ic_primary,icn_primary,ls_sharpe_full,ls_sharpe_train,ls_sharpe_valid,ls_sharpe_test,q5_excess_ir_full,q5_excess_ir_test,ls_maxdd_full,worst_year,best_year_out_sharpe,byo_pct_of_full,avg_tov_q5,avg_tov_q1,n_periods
alpha_01,-0.0737394427783822,-0.059460489056672915,-1.455851393204129,-1.5865261684988836,-0.6729314248157289,-1.929266693529189,-1.6611315383334189,-1.9667339433555309,-0.705827736330465,-3.031559407164824,-1.634805111573635,1.122920319480997,0.5455995713328793,0.5376395243629513,87
alpha_02,-0.0441367739747092,-0.02988809039398961,-0.983346855665677,-1.0631767023417076,-0.2811182656283417,-1.316214558589514,-1.1986349147975641,-1.2546617710332135,-0.5396877120313526,-2.5755701412591776,-1.111463250990214,1.130286068020026,0.5097571362691228,0.526240141694517,85
alpha_03,-0.03600072123555771,-0.02628997116075459,-0.8791172530031776,-0.9017882705556468,-0.10464642145209307,-1.4202436903471376,-1.2437162178295393,-1.9189264399519148,-0.456599048094086,-3.730176764920513,-1.088991127333906,1.2387325167533365,0.3003530038139639,0.31927825798075204,82
alpha_04,-0.03534498325375258,-0.024639436593918346,-0.6849904467911184,-0.5012599156649857,-0.5212786670281677,-1.3845174598573298,-0.8111153895359513,-1.32507678620924,-0.3873359290978504,-1.7831854170505337,-0.8421114660510834,1.229376949702012,0.4557948540923986,0.48118823229188895,78
alpha_05,-0.020060393400434216,-0.011137343215420994,-0.4217614618526697,-0.0678181132390955,0.4789987802338664,-1.7127494881476375,-0.6598992651020373,-2.047818759820053,-0.39440823104403444,-1.5934744258310398,-0.6748076625364484,1.5999746860991608,0.3600583760171579,0.24241833510138053,78
alpha_06,-0.03560775846033173,-0.01976607944914881,-1.0885704453234515,-1.2869731889436435,0.12172898567350932,-1.3244813102773025,-0.9068372544919706,-1.6659683556199698,-0.4248722931992467,-2.2883070056702564,-1.2892930107490361,1.1843909746841814,0.5833937333027636,0.6252119183767235,86
alpha_07,-0.05549645962504543,-0.0431126794992331,-1.2280199914801715,-1.160152205136285,-0.1995218327051403,-2.1929089981869603,-1.5210809933377722,-2.7029540712991267,-0.6421454281887276,-2.7012336683911093,-1.425687179905362,1.1609641453694381,0.34739218406836975,0.3796033916587701,84
alpha_08,-0.01682449977245071,-0.014936627288316165,-0.5875163210989184,-0.4253305681405071,-1.274308993147448,-0.7623325829092056,-0.8520845311741936,-0.5382108606121425,-0.3524008894411179,-1.485461829887361,-0.8318638566193916,1.4158991448330047,0.25237057882453173,0.2778516941097958,78
