trade_date,ew_ret,ew_cum,ew_MA200,ew_slope_21,mkt_ret_252,mkt_ret_21,mkt_TS_mom,mkt_vol_60,mkt_vol_60_med252,breadth,mkt_disp,mkt_disp_med252
2018-01-02,,,,,,,,,,0.0,,
2018-01-03,0.00837638565439887,0.00837638565439887,,,,,,,,0.0,,
2018-01-04,0.00085936737473387,0.00923575302913274,,,,,,,,0.0,,
2018-01-05,0.0008141226558402552,0.010049875684972997,,,,,,,,0.0,,
2018-01-08,0.0010370573883319155,0.011086933073304913,,,,,,,,0.0,,
2018-01-09,-7.149942526998247e-05,0.01101543364803493,,,,,,,,0.0,,
2018-01-10,-0.007763921994511563,0.003251511653523366,,,,,,,,0.0,,
2018-01-11,0.007030310482406788,0.010281822135930154,,,,,,,,0.0,,
2018-01-12,-0.004181633560831609,0.006100188575098545,,,,,,,,0.0,,
2018-01-15,-0.02672119126242655,-0.020621002687328006,,,,,,,,0.0,,
2018-01-16,0.007983644340832758,-0.012637358346495249,,,,,,,,0.0,,
2018-01-17,0.0014524686449673863,-0.011184889701527862,,,,,,,,0.0,,
2018-01-18,0.0019201253350892298,-0.009264764366438631,,,,,,,,0.0,,
2018-01-19,-0.0014441082027142479,-0.010708872569152879,,,,,,,,0.0,,
2018-01-22,0.004966321361228705,-0.005742551207924174,,,,,,,,0.0,,
2018-01-23,0.0022648634857506244,-0.0034776877221735494,,,,-0.003477687722173551,,,,0.0,0.08278164295217677,
2018-01-24,0.006709519692200534,0.003231831970026984,,,,0.0032318319700269825,,,,0.0,0.08523653657032594,
2018-01-25,-0.001793413948036999,0.0014384180219899853,,,,0.0014384180219899835,,,,0.0,0.08698617074521034,
2018-01-26,-0.003212109195017724,-0.0017736911730277388,,,,-0.0017736911730277406,,,,0.0,0.09148790298714837,
2018-01-29,-0.012372660590026134,-0.014146351763053873,,,,-0.014146351763053875,,,,0.0,0.09839123911442664,
2018-01-30,-0.0020448644286459447,-0.016191216191699817,,,,-0.01619121619169982,,,,0.0,0.09942740067440951,
2018-01-31,-0.027291435082217326,-0.04348265127391714,,,,-0.04348265127391715,,,,0.0,0.10818820557120873,
2018-02-01,-0.0435333843269045,-0.08701603560082163,,,,-0.09539242125522052,,,,0.0,0.11714943363126766,
2018-02-02,-0.008765576973648213,-0.09578161257446985,,,,-0.1050173656036026,,,,0.0,0.11909132929839769,
2018-02-05,-0.008363863449384208,-0.10414547602385406,,,,-0.11419535170882707,,,,0.0,0.11874581556095391,
2018-02-06,-0.05996497871256985,-0.1641104547364239,,,,-0.17519738780972882,,,,0.0,0.13269235094550194,
2018-02-07,0.004803618420679934,-0.15930683631574397,,,,-0.17032226996377892,,,,0.0,0.12770062551525538,
2018-02-08,0.013147172656131903,-0.14615966365961205,,,,-0.14941117531313544,,,,0.0,0.1238175533926564,
2018-02-09,-0.034845706901753135,-0.18100537056136518,,,,-0.19128719269729538,,,,0.0,0.12288742559770555,
2018-02-12,0.02633788645588861,-0.15466748410547657,,,,-0.16076767268057515,,,,0.0,0.11979260973913777,
2018-02-13,0.000872691654762123,-0.15379479245071445,,,,-0.13317378976338648,,,,0.0,0.12434903321013768,
2018-02-14,0.0018844784727018243,-0.15191031397801263,,,,-0.13927295563151743,,,,0.0,0.1261197904744363,
2018-02-22,0.018371846156165147,-0.13353846782184747,,,,-0.12235357812031966,,,,0.0,0.12168942577112822,
2018-02-23,0.004779746590668534,-0.12875872123117893,,,,-0.11949395686474035,,,,0.0,0.1173957648284329,
2018-02-26,0.024630201491370796,-0.10412851973980813,,,,-0.0934196471706553,,,,0.0,0.1086786289520139,
2018-02-27,0.0030010466393269905,-0.10112747310048115,,,,-0.09538492189255703,,,,0.0,0.10691359012964124,
2018-02-28,0.00038801515207368266,-0.10073945794840747,,,,-0.09726177022623397,,,,0.0,0.10677690653354271,
2018-03-01,0.01507433139325282,-0.08566512655515465,,,,-0.08889695852518167,,,,0.0,0.10676044347630888,
2018-03-02,-0.005156438827021975,-0.09082156538217663,,,,-0.09225998340416666,,,,0.0,0.10517891479021278,
2018-03-05,0.0072146477313810645,-0.08360691765079556,,,,-0.08183322647776788,,,,0.0,0.10700907331121548,
2018-03-06,0.011868148112359738,-0.07173876953843582,,,,-0.057592417775382,,0.016806621852775757,,0.0,0.10253943069212564,
2018-03-07,-0.0055762109500951396,-0.07731498048853096,,,,-0.061123764296831196,,0.016605721241151745,,0.0,0.10229586981603322,
2018-03-08,0.010447326922987199,-0.06686765356554376,,,,-0.023385002291626662,,0.0165119926184364,,0.0,0.09977247946180566,
2018-03-09,0.016977081948227193,-0.04989057161731657,,,,0.037125463983505025,,0.016558178107077437,,0.0,0.10278810253223424,
2018-03-12,0.015258982501097322,-0.03463158911621925,,,,0.06115002345825056,,0.01655065585972116,,0.0,0.10794299022593667,
2018-03-13,-0.005789835978107843,-0.04042142509432709,,,,0.06372405092952693,,0.01637848671239932,,0.0,0.11239154136360407,
2018-03-14,-0.01059763591338842,-0.05101906100771551,,,,0.11309139372870836,,0.016258498786059592,,0.0,0.10339156658401744,
2018-03-15,-0.009252764438724909,-0.06027182544644042,,,,0.09903501086930352,,0.016124618827553307,,0.0,0.09563994317083824,
2018-03-16,-0.0004132696941965052,-0.06068509514063693,,,,0.0854745685189751,,0.015952651285225338,,0.0,0.0966123620539017,
2018-03-19,0.004241475580768688,-0.056443619559868236,,,,0.12456175100149693,,0.015805186075073117,,0.0,0.09830672677858282,
2018-03-20,0.003910079207732547,-0.052533540352135685,,,,0.10213394375334088,,0.015659448993146294,,0.0,0.10318494907177742,
2018-03-21,-0.005308916948060317,-0.057842457300196,,,,0.09595233515051843,,0.015513526944907952,,0.0,0.10451267548351921,
2018-03-22,0.001931840700559404,-0.055910616599636594,,,,0.095999697378376,,0.015366563862984439,,0.0,0.10658881179799135,
2018-03-23,-0.059535123232799254,-0.11544573983243585,,,,0.018092727989411604,,0.01720676039191314,,0.0,0.1089418286980514,
2018-03-26,0.015077175518799049,-0.1003685643136368,,,,0.028390156917542125,,0.01720465614182239,,0.0,0.11394918290885533,
2018-03-27,0.027111734871496304,-0.0732568294421405,,,,0.030871690297667634,,0.017486521409606506,,0.0,0.11494369363003377,
2018-03-28,-0.005200163778491535,-0.07845699322063203,,,,0.022670479879849107,,0.017334532645761697,,0.0,0.11314169267596147,
2018-03-29,0.010365252700514138,-0.06809174052011789,,,,0.03264771742828956,,0.017249610487743507,,0.0,0.10286302042932237,
2018-03-30,0.015700917494684226,-0.052390823025433665,,,,0.03327430352972097,,0.017240956956417086,,0.0,0.10825272973693464,
2018-04-02,0.004705517878941915,-0.04768530514649175,,,,0.043136260235684856,,0.01710727287549114,,0.0,0.10730839050547451,
2018-04-03,-0.008298212683614773,-0.05598351783010652,,,,0.027623399820689024,,0.01698921614750914,,0.0,0.10874867376394591,
2018-04-04,-0.004498866523577354,-0.060482384353683874,,,,0.01125638518475193,,0.01695090658917081,,0.0,0.10826972171423493,
2018-04-09,0.003817721715095756,-0.05666466263858812,,,,0.020650317849942826,,0.01696114289401448,,0.0,0.11025885392898462,
2018-04-10,0.0016818606289617235,-0.054982802009626394,,,,0.01188485155591735,,0.01696317106442384,,0.0,0.10446907302868251,
2018-04-11,0.00780108733930472,-0.04718171467032167,,,,0.0027088569469948774,,0.016999941618899363,,0.0,0.10438895545935697,
2018-04-12,-0.005541921949085561,-0.05272363661940723,,,,-0.018092047503188005,,0.017009701508102725,,0.0,0.10630607539663019,
2018-04-13,-0.003339317844455705,-0.05606295446386294,,,,-0.01564152936953587,,0.016989734549498325,,0.0,0.10364066501409705,
2018-04-16,-0.007572782968277518,-0.06363573743214046,,,,-0.012616676424424966,,0.016977506972991097,,0.0,0.11472271800588148,
2018-04-17,-0.02426243010792031,-0.08789816754006077,,,,-0.027626342093620367,,0.01723265042746964,,0.0,0.1138260932216268,
2018-04-18,0.01130265485848872,-0.07659551268157205,,,,-0.01591041754093514,,0.01698935886733107,,0.0,0.115276734455493,
2018-04-19,0.0029311617853975424,-0.07366435089617451,,,,-0.017220731336306288,,0.016956905114964466,,0.0,0.11037364246081754,
2018-04-20,-0.0263152721093449,-0.09997962300551941,,,,-0.04744608265338374,,0.0172644968645806,,0.0,0.11088888281355085,
2018-04-23,-0.007383641587260985,-0.1073632645927804,,,,-0.049520807292584394,,0.017275219522896134,,0.0,0.10938737105548386,
2018-04-24,0.023886337402899558,-0.08347692718988084,,,,-0.027566310590244246,,0.017586669866790142,,0.0,0.12245847270774293,
2018-04-25,0.004833049078748768,-0.07864387811113208,,,,0.03680186172130378,,0.017585884611814383,,0.0,0.11874720207358835,
2018-04-26,-0.02136893612808817,-0.10001281423922025,,,,0.0003557500744165547,,0.01777033248868033,,0.0,0.11779742268332803,
2018-04-27,0.0006894610266330527,-0.09932335321258719,,,,-0.026066523770446697,,0.017739537571349634,,0.0,0.11184939295665246,
2018-05-02,-0.0061303871543140626,-0.10545374036690125,,,,-0.026996747146269224,,0.017748719818206717,,0.0,0.1118801542298042,
2018-05-03,0.01106230725398304,-0.09439143311291821,,,,-0.02629969259280032,,0.01782472480224851,,0.0,0.11227038921079122,
2018-05-04,-0.0017116196723116186,-0.09610305278522983,,,,-0.04371222975979617,,0.017767993525827863,,0.0,0.11058828899217311,
