trade_date,q5,q1,ls,all,tov_q5,tov_q1,ls_after,q5_excess,q5_excess_after
2018-10-31,0.008330011515273381,0.05778601135939679,-0.04945599984412341,0.03664597544141095,1.0,1.0,-0.05045599984412341,-0.028315963926137565,-0.028815963926137566
2018-11-28,-0.029319819176091222,-0.04133158471957239,0.01201176554348117,-0.03626746139499553,0.3356521739130435,0.35416666666666663,0.011666856123191315,0.006947642218904308,0.006779816131947786
2018-12-26,0.022210307457182315,0.027200854333326623,-0.004990546876144308,0.03294158889338157,0.23141891891891897,0.20777027027027029,-0.005210141470738903,-0.010731281436199256,-0.010846990895658715
2019-01-25,0.1506336905246192,0.19555716246091762,-0.04492347193629842,0.16601779215332962,0.23606557377049175,0.23278688524590163,-0.04515789816580662,-0.015384101628710428,-0.015502134415595673
2019-03-01,0.10652070267300077,0.10796017066470957,-0.0014394679917087982,0.10806744537832849,0.3206349206349206,0.373015873015873,-0.001786293388534195,-0.0015467427053277166,-0.0017070601656451769
2019-03-29,-0.07866956730212818,-0.08622145199567323,0.0075518846935450495,-0.07853861782634176,0.2683307332293292,0.2870514820592823,0.007274193585900744,-0.00013094947578641547,-0.0002651148424010801
2019-04-29,-0.0475919849975504,-0.06614749254917997,0.018555507551629567,-0.0526797333948774,0.31748466257668717,0.29141104294478526,0.01825105969886883,0.005087748397327001,0.004929006066038657
2019-05-30,0.0353598746652917,0.02777401507677331,0.007585859588518394,0.03279227555514731,0.32121212121212117,0.30000000000000004,0.007275253527912333,0.0025675991101443904,0.0024069930495383297
2019-06-28,-0.051578089025705855,-0.0496933975005067,-0.0018846915251991558,-0.04414046826178012,0.2639517345399698,0.25037707390648567,-0.0021418559294223835,-0.007437620763925734,-0.007569596631195719
2019-07-26,-0.0089607627023113,-0.020183322011500412,0.011222559309189112,-0.018892388620766705,0.2507507507507507,0.2582582582582582,0.010968054804684607,0.009931625918455405,0.00980625054308003
2019-08-23,0.06499713351641213,0.07389201935572703,-0.0088948858393149,0.06196298625870039,0.24437781109445278,0.26796407185628746,-0.00915105678079027,0.0030341472577117418,0.0029119583521645155
2019-09-23,-0.03263431817620905,-0.04010067174656146,0.007466353570352413,-0.029471848293096518,0.22089552238805965,0.23695976154992549,0.007237425928383421,-0.003162469883112532,-0.003272917644306562
2019-10-28,-0.049998369612375464,-0.039659406078242816,-0.010338963534132647,-0.04360809242382776,0.24702380952380953,0.2734026745913819,-0.010599176776190242,-0.006390277188547705,-0.00651378909330961
2019-11-25,0.05001608457546181,0.06383682234214784,-0.013820737766686027,0.057072702339018,0.22666666666666668,0.24852071005917165,-0.014058331455048947,-0.007056617763556185,-0.007169951096889518
2019-12-23,0.07079562497711282,0.044027133407313346,0.026768491569799477,0.05159289330031587,0.24076809453471193,0.2463126843657817,0.02652495118034923,0.019202731676796952,0.019082347629529598
2020-01-21,0.026624922221212845,0.021729465013754216,0.004895457207458629,0.013808138074433611,0.19236417033773867,0.21292217327459617,0.004692814035652462,0.012816784146779234,0.012720602061610365
2020-02-26,-0.11905352175504068,-0.059070840808193574,-0.059982680946847104,-0.07497627499670488,0.2152269399707174,0.25768667642752563,-0.060219137755046226,-0.0440772467583358,-0.04418486022832115
2020-03-25,0.02602544142858587,-0.022513658132197533,0.04853909956078341,0.002663171721709625,0.272992700729927,0.31532846715328466,0.0482449389768418,0.023362269706876247,0.023225773356511284
2020-04-23,0.01871740824044046,-0.021423278600429883,0.04014068684087034,0.0018180286340765334,0.2790697674418605,0.33139534883720934,0.0398354542827308,0.016899379606363927,0.016759844722642997
