alpha,ic_primary,icn_primary,ic_ir,ls_sharpe_full,ls_sharpe_train,ls_sharpe_valid,ls_sharpe_test,q5_excess_ir_full,q5_excess_ir_test,ls_maxdd_full,worst_year,best_year_out_sharpe,byo_pct_of_full,avg_tov_q5,avg_tov_q1,n_periods
alpha_17,0.02410791194997167,0.017417519251609958,7.106168109546037,0.4484035063435195,0.5438139909629784,0.38268215623651225,0.28098362803859583,-0.3682484997827621,-0.4906505315666104,-0.1265083850770946,0.13264419349540885,0.28344829033406094,0.6321277294315195,0.29765227843297015,0.297877191372657,78
alpha_18,0.016409932599004154,0.00981151262811953,4.531058242526428,0.22919145145728695,0.2666672566990167,-0.2874274046588079,0.5291186102613685,-0.5350433439518975,0.11273405084415698,-0.09979256068413767,-0.6491868628109805,0.10668167806418712,0.46546970834149437,0.2762559557121063,0.271871809015004,78
alpha_19,0.02850703916879996,0.021862662092009568,11.782413797697215,0.839750651823857,0.8678631297982164,0.1646015817496178,1.2437996079581057,-0.11279353488337515,0.6529636383885773,-0.07252985814494162,0.1646015817496178,0.5599657684202863,0.6668238568247551,0.30022606160332205,0.2902156145478407,78
alpha_20,0.002102865657866062,0.0019049526971466589,0.9870851583904824,-0.14044496496882297,-0.2845421634950212,-1.1378006853550993,0.7884143125421843,-0.5528767673579087,0.26430189968310275,-0.275783522786726,-2.9581859102028445,-0.26071033270137683,1.8563166914474383,0.21732881853432995,0.20983803599300452,70
alpha_21,0.01644816180753379,0.017588164693575128,8.648928252164856,0.7419760813034131,0.8939498094536352,0.49624391071332385,0.5218231465179656,-0.16357177968015238,-0.2730723162307416,-0.07429054473193619,0.49624391071332385,0.5601657608492934,0.754964715122976,0.390435058908761,0.37012596082484445,78
alpha_22,0.012023411454514124,0.014797052966361359,7.064893716308366,0.6044840532068602,0.8661396177582934,0.4737018312573249,0.013630029453481957,-0.1804192240666999,-0.6433384059348699,-0.07387484852057702,0.16499549953353307,0.4747140816921957,0.7853211001576977,0.35563213413808703,0.3406784739117374,78
alpha_23,0.006200373489658693,0.011664863070567424,5.699708362326054,0.1925586995567301,0.5716018859496339,0.3470940913295287,-1.0789741177474297,-0.7187145896753513,-1.948291925990128,-0.18590664899196996,-1.2170062918834266,0.04395813222923551,0.2282843222893958,0.3794828603988841,0.3686889347978911,83
alpha_24,0.011785344545664857,0.013699414401029179,6.607886775542629,0.35247919900065766,0.682192832617092,0.302565342145552,-0.6920740757454479,-0.5593777197228909,-0.8689226048379254,-0.1260076103105493,-0.852324475650699,0.21097562389830812,0.5985477284800415,0.3309578414424788,0.32011626205589416,81
