spec,ls_full,ls_train,ls_valid,ls_test,q5_test,maxdd,worst_year_all,worst_year_active,on_frac
baseline_252d_med,1.2182248842218613,1.1658970144676464,0.6345522556015082,1.7358069171846817,1.0268592644722863,-0.0552505364947411,0.0,0.6345522556015082,0.42696629213483145
60d_med,1.0516561090194805,0.9024790217278628,1.6259086311135482,1.5077172555053084,1.1957453970596068,-0.05139645370573698,-1.2591332765703733,-1.2591332765703733,0.39325842696629215
126d_med,1.463602443522422,1.3685471238198788,0.6345522556015082,2.286750093234063,1.2498862866556941,-0.026920004314901602,0.0,0.6345522556015082,0.43820224719101125
504d_med,1.2765513838694669,1.17401100647936,1.455903098541046,1.9911901637238942,1.1260395801521708,-0.049973123933153785,0.0,0.5131653237744626,0.4943820224719101
252d_p40,1.0735764340179494,0.9093870151874645,0.6345522556015082,1.8851430637591895,1.0647110937566029,-0.06411159336568584,0.0,0.2784093828863283,0.5168539325842697
252d_p60,1.1293074802959224,1.0891781755121215,1.455903098541046,1.5373482206947897,1.2243204450152068,-0.044648291701325116,0.0,1.243882395315256,0.33707865168539325
252d_p70,1.0737599659119725,1.0975747628040229,1.455903098541046,1.2422397060904953,1.1865008926714478,-0.022517544093389907,0.0,1.0047025346007854,0.2696629213483146
