trade_date,n_stocks,spread_top_bot_20,universe_std,universe_mean,ic_mom,ic_lot,spread_mom_q5q1,q5_mom,q1_mom,cap_mom,eff_mom,spread_lot_q5q1,q5_lot,q1_lot,cap_lot,eff_lot,gate_mom_on,gate_inv_on,active_leg,active_ls,inactive_ls,gate_wrongness,year
2018-11-28,2861,0.20403955467157492,0.0792202249780712,-0.032566291256036654,-0.0042047872109713,0.08839593909652206,-0.007867435187059565,-0.03387592899746424,-0.026008493810404678,0.22727272727272727,-0.03855838246521908,0.016027418588862617,-0.024464114281084384,-0.040491532869947,0.1993006993006993,0.07855054680285196,0,1,inv,0.016027418588862617,-0.007867435187059565,-0.02389485377592218,2018
2018-12-26,2953,0.22535255265890192,0.08967435109035768,0.037253328712104045,-0.008701474295524857,0.13031350134198585,-0.012118188672329677,0.02537473018132645,0.037492918853656125,0.18135593220338983,-0.05377435724312388,0.02632302401159436,0.04474803054281995,0.01842500653122559,0.1864406779661017,0.11680819099234882,0,1,inv,0.02632302401159436,-0.012118188672329677,-0.03844121268392404,2018
2019-01-25,3036,0.3142848523649503,0.1367208207420545,0.18744212118117556,-0.16679003575511092,0.035328750214582275,-0.05217743453522611,0.1668961800394999,0.21907361457472602,0.17957166392092258,-0.16601956518934363,-0.008494183256130106,0.18744871484572306,0.19594289810185317,0.1927512355848435,-0.027027020844983603,0,1,inv,-0.008494183256130106,-0.05217743453522611,-0.043683251279096,2019
2019-03-01,3132,0.31726493443826426,0.12819904254377196,0.12051518142047377,-0.03131624510627761,0.10575171967937004,-0.004624072347813077,0.11538476098955237,0.12000883333736545,0.19488817891373802,-0.014574798050091044,0.019774415771531356,0.134038356698636,0.11426394092710465,0.19329073482428116,0.06232776971253723,0,1,inv,0.019774415771531356,-0.004624072347813077,-0.024398488119344433,2019
2019-03-29,3188,0.27738952651365095,0.11382436650812215,-0.07022939972907943,0.012276518899302322,0.12740094958910883,0.0006838447947560972,-0.07503904501218792,-0.07572288980694401,0.2087912087912088,0.0024652870039865893,0.033027553687647475,-0.05821776313094144,-0.09124531681858891,0.19309262166405022,0.11906561182302648,0,1,inv,0.033027553687647475,0.0006838447947560972,-0.03234370889289138,2019
2019-04-29,3243,0.2655411224559191,0.10910284099573878,-0.045556579030361616,0.1035379560994522,0.11503974640379919,0.027682950323496075,-0.03614156448497713,-0.0638245148084732,0.2330246913580247,0.1042510857356625,0.020532872932638405,-0.0369358334980238,-0.0574687064306622,0.22839506172839505,0.07732464464537671,1,0,mom,0.027682950323496075,0.020532872932638405,-0.00715007739085767,2019
2019-05-30,3283,0.22944615898499152,0.09081136668853841,0.0371777779949502,0.06261485958052597,0.14800603354521943,0.010973823243561949,0.040327639938014304,0.029353816694452355,0.24695121951219512,0.04782744366742599,0.030519109189184823,0.04590754314010728,0.015388433950922457,0.18597560975609756,0.13301207274156693,1,0,mom,0.010973823243561949,0.030519109189184823,0.019545285945622874,2019
2019-06-28,3296,0.2190394878169957,0.08393593424356575,-0.040004885245403125,0.029300389750504287,0.04364944006211649,0.005569088241074119,-0.041700985836077835,-0.047270074077151954,0.21851289833080426,0.025425042290671402,0.0163886852140203,-0.0350230605192899,-0.0514117457333102,0.19878603945371776,0.0748206881661119,0,1,inv,0.0163886852140203,0.005569088241074119,-0.010819596972946183,2019
2019-07-26,3311,0.23498002384984276,0.09400475914673327,-0.01479983839065107,-0.008717265524012857,-0.038014018076364474,-0.0018092902791784545,-0.012916126319556947,-0.011106836040378492,0.21299093655589124,-0.0076997620884345025,-0.019960249951277882,-0.018926480639622087,0.001033769311655797,0.14954682779456194,-0.08494445452960252,0,1,inv,-0.019960249951277882,-0.0018092902791784545,0.018150959672099426,2019
2019-08-23,3322,0.2512238557787376,0.10203816934010713,0.06833203840805474,-0.01820626934744472,0.12433026398447687,-0.0010620158673340097,0.07329033902478767,0.07435235489212168,0.2289156626506024,-0.004227368710833605,0.016085991310898884,0.07219372503122932,0.05610773372033044,0.19728915662650603,0.06403050881070159,0,1,inv,0.016085991310898884,-0.0010620158673340097,-0.017148007178232894,2019
