alpha,ls_full,ls_train,ls_valid,ls_test,q5_full,q5_test,maxdd,worst_year,worst_year_q5,tov_q5,tov_q1,n
alpha_25,0.6246405325793803,0.8121724923862529,0.3525866265987855,0.46025706511127107,-0.19828247076602465,0.10191549656627989,-0.12821779943962308,0.21732611915220645,-1.687761689342468,0.3028374993259219,0.30318807951723403,78
alpha_26,0.5468905674008798,0.5721331263711938,0.4698237430767111,0.5635438516816875,-0.17650466271590431,-0.0066391094743975376,-0.12966446071293625,0.23055917345095822,-1.3032865003590022,0.29569299955034073,0.3031275311061342,78
alpha_27,0.5008469620536009,0.49526874273602456,-0.1704882787151974,0.9949575394861345,-0.2881860170236429,0.4984914637401595,-0.08303946536984075,-0.41999747082675615,-1.8582112669188071,0.2868865810400115,0.2849592792809317,78
alpha_28,0.6149615263637437,0.5912461200915908,-0.1403008443053879,1.2033030231936306,-0.26971441644283894,0.6145066255069632,-0.07483399057385187,-0.1403008443053879,-1.7998838913732922,0.28592061212349834,0.29000119789458745,78
alpha_29,1.0008896243329488,0.8687624188828792,0.17819668389417614,2.058191307188806,0.09140585740350149,1.16435797265706,-0.07123100433790086,0.03743427455677837,-1.673889544674007,0.3278070582596628,0.3225913657402283,78
alpha_30,0.33362305338884973,0.46341751945276227,-0.8872935568603519,0.9449954093710479,-0.3204157064462813,0.6203657001983437,-0.16992214400386363,-1.0148243085819206,-1.8453127137906231,0.2455451293762846,0.23548922488196422,74
alpha_31,0.684713277075957,0.7212999689096534,0.2638968470493572,0.9028905151806323,-0.1835398401344744,0.29769323078313054,-0.07547564677026042,0.2638968470493572,-1.3143747678097986,0.29428644465714854,0.28075844533801686,78
alpha_32,0.4796592828534477,0.42936928923736956,-0.2503937173619197,1.1681492342987834,-0.3313585537418039,0.5958158769229702,-0.07954804464402532,-0.5376747643834424,-1.9572822164331554,0.2661086907774077,0.2776544563200981,78
