trade_date,q5_ret,uni_ret,excess,tov,n_stocks,cost,q5_net,excess_net
2018-01-30,-0.018594738818111665,-0.030061777433051814,0.01146703861494015,1.0,643,0.0005,-0.019094738818111665,0.01096703861494015
2018-03-06,0.041669842905806165,0.020704423862087963,0.0209654190437182,0.748829953198128,641,0.000374414976599064,0.0412954279292071,0.020591004067119136
2018-04-03,-0.006689985516638642,-0.0032447771009097297,-0.0034452084157289126,0.7750385208012327,649,0.00038751926040061634,-0.0070775047770392585,-0.003832727676129529
2018-05-07,-0.04037326070856817,-0.03725636455404757,-0.0031168961545205986,0.7312977099236642,655,0.0003656488549618321,-0.040738909563530004,-0.0034825450094824306
2018-06-04,-0.12621668732138175,-0.1290657211499642,0.0028490338285824535,0.7069486404833837,662,0.00035347432024169183,-0.12657016164162344,0.0024955595083407615
2018-07-03,0.01729934907167847,0.0013795581377648632,0.01591979093391361,0.7421758569299552,671,0.0003710879284649776,0.016928261143213493,0.015548703005448632
2018-07-31,-0.049910021050033455,-0.0404248037752183,-0.009485217274815154,0.7691176470588235,680,0.0003845588235294117,-0.05029457987356287,-0.009869776098344565
2018-08-28,-0.03618705953291599,-0.04156853619285461,0.005381476659938621,0.7101449275362319,690,0.000355072463768116,-0.03654213199668411,0.005026404196170505
2018-09-26,-0.07565740303917207,-0.07759564144102182,0.0019382384018497567,0.7959770114942528,696,0.0003979885057471264,-0.0760553915449192,0.0015402498961026303
2018-10-31,0.06855637050815913,0.04375655637681161,0.02479981413134752,0.7657142857142857,700,0.00038285714285714285,0.06817351336530199,0.024416956988490376
2018-11-28,-0.021611054674849958,-0.034499493056048394,0.012888438381198436,0.7949438202247191,712,0.00039747191011235954,-0.02200852658496232,0.012490966471086076
2018-12-26,0.0404206724071166,0.033309177382355816,0.007111495024760786,0.7503506311360448,713,0.0003751753155680224,0.04004549709154858,0.006736319709192764
2019-01-25,0.19138648715117687,0.1874327420296068,0.003953745121570068,0.765034965034965,715,0.0003825174825174825,0.1910039696686594,0.0035712276390525858
2019-03-01,0.12912569254461875,0.11682680402878745,0.012298888515831302,0.725,720,0.0003625,0.12876319254461877,0.011936388515831302
2019-03-29,-0.06258508920761065,-0.0733677970456648,0.010782707838054156,0.7364016736401673,717,0.00036820083682008366,-0.06295329004443073,0.010414507001234072
2019-04-29,-0.03743383067155268,-0.04743859450651187,0.010004763834959185,0.7593880389429764,719,0.0003796940194714882,-0.03781352469102417,0.009625069815487696
2019-05-30,0.041467384830402125,0.034159565413340726,0.007307819417061399,0.7541436464088398,724,0.0003770718232044199,0.041090313007197704,0.006930747593856979
2019-06-28,-0.0391208894370253,-0.04338074274482441,0.0042598533077991135,0.7524071526822559,727,0.00037620357634112796,-0.03949709301336642,0.0038836497314579856
2019-07-26,-0.019645559404581642,-0.014980827969577754,-0.004664731435003889,0.7087912087912087,728,0.0003543956043956044,-0.019999955008977246,-0.005019127039399493
2019-08-23,0.07147364540968569,0.06941201289522785,0.002061632514457845,0.7374149659863946,735,0.00036870748299319727,0.0711049379266925,0.0016929250314646478
2019-09-23,-0.02393105267126046,-0.02747989219763203,0.0035488395263715694,0.7059620596205962,738,0.0003529810298102981,-0.02428403370107076,0.0031958584965612715
2019-10-28,-0.04742047365027557,-0.03970905049154975,-0.007711423158725819,0.7244623655913979,744,0.00036223118279569896,-0.04778270483307127,-0.008073654341521519
2019-11-25,0.06707874167141754,0.06428289519808307,0.0027958464733344734,0.7208053691275168,745,0.0003604026845637584,0.06671833898685378,0.0024354437887707152
2019-12-23,0.050639610728723056,0.05888258514213393,-0.008242974413410875,0.7203728362183754,751,0.00036018641810918776,0.05027942431061387,-0.008603160831520063
2020-01-21,0.0007541490381820756,0.0211569926315289,-0.020402843593346827,0.7220026350461133,759,0.00036100131752305663,0.000393147720659019,-0.020763844910869883
2020-02-26,-0.04121051649720503,-0.0665842261658773,0.025373709668672265,0.672346002621232,763,0.00033617300131061605,-0.04154668949851564,0.025037536667361648
2020-03-25,0.013688794086876703,0.0077194371053191995,0.005969356981557503,0.7565104166666666,768,0.0003782552083333333,0.01331053887854337,0.00559110177322417
2020-04-23,0.0067958305124735325,0.00891511078547153,-0.0021192802729979978,0.7377260981912145,774,0.00036886304909560723,0.006426967463377925,-0.002488143322093605
2020-05-26,0.054878562563722,0.06590879285970164,-0.011030230295979639,0.7461139896373057,772,0.00037305699481865283,0.054505505568903344,-0.011403287290798291
2020-06-23,0.09281569733410826,0.09020480799376672,0.002610889340341538,0.7654639175257731,776,0.00038273195876288655,0.09243296537534537,0.002228157381578651
2020-07-23,0.0802657355942557,0.07253863573181742,0.007727099862438289,0.7512820512820513,780,0.0003756410256410256,0.07989009456861468,0.007351458836797263
2020-08-20,-0.004411652066800542,-0.010626392743502895,0.006214740676702353,0.7805800756620429,793,0.00039029003783102147,-0.004801942104631564,0.005824450638871331
2020-09-17,-0.031479780403589355,-0.025227775443810482,-0.006252004959778873,0.7898009950248757,804,0.0003949004975124378,-0.03187468090110179,-0.0066469054572913105
2020-10-23,0.025860503297612584,0.020341773755315082,0.005518729542297502,0.7435582822085889,815,0.00037177914110429446,0.02548872415650829,0.005146950401193208
2020-11-20,-0.041536744426397765,-0.035993806263743905,-0.00554293816265386,0.7548543689320388,824,0.0003774271844660194,-0.04191417161086378,-0.005920365347119879
2020-12-18,-0.059418958742305156,-0.042385585251054646,-0.01703337349125051,0.7506024096385542,830,0.0003753012048192771,-0.05979425994712443,-0.017408674696069788
2021-01-18,-0.011356515031701852,-0.00653366981855614,-0.004822845213145712,0.7037037037037037,837,0.00035185185185185184,-0.011708366883553704,-0.0051746970649975636
2021-02-22,0.019168752852391176,0.011273156084777216,0.00789559676761396,0.7683215130023641,846,0.00038416075650118205,0.018784592095889993,0.007511436011112778
2021-03-22,0.03532920523170201,0.02554633239568056,0.009782872836021448,0.7482435597189696,854,0.00037412177985948476,0.03495508345184252,0.009408751056161964
2021-04-20,-0.0042849627051946585,0.004788245147335768,-0.009073207852530426,0.8032596041909197,859,0.0004016298020954599,-0.004686592507290119,-0.009474837654625886
2021-05-21,0.06600938156682488,0.06040614312518286,0.005603238441642025,0.7502876869965478,869,0.0003751438434982739,0.0656342377233266,0.005228094598143751
2021-06-21,0.010257868079129593,0.014656146967201307,-0.004398278888071714,0.7437357630979499,878,0.00037186788154897494,0.00988600019758062,-0.004770146769620689
2021-07-19,0.009076533475762164,0.006762763161978934,0.002313770313783229,0.7334083239595051,889,0.00036670416197975256,0.00870982931378241,0.0019470661518034766
2021-08-16,0.074669250315946,0.06434230592163066,0.010326944394315335,0.7144444444444444,900,0.0003572222222222222,0.07431202809372378,0.009969722172093113
2021-09-13,-0.035797256941801685,-0.04431129730738701,0.008514040365585326,0.7603938730853392,914,0.0003801969365426696,-0.036177453878344354,0.008133843429042657
2021-10-20,0.05330303841825914,0.04016203774723291,0.013141000671026228,0.7606093579978237,919,0.0003803046789989119,0.05292273373926023,0.012760695992027315
2021-11-17,0.07278270899394157,0.05120917805879645,0.02157353093514512,0.7314715359828141,931,0.0003657357679914071,0.07241697322595016,0.021207795167153716
2021-12-15,0.0047944042823252694,-0.0003464418326479362,0.0051408461149732056,0.7502668089647813,937,0.00037513340448239066,0.0044192708778428786,0.004765712710490815
2022-01-13,-0.046532889276013054,-0.04919615737485373,0.002663268098840675,0.7709437963944856,943,0.0003854718981972428,-0.0469183611742103,0.0022777962006434323
2022-02-17,-0.05086388601568715,-0.05160675350698528,0.0007428674912981284,0.7636554621848739,952,0.00038182773109243697,-0.05124571374677959,0.00036103976020569143
2022-03-17,-0.056317362478214866,-0.05114429786050149,-0.0051730646177133785,0.6938349007314524,957,0.0003469174503657262,-0.05666427992858059,-0.0055199820680791045
2022-04-18,-0.023826886611299447,-0.028139375755983836,0.004312489144684389,0.7513061650992685,957,0.00037565308254963427,-0.02420253969384908,0.003936836062134755
2022-05-19,0.0772693979993171,0.06918477792833809,0.008084620070979015,0.752092050209205,956,0.0003760460251046025,0.0768933519742125,0.007708574045874413
2022-06-17,0.03281703628303813,0.020865629741396514,0.011951406541641615,0.7494802494802495,962,0.00037474012474012473,0.032442296158298,0.01157666641690149
2022-07-15,0.06599593347261473,0.050297684587854566,0.015698248884760166,0.7601246105919003,963,0.00038006230529595016,0.06561587116731878,0.015318186579464215
2022-08-12,-0.03203252575195946,-0.03182563714126939,-0.00020688861069007025,0.7616099071207431,969,0.0003808049535603715,-0.03241333070551983,-0.0005876935642504418
2022-09-09,-0.04380209031618048,-0.04569615969899552,0.0018940693828150418,0.7742594484167518,979,0.0003871297242083759,-0.04418922004038885,0.0015069396586066658
2022-10-17,0.059134025431583345,0.04867684509223069,0.010457180339352654,0.7472081218274111,985,0.00037360406091370554,0.05876042137066964,0.010083576278438948
2022-11-14,-0.0036649119270433248,-0.0043469536611018805,0.0006820417340585557,0.7653575025176234,993,0.0003826787512588117,-0.004047590678302137,0.000299362982799744
2022-12-12,-0.014897676122583794,-0.02423195397375242,0.009334277851168625,0.7597208374875374,1003,0.0003798604187437687,-0.015277536541327562,0.008954417432424857
2023-01-10,0.12397904692808723,0.09818134406281327,0.025797702865273955,0.7829534192269574,1009,0.0003914767096134787,0.12358757021847375,0.025406226155660478
2023-02-14,-0.03267936798254483,-0.032703259009722346,2.389102717751529e-05,0.775691699604743,1012,0.00038784584980237154,-0.0330672138323472,-0.00036395482262485625
2023-03-14,-0.005686030512816912,0.00594933602012628,-0.011635366532943192,0.7733071638861629,1019,0.00038665358194308144,-0.006072684094759993,-0.012022020114886274
2023-04-12,-0.04010825324184334,-0.044017127239774884,0.003908873997931543,0.7086999022482894,1023,0.0003543499511241447,-0.04046260319296748,0.0035545240468073985
2023-05-15,0.023497694374687076,0.022574640353467644,0.000923054021219432,0.7126099706744868,1023,0.00035630498533724343,0.023141389389349832,0.0005667490358821886
2023-06-12,0.023920132933124418,0.017603766836314767,0.006316366096809651,0.7337220602526725,1029,0.0003668610301263362,0.023553271902998083,0.005949505066683315
2023-07-12,-0.00018697157617088015,-0.0130869036973392,0.012899932121168321,0.75,1036,0.000375,-0.0005619715761708802,0.012524932121168321
2023-08-09,-0.023103739310075953,-0.028699785497082384,0.0055960461870064315,0.7940613026819924,1044,0.0003970306513409962,-0.023500769961416947,0.005199015535665435
2023-09-06,-0.004553322370107575,-0.007181471859567681,0.002628149489460106,0.7247619047619047,1050,0.00036238095238095235,-0.004915703322488528,0.0022657685370791533
