factor,sharpe_ls,ann_ret_ls,sharpe_q5_excess,ann_ret_q5_excess,worst_year_sharpe_ls,worst_year_sharpe_q5_excess,n_years,n_days
f1_ag_yoy_raw,0.6194227960411336,0.06410588805561378,0.39472672385640917,0.02190474547276417,-1.5942466659272996,-1.4101629702099319,6,1280
f2_ag_yoy_ind,0.6370461727951268,0.054471166748407025,0.2987885523976787,0.01370972762417165,-1.7102852425317665,-1.5412527670761622,6,1280
f3_ag_yoy_ind_size,0.24123401017256646,0.01533012730656125,-0.47110007122079955,-0.014237082663929933,-2.443400194025429,-2.1375548230699692,6,1280
f4_ag_log_yoy_ind,0.6545671234530779,0.05598046267513865,0.319049473564959,0.014890445752593014,-1.6944077225937002,-1.5819776118852085,6,1280
f5_ag_2y_ind,0.8251080237734679,0.07377891181122898,0.5935781364556805,0.02905576258614911,-1.2443623459303352,-0.6355924607985944,6,1268
f6_ag_qoq_ind,-0.032493006372395744,-0.0018523614723596963,-0.24728140042209829,-0.007159089585534945,-2.451522021674947,-2.256705376173597,6,1280
f7_ag_rank_ind,0.5238683694221852,0.03762839402445218,0.28599704541868437,0.01228402681453529,-1.9078429893836084,-1.756597673963584,6,1280
f8_ag_composite,0.650751731454481,0.05572715098751648,0.31066763384610524,0.014421920363464034,-1.6728111778089876,-1.5362517234445656,6,1280
