year,sharpe_excess,ann_ret_excess,sharpe_abs,ann_ret_abs,invested_share,n_days,name
2020,-0.06471653019085795,-0.014183651881185168,1.2963305691985505,0.23859361956166367,0.7272727272727273,231,r2_q5_ew_q
2021,2.1295831088621204,0.09906796263630578,1.990572354615236,0.3581985980506125,1.0,243,r2_q5_ew_q
2022,0.7458997641832823,0.028893629512883195,-0.04687189521449064,-0.011824572006147421,1.0,242,r2_q5_ew_q
2023,1.3475631880056496,0.03681405999710258,0.8792509487461558,0.13101667305574,1.0,242,r2_q5_ew_q
2024,0.1366688344262403,0.010056665068443738,0.22810545982175132,0.08895978999359246,1.0,242,r2_q5_ew_q
2025,-0.7167726766952637,-0.03648784727603509,1.0036553708131282,0.34057044208010134,1.0,68,r2_q5_ew_q
2020,-0.13794037432391,-0.03048889176182482,1.2131902436863768,0.22228837968102394,0.7272727272727273,231,r2_q5_rw_q
2021,2.078432660485057,0.11416199121864734,2.053446661027516,0.373292626632954,1.0,243,r2_q5_rw_q
2022,0.8303681940315989,0.036888986947317744,-0.01525361632402881,-0.0038292145717128243,1.0,242,r2_q5_rw_q
2023,1.161071529413911,0.03847469136089538,0.8864938702813652,0.13267730441953285,1.0,242,r2_q5_rw_q
2024,0.20985444680022353,0.01827101184187137,0.24691361459102257,0.09717413676702008,1.0,242,r2_q5_rw_q
2025,-0.7462202662076084,-0.04716207411789722,0.9628443921224781,0.3298962152382395,1.0,68,r2_q5_rw_q
2020,-0.8675647995599178,-0.2238702070264336,0.24038121645763727,0.028907064416415194,0.2727272727272727,231,r2_q5_ew_q_regime
2021,1.3428176332971762,0.15017796585405974,3.0186186972825113,0.4093086012683664,0.654320987654321,243,r2_q5_ew_q_regime
2022,0.7458997641832823,0.028893629512883195,-0.04687189521449064,-0.011824572006147421,1.0,242,r2_q5_ew_q_regime
2023,1.3475631880056496,0.03681405999710258,0.8792509487461558,0.13101667305574,1.0,242,r2_q5_ew_q_regime
2024,1.0670322107623158,0.09205923855746667,0.4422540586645825,0.17096236348261537,0.987603305785124,242,r2_q5_ew_q_regime
2025,-1.179483415063075,-0.3770582893561366,,0.0,0.0,68,r2_q5_ew_q_regime
2020,-0.2840569927475266,-0.062074352852294123,1.0061849009352928,0.19070291859055458,0.7272727272727273,231,r2_q5_ew_q_liqfl
2021,-0.6422509462011118,-0.023333257831779884,1.3578322517055572,0.2357973775825267,1.0,243,r2_q5_ew_q_liqfl
2022,-1.8813146091933346,-0.0603170692608434,-0.40368651321353965,-0.10103527077987404,1.0,242,r2_q5_ew_q_liqfl
2023,-2.591260616065446,-0.07419335015275903,0.1373693433666682,0.020009262905878476,1.0,242,r2_q5_ew_q_liqfl
2024,-0.2559774062840922,-0.011384796343746789,0.1899625495119284,0.06751832858140193,1.0,242,r2_q5_ew_q_liqfl
2025,-3.127644747068817,-0.15114981809007952,0.7015226295626943,0.22590847126605706,1.0,68,r2_q5_ew_q_liqfl
2020,-0.019761398400781657,-0.0024600395372312,1.0276592771704978,0.18065986829763825,0.6956521739130435,207,r2_q5_ew_q_sresid
2021,0.5663905408952604,0.015916221028356888,1.697377349490213,0.2726470663035479,1.0,243,r2_q5_ew_q_sresid
2022,-0.22721297397413573,-0.006315547799454791,-0.19548761516878932,-0.04703374931848542,1.0,242,r2_q5_ew_q_sresid
2023,0.02229778620413635,0.0005138379404628458,0.6670953474869233,0.09471645099910031,1.0,242,r2_q5_ew_q_sresid
2024,0.18345885575233184,0.0123384231646332,0.23712658321469196,0.09124154808978183,1.0,242,r2_q5_ew_q_sresid
2025,-0.8313055061384756,-0.040143692061328465,1.0084749596331377,0.33691459729480816,1.0,68,r2_q5_ew_q_sresid
2020,-0.19217805425731135,-0.04272897794294924,1.1408228960953959,0.2100482934998995,0.7272727272727273,231,r2_q10_ew_q
2021,1.6736237543586825,0.10235875139931086,1.9745960308581156,0.3614893868136176,1.0,243,r2_q10_ew_q
2022,0.8821290969021934,0.04239614396264652,0.006668279682544676,0.001677942443615929,1.0,242,r2_q10_ew_q
2023,0.9005239871461237,0.032943828801976965,0.8419499424644935,0.12714644186061447,1.0,242,r2_q10_ew_q
2024,0.25596823146730696,0.024274084298979124,0.2606092837743666,0.10317720922412774,1.0,242,r2_q10_ew_q
2025,-0.7270891768452341,-0.052019097275720946,0.9400956757833523,0.32503919208041565,1.0,68,r2_q10_ew_q
2020,-0.10483717473824207,-0.022971793487564313,1.2591355345667372,0.22980547795528444,0.7272727272727273,231,r2_q5_ew_q_combo
