name,factor,sharpe_excess,ann_ret_excess,sharpe_abs,ann_ret_abs,worst_year_excess,invested_share,ann_turnover,n_rebals,n_years
r2_q5_ew_q,f5,0.27899224945908896,0.028904488587758764,0.6736997168530264,0.17010168228623096,-0.7167726766952637,0.9503154574132492,1.5524903473905234,21,6
r2_q5_rw_q,f5,0.2928460417180705,0.031664829531114526,0.6812238162959262,0.1728620232295867,-0.7462202662076084,0.9503154574132492,1.5741901708002684,21,6
r2_q5_ew_q_regime,f5,-0.014315759745325644,-0.002114463095002687,0.6160054050878051,0.13908273060346948,-1.179483415063075,0.7452681388012619,1.945756367080046,21,6
r2_q5_ew_q_liqfl,f5,-0.5231767612968654,-0.05173027366356969,0.37211895178978016,0.08946692003490248,-3.127644747068817,0.9503154574132492,1.9925949845558757,21,6
r2_q5_ew_q_sresid,f5_sresid,0.028173107335947436,0.0017769510333430119,0.5254394347789862,0.1287618094130677,-0.8313055061384756,0.9493569131832797,1.486128878707329,20,6
r2_q10_ew_q,f5,0.25220320106791466,0.028053695488843903,0.6631752285937355,0.16925088918731607,-0.7270891768452341,0.9503154574132492,1.6600969456867682,21,6
r2_q5_ew_q_combo,f_combo,0.2569991259234973,0.026766142326566843,0.6650989597963705,0.167963336025039,-0.9116941758269178,0.9503154574132492,1.6699496377434624,21,6
r2_q5_ew_q_all,f5_sresid,-0.5915666690209044,-0.07968965864427871,0.24097834426589035,0.04729519973544598,-2.470300703527424,0.7090032154340836,1.8747989140586003,20,6
