year,sharpe_excess,ann_ret_excess,sharpe_abs,ann_ret_abs,n_days,name
2020,-0.07462660643326582,-0.0012051953012314242,0.8594202233544069,0.21071642734460824,243,r3_nsi_yoy_raw
2021,1.2817358554077127,0.028433162565842517,1.7244622143628228,0.28001392731109576,243,r3_nsi_yoy_raw
2022,0.747405486051843,0.03238822268376428,-0.046074261075276825,-0.010528027015274373,242,r3_nsi_yoy_raw
2023,-0.002997319701291555,-0.0001074603150634002,0.7115123765875151,0.09442889946330713,242,r3_nsi_yoy_raw
2024,0.16049876397531376,0.010156083983665343,0.2853795643212012,0.08956127363942941,242,r3_nsi_yoy_raw
2025,-2.265648370867697,-0.10741574037701142,0.9711304280233017,0.27296068074080754,68,r3_nsi_yoy_raw
2020,0.2883052472011586,0.005414545963284012,0.8671429059382516,0.21733616860912375,243,r3_nsi_yoy_ind
2021,0.8867974415597857,0.018565898074340236,1.607940597393576,0.27014666281959354,243,r3_nsi_yoy_ind
2022,1.084042505084118,0.030232431982360305,-0.053802029247686164,-0.012683817716678283,242,r3_nsi_yoy_ind
2023,-0.6965695373040701,-0.016191110606539345,0.5696329636283224,0.07834524917183114,242,r3_nsi_yoy_ind
2024,0.39724472812332584,0.019298999487586514,0.30398150863658985,0.09870418914335052,242,r3_nsi_yoy_ind
2025,-2.681135443282911,-0.10245913519211364,0.9631428227161313,0.27791728592570536,68,r3_nsi_yoy_ind
2020,0.2883052472011595,0.0054145459632840304,0.867142905938252,0.2173361686091238,243,r3_nsi_log_ind
2021,0.8867974415597852,0.018565898074340226,1.6079405973935756,0.2701466628195935,243,r3_nsi_log_ind
2022,1.0840425050841187,0.03023243198236032,-0.053802029247686164,-0.012683817716678283,242,r3_nsi_log_ind
2023,-0.6965695373040696,-0.01619111060653933,0.5696329636283224,0.07834524917183114,242,r3_nsi_log_ind
2024,0.39724472812332645,0.019298999487586545,0.30398150863658985,0.09870418914335052,242,r3_nsi_log_ind
2025,-2.681135443282911,-0.10245913519211364,0.9631428227161313,0.27791728592570536,68,r3_nsi_log_ind
2020,-0.1260108758828726,-0.026635833836873766,1.105039199917904,0.22530546385397143,231,r3_nsi_2y_ind
2021,0.9121759993708541,0.030583385957084534,1.633029044161515,0.28853619005151376,243,r3_nsi_2y_ind
2022,-0.2726164116078899,-0.009660604285483609,-0.19605380359869912,-0.050042219307576366,242,r3_nsi_2y_ind
2023,-0.3754328888213826,-0.011694012619844325,0.5404280540998897,0.08247071750981112,242,r3_nsi_2y_ind
2024,0.9218186567118618,0.043115234071343385,0.3203472881080659,0.12220749197196418,242,r3_nsi_2y_ind
2025,0.6291202663071666,0.02815939481014837,1.2004705006870577,0.40558502042542943,68,r3_nsi_2y_ind
2020,-0.12412402549647504,-0.02621913721884085,1.1709675117843243,0.22572216047200433,231,r3_cma_2y
2021,2.1009445908440543,0.0927759718052418,1.969573088963449,0.35072877589967105,243,r3_cma_2y
2022,0.8436172174603521,0.02899954934947843,-0.04492516036334887,-0.011382065672614308,242,r3_cma_2y
2023,1.5038061086760486,0.03909306065177342,0.895841586946923,0.13325779078142883,242,r3_cma_2y
2024,0.2816970376768984,0.019789519467483675,0.2554566915315719,0.09888177736810454,242,r3_cma_2y
2025,-0.5348725147662933,-0.02845724662540802,1.0365905423126847,0.34896837898987304,68,r3_cma_2y
2020,-0.16957429939290672,-0.03582444657548765,1.1318633327032641,0.21611685111535753,231,r3_cma_triple
2021,1.9018605624157747,0.09250953129886029,1.9497643567838174,0.35046233539328964,243,r3_cma_triple
2022,0.8390127525656123,0.036460381818126025,-0.015651423120461798,-0.003921233203966723,242,r3_cma_triple
2023,1.5357135721926567,0.04509317632847535,0.9378118668738143,0.1392579064581308,242,r3_cma_triple
2024,0.06825093998786515,0.0050906011523869695,0.2157102238086701,0.08418285905300775,242,r3_cma_triple
2025,-0.6953784986594461,-0.03527120079309313,1.0133838380807567,0.34215442482218794,68,r3_cma_triple
2020,1.0382527134054944,0.10113689703065967,1.4029684753874463,0.28332390662053963,207,r3_ag_orth_nsi
2021,2.01867831806931,0.09281541106001776,1.9490648942947912,0.35076821515444695,243,r3_ag_orth_nsi
2022,0.9714487899682094,0.036383391105674144,-0.01582841279381047,-0.0039982239164185664,242,r3_ag_orth_nsi
2023,1.5184083857206792,0.040794415435185194,0.9094458408530242,0.13495914556484065,242,r3_ag_orth_nsi
2024,0.2429656467717141,0.017898400022780873,0.24891686004245855,0.09699065792340159,242,r3_ag_orth_nsi
2025,-0.6089797307200597,-0.0326575853907259,1.0233459683224733,0.34476804022455526,68,r3_ag_orth_nsi
2020,0.28830524720116024,0.005414545963284044,0.8671429059382518,0.2173361686091238,243,r3_nsi_rank_ind
2021,0.8867974415597841,0.018565898074340205,1.6079405973935756,0.2701466628195935,243,r3_nsi_rank_ind
2022,1.0840425050841191,0.030232431982360336,-0.05380202924768598,-0.01268381771667824,242,r3_nsi_rank_ind
2023,-0.6965695373040697,-0.016191110606539334,0.5696329636283224,0.07834524917183115,242,r3_nsi_rank_ind
2024,0.39724472812332645,0.019298999487586545,0.30398150863659,0.09870418914335058,242,r3_nsi_rank_ind
2025,-2.6811354432829106,-0.1024591351921136,0.9631428227161316,0.27791728592570547,68,r3_nsi_rank_ind
