factor,horizon,ic_mean,ic_std,ic_tstat,n_days
f1_ag_yoy_raw,fwd_ret_1,0.005189186034878228,0.09646723400853822,1.9245287320423528,1280
f1_ag_yoy_raw,fwd_ret_5,0.010145135427708517,0.10186535926728703,3.5575963001340027,1276
f1_ag_yoy_raw,fwd_ret_20,0.020902656071227585,0.11218072275127566,6.616689946257816,1261
f1_ag_yoy_raw,fwd_ret_60,0.04225741210664268,0.1148273379022046,12.85924386151617,1221
f2_ag_yoy_ind,fwd_ret_1,0.004200320043932031,0.07554646895175873,1.9891759391660142,1280
f2_ag_yoy_ind,fwd_ret_5,0.008463367162230206,0.08034315406280412,3.762873706052275,1276
f2_ag_yoy_ind,fwd_ret_20,0.0182890689796932,0.0908973608611756,7.144928172631074,1261
f2_ag_yoy_ind,fwd_ret_60,0.03519548360862567,0.0968209442585891,12.702097885635116,1221
f3_ag_yoy_ind_size,fwd_ret_1,0.0018291336870889796,0.054779886869964364,1.1946186815536077,1280
f3_ag_yoy_ind_size,fwd_ret_5,0.003332008561833536,0.058667814885491366,2.028764014439557,1276
f3_ag_yoy_ind_size,fwd_ret_20,0.009048687836038205,0.06458506968570993,4.975205419097785,1261
f3_ag_yoy_ind_size,fwd_ret_60,0.019299394172402177,0.06547213206903928,10.300184986533086,1221
f4_ag_log_yoy_ind,fwd_ret_1,0.004171528244961709,0.07567636001184058,1.9721499764175368,1280
f4_ag_log_yoy_ind,fwd_ret_5,0.008437615962333108,0.08046324580794541,3.7458255205155027,1276
f4_ag_log_yoy_ind,fwd_ret_20,0.01828743474966601,0.09100243815008646,7.136040475502567,1261
f4_ag_log_yoy_ind,fwd_ret_60,0.035229433738823854,0.09690833955648587,12.702884291995456,1221
f5_ag_2y_ind,fwd_ret_1,0.006368698579470026,0.08085929771683556,2.7802237629911826,1246
f5_ag_2y_ind,fwd_ret_5,0.01153448394313232,0.0831002365130195,4.891664996127634,1242
f5_ag_2y_ind,fwd_ret_20,0.02313532738776197,0.08815773578880079,9.192581809126256,1227
f5_ag_2y_ind,fwd_ret_60,0.043789288813071196,0.08835039135752448,17.07594603745665,1187
f6_ag_qoq_ind,fwd_ret_1,-0.00066867862059517,0.05111032588320448,-0.4680731965335989,1280
f6_ag_qoq_ind,fwd_ret_5,-0.000475029942463113,0.05600292516262584,-0.3029951038133272,1276
f6_ag_qoq_ind,fwd_ret_20,0.000609958993919297,0.06348551339067818,0.3411799857601215,1261
f6_ag_qoq_ind,fwd_ret_60,0.003799153922293896,0.06772330228156803,1.9602280276966528,1221
f7_ag_rank_ind,fwd_ret_1,0.0034506549860455413,0.06794463950236465,1.8169849270720786,1280
f7_ag_rank_ind,fwd_ret_5,0.007059651131579274,0.07281782637995245,3.4631465189653836,1276
f7_ag_rank_ind,fwd_ret_20,0.015672125500855814,0.08381644503482204,6.63981848725941,1261
f7_ag_rank_ind,fwd_ret_60,0.029914268097026114,0.08968760567084849,11.654772040442815,1221
f8_ag_composite,fwd_ret_1,0.004184311969361992,0.07565674149922129,1.9787066304262093,1280
f8_ag_composite,fwd_ret_5,0.008450368667838019,0.08044722389820608,3.752234150424274,1276
f8_ag_composite,fwd_ret_20,0.018292705980122878,0.09098807618976784,7.139224100184176,1261
f8_ag_composite,fwd_ret_60,0.03522748595706008,0.09690458119711956,12.702674611869906,1221
