id,cost_bps,sharpe_ls,sharpe_top3,sharpe_top5
E1,0,-0.03435234252393267,0.09785989141409399,0.0579791195153221
E1,5,-0.03674337089753431,0.09495345802507119,0.054458288379439126
E1,10,-0.039131459451221366,0.09204776551101138,0.050937875603618746
E1,20,-0.04389853763352957,0.08623914696512461,0.043899293336519575
E2,0,0.18863132125503693,-0.0031464018167958892,0.023813065773805854
E2,5,0.18691807335182015,-0.004723716197740075,0.02189810094771153
E2,10,0.18520381244906922,-0.0063008678954590185,0.019982883435586154
E2,20,0.18177238207956542,-0.009454566546429592,0.016151890140359122
E3,0,0.6275216959173975,0.31548796019966563,0.4902473210040959
E3,5,0.6248256415107559,0.3127476136265031,0.4863475995067286
E3,10,0.6221265241673518,0.3100038976144094,0.48244166522077325
E3,20,0.6167194836236674,0.3045068258037953,0.4746124184688948
E4,0,-0.11021314170504395,0.2977773853957864,0.33315169331497946
E4,5,-0.11248576894216347,0.29592634979491383,0.33075397877770046
E4,10,-0.1147553979752377,0.29407634254643494,0.3283554003345965
E4,20,-0.11928548053508208,0.29037957900204237,0.32355600022760805
E5,0,-0.11570169122230338,0.24274748543974034,0.15510872606752102
E5,5,-0.11786766019294428,0.2396662557280974,0.15156466268382843
E5,10,-0.12003086342875918,0.2365852327326631,0.14801899844839092
E5,20,-0.1243487539584033,0.23042441972171038,0.14092387488953223
E6,0,-0.0937571374259131,0.008340005089219647,-0.0025687610893322765
E6,5,-0.09454769341611456,0.004738782845376956,-0.006183944927004331
E6,10,-0.09533766866562224,0.0011448870453551504,-0.00979041942481743
E6,20,-0.09691585992147105,-0.006019974907641813,-0.016976344680639546
E7,0,-0.49468550585717447,-0.5816981915821848,-0.4865861867948527
E7,5,-0.4970324263058669,-0.5842437775596891,-0.4896304102559967
E7,10,-0.49937211422640243,-0.5867762189118186,-0.49265744260705946
E7,20,-0.5040295242341802,-0.5918013863242472,-0.49865947514446574
E8,0,-0.07630722549572296,0.3148773748852754,-0.07003195973098801
E8,5,-0.07809560649117298,0.31199154858466005,-0.07338087253028407
E8,10,-0.07988402803074658,0.3090981177307663,-0.0767325971967721
E8,20,-0.08346086776340662,0.3032889998312769,-0.08344365558297695
